sex,age,priors_count,race,c_charge_degree,query_id
Female,18.000097558065487,37.9999556571475,Caucasian,F,8bb856fc-ee62-4b75-80e0-b3e655ba2407
Female,18.000401824113702,37.99997431913423,Caucasian,F,8bb856fc-ee62-4b75-80e0-b3e655ba2407
Female,18.000077033993747,37.99992696090061,Caucasian,F,8bb856fc-ee62-4b75-80e0-b3e655ba2407
Female,18.000138192759724,37.99996869492823,Caucasian,F,8bb856fc-ee62-4b75-80e0-b3e655ba2407
Female,18.000457681754824,37.999981068225935,Caucasian,F,8bb856fc-ee62-4b75-80e0-b3e655ba2407
Female,18.000522097749293,37.999996454275816,Caucasian,F,8bb856fc-ee62-4b75-80e0-b3e655ba2407
Female,79.99999992015884,1.8565622722065982e-10,African-American,M,69b9d987-3eba-40e0-9a35-761dce571fa9
Female,79.99999157035553,1.186764413531795e-11,African-American,M,69b9d987-3eba-40e0-9a35-761dce571fa9
Female,79.99999157035553,1.2518609527143845,African-American,M,69b9d987-3eba-40e0-9a35-761dce571fa9
Female,79.99999982088376,4.38520431078615e-09,African-American,M,69b9d987-3eba-40e0-9a35-761dce571fa9
Female,79.99999982067322,2.8187542201962736e-10,African-American,M,69b9d987-3eba-40e0-9a35-761dce571fa9
Female,79.99999261442849,2.15069207837849e-11,African-American,M,69b9d987-3eba-40e0-9a35-761dce571fa9
Female,79.00340888685693,1.0330729825136598e-15,African-American,M,69b9d987-3eba-40e0-9a35-761dce571fa9
Female,79.9999999604945,4.8096059283308165e-11,African-American,M,69b9d987-3eba-40e0-9a35-761dce571fa9
Female,78.29505437366089,4.8096059283308165e-11,African-American,M,69b9d987-3eba-40e0-9a35-761dce571fa9
Female,79.99999663250955,1.904457751266662e-15,African-American,F,69b9d987-3eba-40e0-9a35-761dce571fa9
Female,18.000332089248786,37.999978500246755,Caucasian,F,abdd9358-c186-4f94-ba45-b24d735915ce
Female,18.000009082006166,37.99995379130142,Caucasian,F,abdd9358-c186-4f94-ba45-b24d735915ce
Female,18.00000254528679,37.99994435121563,Caucasian,F,abdd9358-c186-4f94-ba45-b24d735915ce
Female,18.00037676966221,37.99998515959052,Caucasian,F,abdd9358-c186-4f94-ba45-b24d735915ce
Female,18.000013139695458,37.9999176083223,Caucasian,F,abdd9358-c186-4f94-ba45-b24d735915ce
Female,18.000458983729075,37.999993309273016,Caucasian,F,abdd9358-c186-4f94-ba45-b24d735915ce
Female,39.113126422104166,37.99201908433904,Caucasian,F,abdd9358-c186-4f94-ba45-b24d735915ce
Female,79.99999770019458,1.9124960727268725e-12,African-American,M,8e4a2c96-d859-4c1e-b25d-fd15695f9bb5
Female,79.43453146122317,1.2440405098666911,African-American,M,8e4a2c96-d859-4c1e-b25d-fd15695f9bb5
Female,79.99999742425746,2.2824209665441164e-09,African-American,M,8e4a2c96-d859-4c1e-b25d-fd15695f9bb5
Female,79.9999987759192,1.1577287770544235e-10,African-American,M,8e4a2c96-d859-4c1e-b25d-fd15695f9bb5
Female,79.99999753679822,8.146608407904495e-13,African-American,M,8e4a2c96-d859-4c1e-b25d-fd15695f9bb5
Female,75.78135075008336,5.480064708249801e-07,African-American,M,8e4a2c96-d859-4c1e-b25d-fd15695f9bb5
Female,79.99999882902358,7.129136967969829e-09,African-American,M,8e4a2c96-d859-4c1e-b25d-fd15695f9bb5
Female,78.34499909685425,4.575017815280219e-05,African-American,M,8e4a2c96-d859-4c1e-b25d-fd15695f9bb5
Female,79.99999259464232,8.710927943129351e-11,African-American,M,8e4a2c96-d859-4c1e-b25d-fd15695f9bb5
Female,75.83254975308311,3.8132924179240196e-08,African-American,M,8e4a2c96-d859-4c1e-b25d-fd15695f9bb5
Female,18.000557442312342,37.99999003930235,Caucasian,F,954ed604-430a-4a17-917c-90321d1393cd
Female,18.000167816555127,37.999976051990025,Caucasian,F,954ed604-430a-4a17-917c-90321d1393cd
Female,18.000107534760673,37.999944788255995,Caucasian,F,954ed604-430a-4a17-917c-90321d1393cd
Female,35.26646271339484,37.80552342607211,Caucasian,F,954ed604-430a-4a17-917c-90321d1393cd
Female,18.000055596616694,37.999939704680926,Caucasian,F,954ed604-430a-4a17-917c-90321d1393cd
Female,18.000144379512616,37.99999806994752,Caucasian,F,954ed604-430a-4a17-917c-90321d1393cd
Female,25.960117474866337,37.99109919414769,Caucasian,F,954ed604-430a-4a17-917c-90321d1393cd
Female,18.00008109908537,37.999994977106574,Caucasian,F,954ed604-430a-4a17-917c-90321d1393cd
Female,79.99999908358781,1.4821405090954412e-12,African-American,M,72b7e5d1-41cc-4f2a-abe3-735af3dfb008
Female,79.99999908358781,7.246232875489176e-13,African-American,M,72b7e5d1-41cc-4f2a-abe3-735af3dfb008
Female,79.99999994070141,1.1714650286276444e-11,African-American,M,72b7e5d1-41cc-4f2a-abe3-735af3dfb008
Female,79.996180156823,0.1327488837861733,African-American,M,72b7e5d1-41cc-4f2a-abe3-735af3dfb008
Female,79.99999919255225,4.0540562181519364e-08,African-American,M,72b7e5d1-41cc-4f2a-abe3-735af3dfb008
Female,79.99999919255225,6.062564483042383e-10,African-American,M,72b7e5d1-41cc-4f2a-abe3-735af3dfb008
Female,79.9999995733532,3.926317980337413e-12,African-American,M,72b7e5d1-41cc-4f2a-abe3-735af3dfb008
Female,79.99999500833466,2.027599322372039e-11,African-American,M,72b7e5d1-41cc-4f2a-abe3-735af3dfb008
Female,78.15266189814288,1.1906032619573462e-07,African-American,M,72b7e5d1-41cc-4f2a-abe3-735af3dfb008
Female,79.99999955929573,2.146312323441432e-11,African-American,M,72b7e5d1-41cc-4f2a-abe3-735af3dfb008
Female,18.000627551398143,37.999936802324584,Caucasian,F,1f21371d-85fc-481e-bbfa-9285f9a0ffdc
Female,18.000127614946578,37.9999763484687,Caucasian,F,1f21371d-85fc-481e-bbfa-9285f9a0ffdc
Female,18.000165252026704,37.999970230910705,Caucasian,F,1f21371d-85fc-481e-bbfa-9285f9a0ffdc
Female,18.000274954465567,37.99997553599913,Caucasian,F,1f21371d-85fc-481e-bbfa-9285f9a0ffdc
Female,18.000035136208258,37.99996121019862,Caucasian,F,1f21371d-85fc-481e-bbfa-9285f9a0ffdc
Female,18.000379702654033,37.99999064362273,Caucasian,F,1f21371d-85fc-481e-bbfa-9285f9a0ffdc
Female,79.9999970401432,5.990775473700868e-09,African-American,M,aa537546-9a22-431e-8267-649e4943ec91
Female,79.99999937567965,4.224406517133006e-10,African-American,M,aa537546-9a22-431e-8267-649e4943ec91
Female,79.99999937567965,4.155466229830872e-11,African-American,M,aa537546-9a22-431e-8267-649e4943ec91
Female,79.99999999907597,1.138980040507261e-09,African-American,M,aa537546-9a22-431e-8267-649e4943ec91
Female,79.99999999907597,1.1965311724765662e-09,African-American,M,aa537546-9a22-431e-8267-649e4943ec91
Female,79.99999444145755,2.549624353931158e-15,African-American,M,aa537546-9a22-431e-8267-649e4943ec91
Female,79.99999944220787,1.2520156833382651e-08,African-American,M,aa537546-9a22-431e-8267-649e4943ec91
Female,79.99999173694572,0.0,African-American,M,aa537546-9a22-431e-8267-649e4943ec91
Female,77.38601009787348,1.5989408167614205e-16,African-American,M,aa537546-9a22-431e-8267-649e4943ec91
