age,priors_count,c_charge_degree,race,sex,query_id
45.94468,2.368445,F,Caucasian,Male,19a54173-f7f3-4833-8deb-357f319fcb53
42.202896,1.7024662,F,Caucasian,Male,19a54173-f7f3-4833-8deb-357f319fcb53
40.412914,0.29957372,F,Caucasian,Male,19a54173-f7f3-4833-8deb-357f319fcb53
24.318562,0.0,F,Caucasian,Male,d243ad43-9c35-40d4-8c13-1a2e5aad4d15
26.362185,0.0,F,Caucasian,Male,d243ad43-9c35-40d4-8c13-1a2e5aad4d15
27.113785,0.91376406,F,Caucasian,Male,d243ad43-9c35-40d4-8c13-1a2e5aad4d15
39.567783,0.0,M,Caucasian,Female,add3c9e7-a1b6-4e3a-b104-5c05181053a7
43.208515,1.5327898,M,Caucasian,Female,add3c9e7-a1b6-4e3a-b104-5c05181053a7
36.195797,0.0,M,Caucasian,Female,add3c9e7-a1b6-4e3a-b104-5c05181053a7
57.729076,5.2145658,F,Caucasian,Female,9da27507-a0e1-4264-bf89-4a545fcdfa1d
59.12794,4.4850173,F,Caucasian,Female,9da27507-a0e1-4264-bf89-4a545fcdfa1d
59.05007,4.2113037,F,Caucasian,Female,9da27507-a0e1-4264-bf89-4a545fcdfa1d
28.813375,6.437826,M,Caucasian,Male,a99a3acc-21a2-42bf-8ae9-8b980a53d9b4
25.094828,4.979816,M,Caucasian,Male,a99a3acc-21a2-42bf-8ae9-8b980a53d9b4
24.212172,5.113492,M,Caucasian,Male,a99a3acc-21a2-42bf-8ae9-8b980a53d9b4
29.521568,6.0823083,F,African-American,Male,b429a946-0419-45fa-b168-0adbfc9b5004
29.119781,6.031312,F,African-American,Male,b429a946-0419-45fa-b168-0adbfc9b5004
32.792713,6.1452284,F,African-American,Male,b429a946-0419-45fa-b168-0adbfc9b5004
32.166332,4.4704947,F,African-American,Female,80722ed9-55dc-48f3-a75b-2c67c9ad5632
34.523262,4.380547,F,African-American,Female,80722ed9-55dc-48f3-a75b-2c67c9ad5632
32.96516,6.360651,F,African-American,Female,80722ed9-55dc-48f3-a75b-2c67c9ad5632
35.815998,3.6908612,M,Caucasian,Male,c67b2428-1749-423a-a016-cbb9d750b1c8
39.164665,5.254184,M,Caucasian,Male,c67b2428-1749-423a-a016-cbb9d750b1c8
38.925217,4.544733,M,Caucasian,Male,c67b2428-1749-423a-a016-cbb9d750b1c8
45.608253,1.2972798,M,African-American,Male,6829ce76-87f2-436d-8078-07d5180daa9d
45.37835,3.681238,M,African-American,Male,6829ce76-87f2-436d-8078-07d5180daa9d
44.31766,4.644843,M,Caucasian,Male,6829ce76-87f2-436d-8078-07d5180daa9d
26.475756,0.0,F,African-American,Male,53d1f9aa-027f-4a08-a501-a47d64f4cd72
24.136013,0.0,F,African-American,Male,53d1f9aa-027f-4a08-a501-a47d64f4cd72
24.071245,0.1100802,F,African-American,Male,53d1f9aa-027f-4a08-a501-a47d64f4cd72
39.710552,3.710156,F,Caucasian,Male,19a54173-f7f3-4833-8deb-357f319fcb53
44.35921,0.63411427,F,Caucasian,Male,19a54173-f7f3-4833-8deb-357f319fcb53
37.591606,0.0,F,Caucasian,Male,19a54173-f7f3-4833-8deb-357f319fcb53
26.704247,0.7139797,F,Caucasian,Male,d243ad43-9c35-40d4-8c13-1a2e5aad4d15
25.655424,1.8010098,F,Caucasian,Male,d243ad43-9c35-40d4-8c13-1a2e5aad4d15
29.258572,0.0,F,Caucasian,Male,d243ad43-9c35-40d4-8c13-1a2e5aad4d15
42.244278,0.27539694,M,Caucasian,Female,add3c9e7-a1b6-4e3a-b104-5c05181053a7
38.133873,0.9061613,M,Caucasian,Female,add3c9e7-a1b6-4e3a-b104-5c05181053a7
38.15727,0.0,M,Caucasian,Female,add3c9e7-a1b6-4e3a-b104-5c05181053a7
53.846634,5.4501266,F,Caucasian,Female,9da27507-a0e1-4264-bf89-4a545fcdfa1d
64.52515,4.9909816,F,Caucasian,Female,9da27507-a0e1-4264-bf89-4a545fcdfa1d
61.012947,4.458208,F,Caucasian,Female,9da27507-a0e1-4264-bf89-4a545fcdfa1d
28.456053,3.6112435,M,Caucasian,Male,a99a3acc-21a2-42bf-8ae9-8b980a53d9b4
22.029594,3.924985,M,Caucasian,Male,a99a3acc-21a2-42bf-8ae9-8b980a53d9b4
23.669024,4.8020434,M,Caucasian,Male,a99a3acc-21a2-42bf-8ae9-8b980a53d9b4
34.7903,5.133366,F,African-American,Male,b429a946-0419-45fa-b168-0adbfc9b5004
29.163807,3.5975323,F,African-American,Male,b429a946-0419-45fa-b168-0adbfc9b5004
32.14234,7.0184016,F,African-American,Male,b429a946-0419-45fa-b168-0adbfc9b5004
35.495335,6.02967,F,African-American,Female,80722ed9-55dc-48f3-a75b-2c67c9ad5632
35.42007,3.6128707,F,African-American,Female,80722ed9-55dc-48f3-a75b-2c67c9ad5632
30.61484,2.1775439,F,African-American,Female,80722ed9-55dc-48f3-a75b-2c67c9ad5632
39.294388,5.0491767,M,Caucasian,Male,c67b2428-1749-423a-a016-cbb9d750b1c8
36.48203,3.8128324,M,Caucasian,Male,c67b2428-1749-423a-a016-cbb9d750b1c8
37.053833,5.5786433,M,Caucasian,Male,c67b2428-1749-423a-a016-cbb9d750b1c8
42.776066,2.968949,M,African-American,Male,6829ce76-87f2-436d-8078-07d5180daa9d
45.927822,2.6703575,M,African-American,Male,6829ce76-87f2-436d-8078-07d5180daa9d
48.17139,3.1523857,M,African-American,Male,6829ce76-87f2-436d-8078-07d5180daa9d
21.789175,2.1638036,F,African-American,Male,53d1f9aa-027f-4a08-a501-a47d64f4cd72
23.918724,4.501284,F,African-American,Male,53d1f9aa-027f-4a08-a501-a47d64f4cd72
24.265917,1.7304463,F,African-American,Male,53d1f9aa-027f-4a08-a501-a47d64f4cd72
40.639797,0.0,F,Caucasian,Male,19a54173-f7f3-4833-8deb-357f319fcb53
41.1444,0.0,F,Caucasian,Male,19a54173-f7f3-4833-8deb-357f319fcb53
43.926216,0.0,F,Caucasian,Male,19a54173-f7f3-4833-8deb-357f319fcb53
26.33945,0.0,F,Caucasian,Male,d243ad43-9c35-40d4-8c13-1a2e5aad4d15
28.49671,2.9471862,F,Caucasian,Male,d243ad43-9c35-40d4-8c13-1a2e5aad4d15
34.299915,0.0,F,Caucasian,Male,d243ad43-9c35-40d4-8c13-1a2e5aad4d15
43.233246,0.0,M,Caucasian,Female,add3c9e7-a1b6-4e3a-b104-5c05181053a7
36.846138,0.72718793,M,Caucasian,Female,add3c9e7-a1b6-4e3a-b104-5c05181053a7
35.321926,1.3094109,M,Caucasian,Female,add3c9e7-a1b6-4e3a-b104-5c05181053a7
55.038994,1.9568143,F,Caucasian,Female,9da27507-a0e1-4264-bf89-4a545fcdfa1d
54.708904,5.3641067,F,Caucasian,Female,9da27507-a0e1-4264-bf89-4a545fcdfa1d
62.37918,1.9811304,F,Caucasian,Female,9da27507-a0e1-4264-bf89-4a545fcdfa1d
25.124022,4.0806203,M,Caucasian,Male,a99a3acc-21a2-42bf-8ae9-8b980a53d9b4
24.487411,7.1068263,M,Caucasian,Male,a99a3acc-21a2-42bf-8ae9-8b980a53d9b4
19.835932,7.217797,M,Caucasian,Male,a99a3acc-21a2-42bf-8ae9-8b980a53d9b4
30.707767,5.9917235,F,African-American,Male,b429a946-0419-45fa-b168-0adbfc9b5004
27.8227,5.4579554,F,African-American,Male,b429a946-0419-45fa-b168-0adbfc9b5004
25.01802,1.2178688,F,African-American,Male,b429a946-0419-45fa-b168-0adbfc9b5004
33.058655,5.037874,F,African-American,Female,80722ed9-55dc-48f3-a75b-2c67c9ad5632
34.9669,2.4901776,F,African-American,Female,80722ed9-55dc-48f3-a75b-2c67c9ad5632
31.531532,5.7810903,F,African-American,Female,80722ed9-55dc-48f3-a75b-2c67c9ad5632
30.763391,2.232983,F,Caucasian,Male,c67b2428-1749-423a-a016-cbb9d750b1c8
33.823193,4.6919656,M,Caucasian,Male,c67b2428-1749-423a-a016-cbb9d750b1c8
40.10276,4.5390577,M,Caucasian,Male,c67b2428-1749-423a-a016-cbb9d750b1c8
38.25357,0.7597462,M,African-American,Male,6829ce76-87f2-436d-8078-07d5180daa9d
48.305668,2.2865672,M,African-American,Male,6829ce76-87f2-436d-8078-07d5180daa9d
41.590572,5.573478,M,African-American,Male,6829ce76-87f2-436d-8078-07d5180daa9d
28.472998,1.0102887,F,African-American,Male,53d1f9aa-027f-4a08-a501-a47d64f4cd72
22.157463,5.543182,F,African-American,Male,53d1f9aa-027f-4a08-a501-a47d64f4cd72
19.75045,6.935724,F,African-American,Male,53d1f9aa-027f-4a08-a501-a47d64f4cd72
