status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,query_id
0 <= ... < 200 DM,53.21564285992862,no credits taken/ all credits paid back duly,education,14557.413941569324,A61,.. >= 7 years,3.9917951031579153,male : divorced/separated,none,3.2199194931318673,unknown / no property,23.09056887856622,bank,own,1.4908744028602874,skilled employee / official,1.837611181304617,"yes, registered under the customers name",yes,34f99129-5c03-4f73-81bb-4d6276329cca
0 <= ... < 200 DM,53.21564285992862,no credits taken/ all credits paid back duly,education,14557.413941569324,A61,.. >= 7 years,2.995358824423798,male : divorced/separated,none,3.2199194931318673,unknown / no property,23.230822003820062,bank,own,1.4908744028602874,skilled employee / official,1.837611181304617,"yes, registered under the customers name",yes,34f99129-5c03-4f73-81bb-4d6276329cca
0 <= ... < 200 DM,58.541746461215624,no credits taken/ all credits paid back duly,repairs,6838.175546084887,A61,... < 1 year,3.8948493464772422,male : divorced/separated,co-applicant,2.991364993223551,unknown / no property,52.724027289567935,bank,rent,3.0316148629819897,skilled employee / official,1.9858250140383256,"yes, registered under the customers name",yes,34f99129-5c03-4f73-81bb-4d6276329cca
0 <= ... < 200 DM,58.541746461215624,no credits taken/ all credits paid back duly,repairs,6657.217629149096,A61,... < 1 year,3.8948493464772422,male : divorced/separated,co-applicant,2.9918711009015353,unknown / no property,52.31220714277426,bank,rent,3.0293091609340843,skilled employee / official,1.9629964410714575,"yes, registered under the customers name",yes,34f99129-5c03-4f73-81bb-4d6276329cca
... < 0 DM,59.52582030568921,no credits taken/ all credits paid back duly,car (new),15830.28333808476,A61,... < 1 year,3.777237102216691,male : divorced/separated,none,3.4068997900924547,if not A121 : building society savings agreement/ life insurance,39.61015620492593,bank,own,3.981516140347277,skilled employee / official,1.2077141644622242,none,yes,34f99129-5c03-4f73-81bb-4d6276329cca
... < 0 DM,59.49915563182366,no credits taken/ all credits paid back duly,car (new),15830.31643290198,A61,1 <= ... < 4 years,3.777237617673763,male : divorced/separated,none,3.4336431138603625,if not A121 : building society savings agreement/ life insurance,37.61837507264047,bank,own,3.866178115609643,skilled employee / official,1.2077141644622242,none,yes,34f99129-5c03-4f73-81bb-4d6276329cca
... < 0 DM,59.50101890244943,delay in paying off in the past,education,15883.65959853123,A61,4 <= ... < 7 years,3.990758609788163,male : single,none,3.854814233059644,if not A121 : building society savings agreement/ life insurance,23.573693591531217,bank,own,2.0648715708219987,skilled employee / official,1.3197341841667432,"yes, registered under the customers name",yes,c7bc3dee-25a0-4bdb-bbd7-5375f0d85303
0 <= ... < 200 DM,59.89265418706338,delay in paying off in the past,education,7531.905798465613,A61,... < 1 year,3.999979387737554,male : divorced/separated,none,3.956060527734801,unknown / no property,34.01661955005402,stores,own,2.5700355181525136,skilled employee / official,1.117843735263521,"yes, registered under the customers name",yes,c7bc3dee-25a0-4bdb-bbd7-5375f0d85303
0 <= ... < 200 DM,59.98965238584577,delay in paying off in the past,education,1917.2209009054832,A61,... < 1 year,3.99999729748848,male : divorced/separated,none,3.956440880507658,unknown / no property,33.99711556811792,stores,own,2.5331276477825666,skilled employee / official,1.1624377972254378,"yes, registered under the customers name",yes,c7bc3dee-25a0-4bdb-bbd7-5375f0d85303
... < 0 DM,47.34322034080461,delay in paying off in the past,education,15944.918967294168,A61,.. >= 7 years,3.999998267346482,male : divorced/separated,co-applicant,2.6290361954407007,unknown / no property,39.321115562570775,stores,rent,2.618768645275335,skilled employee / official,1.5577593570936092,none,yes,c7bc3dee-25a0-4bdb-bbd7-5375f0d85303
0 <= ... < 200 DM,59.43938883047172,no credits taken/ all credits paid back duly,car (new),14869.460922040833,A62,.. >= 7 years,3.985390494779942,male : divorced/separated,co-applicant,3.2648026593977724,real estate,34.99860357789052,bank,own,1.4636371688637826,skilled employee / official,1.7490542292807152,none,yes,1b9a4318-9a7a-491a-b55d-7665953b08d9
0 <= ... < 200 DM,55.19739439107924,no credits taken/ all credits paid back duly,car (new),14869.460922040833,A62,.. >= 7 years,3.9853903306144858,male : divorced/separated,co-applicant,3.9460835447579456,"if not A121/A122 : car or other, not in attribute 6",33.66703921607588,bank,own,1.4636371688637826,skilled employee / official,1.7891343201632497,none,yes,1b9a4318-9a7a-491a-b55d-7665953b08d9
0 <= ... < 200 DM,59.86333096766327,delay in paying off in the past,education,10922.252647872534,A61,.. >= 7 years,3.814323672131131,male : divorced/separated,co-applicant,3.166128320456896,if not A121 : building society savings agreement/ life insurance,26.660450849209493,bank,own,1.720361165937988,skilled employee / official,1.9724702457994991,none,yes,1b9a4318-9a7a-491a-b55d-7665953b08d9
0 <= ... < 200 DM,59.86333096766327,delay in paying off in the past,education,10628.600395481311,A61,.. >= 7 years,3.814323672131131,male : divorced/separated,co-applicant,3.166128320456896,if not A121 : building society savings agreement/ life insurance,26.660450849209493,bank,own,1.7939192600902008,skilled employee / official,1.9917990564972576,none,yes,1b9a4318-9a7a-491a-b55d-7665953b08d9
0 <= ... < 200 DM,59.99987598939085,no credits taken/ all credits paid back duly,repairs,13801.523085691912,A62,... < 1 year,3.9079261440014657,male : divorced/separated,co-applicant,3.8201979813929134,unknown / no property,40.39174804586323,stores,own,1.1880670353602,skilled employee / official,1.985989697940261,none,yes,1b9a4318-9a7a-491a-b55d-7665953b08d9
0 <= ... < 200 DM,59.9392729975033,no credits taken/ all credits paid back duly,repairs,14089.663343031243,A64,... < 1 year,3.2007712544274916,male : divorced/separated,co-applicant,3.030357801584002,unknown / no property,41.12755183600456,stores,own,1.0002829698276838,skilled employee / official,1.9744023691842791,none,yes,1b9a4318-9a7a-491a-b55d-7665953b08d9
0 <= ... < 200 DM,59.90422485512389,delay in paying off in the past,education,11559.681464360989,A61,... < 1 year,3.9989224197357305,male : divorced/separated,none,2.2213583102664254,real estate,24.876127507106908,stores,own,2.0917425963201612,skilled employee / official,1.5804079013748782,"yes, registered under the customers name",yes,eb86c2ff-1a7f-48fa-a28a-200007d42776
0 <= ... < 200 DM,59.91199924015409,delay in paying off in the past,education,9254.251852542458,A61,... < 1 year,3.999362684390196,male : divorced/separated,none,2.9258215382146044,"if not A121/A122 : car or other, not in attribute 6",22.95386675743004,stores,own,2.441707813980888,unskilled - resident,1.5803010298175546,"yes, registered under the customers name",yes,eb86c2ff-1a7f-48fa-a28a-200007d42776
0 <= ... < 200 DM,59.99786717184024,no credits taken/ all credits paid back duly,education,2288.0485574535332,A61,4 <= ... < 7 years,3.999965431708695,male : divorced/separated,none,1.979193309873683,"if not A121/A122 : car or other, not in attribute 6",34.12786217901716,none,rent,2.009136989906457,skilled employee / official,1.9903849742345503,none,yes,eb86c2ff-1a7f-48fa-a28a-200007d42776
0 <= ... < 200 DM,59.99680062525257,no credits taken/ all credits paid back duly,education,2091.2514118710446,A61,4 <= ... < 7 years,3.0859304975618835,male : divorced/separated,none,1.979193309873683,"if not A121/A122 : car or other, not in attribute 6",34.12420523415072,none,rent,2.009136989906457,skilled employee / official,1.9903849742345503,none,yes,eb86c2ff-1a7f-48fa-a28a-200007d42776
0 <= ... < 200 DM,37.96660253185174,no credits taken/ all credits paid back duly,education,15770.349128644588,A61,.. >= 7 years,3.997084292286825,male : divorced/separated,co-applicant,3.9819451645921906,"if not A121/A122 : car or other, not in attribute 6",29.425939327286976,stores,rent,2.8327582530165594,skilled employee / official,1.052936305516961,none,yes,eb86c2ff-1a7f-48fa-a28a-200007d42776
0 <= ... < 200 DM,37.96660253185174,no credits taken/ all credits paid back duly,education,15770.538060480303,A61,.. >= 7 years,3.997084292286825,male : divorced/separated,co-applicant,3.9819451645921906,"if not A121/A122 : car or other, not in attribute 6",29.425939327286976,stores,rent,2.707533045146895,management/ self-employed/ highly qualified employee/ officer,1.052936305516961,none,yes,eb86c2ff-1a7f-48fa-a28a-200007d42776
0 <= ... < 200 DM,58.65860105416337,no credits taken/ all credits paid back duly,car (new),15886.918437246251,A61,... < 1 year,3.9340024343072058,male : divorced/separated,co-applicant,3.926408002329392,unknown / no property,48.842066516210416,stores,rent,3.9673584174477936,skilled employee / official,1.7900608735318313,"yes, registered under the customers name",yes,797829e5-82f8-4c58-bdf0-2647a6f2aa2c
0 <= ... < 200 DM,58.65860105416337,no credits taken/ all credits paid back duly,car (new),15886.918437246251,A61,... < 1 year,3.9340024343072058,male : divorced/separated,co-applicant,3.926408002329392,unknown / no property,48.842066516210416,stores,rent,3.9423940001770506,skilled employee / official,1.7900608735318313,"yes, registered under the customers name",yes,797829e5-82f8-4c58-bdf0-2647a6f2aa2c
0 <= ... < 200 DM,33.349314949213806,no credits taken/ all credits paid back duly,education,15659.515207288056,A64,... < 1 year,3.775912619594372,male : divorced/separated,none,3.4996823871030025,unknown / no property,26.110084038223818,stores,rent,1.0763514509397425,skilled employee / official,1.975100792202383,none,yes,797829e5-82f8-4c58-bdf0-2647a6f2aa2c
0 <= ... < 200 DM,59.82715725236642,no credits taken/ all credits paid back duly,car (new),15594.240900983654,A61,... < 1 year,3.943445756218862,male : divorced/separated,none,3.789753212800518,real estate,47.03143240594467,bank,rent,2.1948348488327727,skilled employee / official,1.227987901492893,"yes, registered under the customers name",yes,797829e5-82f8-4c58-bdf0-2647a6f2aa2c
0 <= ... < 200 DM,59.82715725236642,no credits taken/ all credits paid back duly,car (new),14599.924979058853,A61,... < 1 year,3.943445756218862,male : divorced/separated,none,3.789753212800518,real estate,47.03094405007494,bank,rent,2.1053002288026055,skilled employee / official,1.227987901492893,"yes, registered under the customers name",yes,797829e5-82f8-4c58-bdf0-2647a6f2aa2c
0 <= ... < 200 DM,59.142928612096995,delay in paying off in the past,education,15736.92283697734,A61,1 <= ... < 4 years,3.9856161686585616,male : divorced/separated,none,2.5082804442429394,unknown / no property,43.77271001042388,none,rent,1.99244345084478,skilled employee / official,1.8440077095317025,"yes, registered under the customers name",yes,d0a1631d-fff0-446c-84ba-9a8b48d49279
