status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,query_id
0 <= ... < 200 DM,18,existing credits paid back duly till now,business,1913,A64,... < 1 year,3,male : married/widowed,none,3,real estate,36,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,68d7e794-d7d0-4b61-a59a-4ef0ab93b41d
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1860,A61,unemployed,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,6569df7a-07db-43be-8602-0ffe87b1ffd3
... < 0 DM,24,delay in paying off in the past,radio/television,1024,A61,... < 1 year,4,male : married/widowed,none,4,real estate,48,stores,own,1,skilled employee / official,1,none,yes,3cf722ae-5bb2-4a09-93b6-a76ae2e892c3
... < 0 DM,18,no credits taken/ all credits paid back duly,business,3104,A61,4 <= ... < 7 years,3,male : single,none,1,if not A121 : building society savings agreement/ life insurance,31,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,7242175a-a239-47ec-b54a-a68c646beca7
0 <= ... < 200 DM,27,critical account/ other credits existing (not at this bank),radio/television,2520,A63,1 <= ... < 4 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,23,none,own,2,unskilled - resident,1,none,yes,89a71615-5759-4b6d-9fa6-6c52cdfc9b6b
0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),radio/television,882,A61,... < 1 year,4,male : single,guarantor,4,real estate,23,none,own,2,skilled employee / official,1,none,yes,1356ccd9-8821-44e8-878a-14cee588265f
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,3612,A61,.. >= 7 years,3,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,256dc0ba-d747-4517-bfdf-386442021398
... < 0 DM,6,existing credits paid back duly till now,car (used),1352,A63,unemployed,1,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,23,none,rent,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,14d43b06-3a87-45bc-bbae-33e472f816c4
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),6260,A61,4 <= ... < 7 years,3,male : single,none,3,real estate,28,none,rent,1,unskilled - resident,1,none,yes,4ba8f5a2-85c8-4757-930a-f7fca5cb2870
0 <= ... < 200 DM,11,critical account/ other credits existing (not at this bank),car (new),1322,A64,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",40,none,own,2,skilled employee / official,1,none,yes,f61cbfed-6996-4711-b138-0f9a2c22058a
0 <= ... < 200 DM,18,existing credits paid back duly till now,business,1913,A64,... < 1 year,3,male : married/widowed,none,3,real estate,36,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,6c16b09f-1a07-4397-bbf2-4a879f0c25b9
