status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,query_id
... < 0 DM,57.15790169625128,delay in paying off in the past,car (new),9433.889448144371,A61,.. >= 7 years,3.7418715048901263,male : divorced/separated,none,3.252656872679264,unknown / no property,24.483678420967,bank,rent,1.4474025935022454,skilled employee / official,1.6247962462716123,none,yes,34f99129-5c03-4f73-81bb-4d6276329cca
... < 0 DM,56.70638957387225,delay in paying off in the past,car (new),9433.889448144371,A61,.. >= 7 years,3.740498816601163,male : divorced/separated,none,3.252656872679264,unknown / no property,25.87396323641098,bank,rent,1.3571144352848306,management/ self-employed/ highly qualified employee/ officer,1.6247962462716123,none,yes,34f99129-5c03-4f73-81bb-4d6276329cca
... < 0 DM,59.24013112513559,no credits taken/ all credits paid back duly,car (new),10491.41977543642,A64,.. >= 7 years,3.56541728944291,male : divorced/separated,none,3.995220624953821,unknown / no property,26.010127183652557,bank,own,3.948901567157195,skilled employee / official,1.9933330927353672,none,yes,34f99129-5c03-4f73-81bb-4d6276329cca
... < 0 DM,58.89727715653545,no credits taken/ all credits paid back duly,car (new),10307.50686882532,A64,.. >= 7 years,3.5654604254933564,male : divorced/separated,none,3.9970432891130314,unknown / no property,21.909673272152897,bank,own,3.98948545025362,skilled employee / official,1.9930271829846455,none,yes,34f99129-5c03-4f73-81bb-4d6276329cca
0 <= ... < 200 DM,32.59812110874809,no credits taken/ all credits paid back duly,education,7564.973678347275,A61,.. >= 7 years,3.974657748885575,male : divorced/separated,co-applicant,3.925792436128675,unknown / no property,20.28187403429561,bank,rent,3.9234422492607415,skilled employee / official,1.968909444392697,"yes, registered under the customers name",yes,34f99129-5c03-4f73-81bb-4d6276329cca
0 <= ... < 200 DM,32.59812110874809,no credits taken/ all credits paid back duly,education,7564.973678347275,A61,.. >= 7 years,3.974357536004881,male : divorced/separated,co-applicant,3.9299343201558927,unknown / no property,20.288677652092066,bank,rent,3.004245258560601,skilled employee / official,1.968909444392697,"yes, registered under the customers name",yes,34f99129-5c03-4f73-81bb-4d6276329cca
... < 0 DM,59.988568111226904,no credits taken/ all credits paid back duly,car (new),12802.216804836737,A62,.. >= 7 years,3.768486587763506,male : divorced/separated,none,3.80885023951657,unknown / no property,57.92901826134489,bank,own,3.9029628160474257,skilled employee / official,1.1983029314234317,none,yes,34f99129-5c03-4f73-81bb-4d6276329cca
0 <= ... < 200 DM,59.89120234477628,no credits taken/ all credits paid back duly,business,15785.965014116504,A64,... < 1 year,3.8920410745428176,male : divorced/separated,co-applicant,3.682508067091906,unknown / no property,36.01528677023653,bank,rent,3.4894370617320316,skilled employee / official,1.5183515111892751,none,yes,34f99129-5c03-4f73-81bb-4d6276329cca
0 <= ... < 200 DM,59.89120234477628,no credits taken/ all credits paid back duly,business,15896.028042530414,A64,... < 1 year,3.8920410745428176,male : divorced/separated,co-applicant,3.682508067091906,unknown / no property,36.01528677023653,bank,own,3.4894370617320316,skilled employee / official,1.5183515111892751,none,yes,34f99129-5c03-4f73-81bb-4d6276329cca
... < 0 DM,59.995804775945984,no credits taken/ all credits paid back duly,car (new),15563.55702704198,A61,.. >= 7 years,3.417189573913872,male : divorced/separated,co-applicant,3.551109546877801,unknown / no property,55.614825761133446,bank,own,1.5553740658553707,skilled employee / official,1.9954645518861984,"yes, registered under the customers name",yes,34f99129-5c03-4f73-81bb-4d6276329cca
