ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,query_id
68,17,17,17,1,0,0,100,15,7,1,0,100,0,1,1,28,74,3,1,1,100,a218132f-5a79-4e2f-993e-d849ea3a0e8f
68,213,4,52,15,0,0,100,15,7,15,2,20,0,3,3,77,74,9,1,3,91,8906104a-4dfe-4c3c-a9d1-4b1971a1cfe6
67,134,2,52,23,0,0,92,63,6,25,3,25,0,10,9,30,74,5,2,1,64,d79e9c69-9fb3-44be-893b-bb5fe3a22538
89,209,54,101,11,0,0,100,15,7,11,0,55,6,0,0,3,74,1,1,0,50,f86a885d-7498-476e-912a-b07df2785512
60,45,1,18,13,0,0,100,15,7,15,4,40,1,1,1,71,65,5,2,1,88,8ab52680-e21b-4f1c-9fe7-7e78ab11b3fb
74,148,3,47,24,0,0,100,15,7,67,6,32,0,1,1,0,74,0,4,0,40,bdb0e6f5-d4c5-49d3-b318-12e1dff616be
65,179,19,99,24,1,0,76,0,4,25,0,32,22,0,0,26,71,10,2,1,86,7577e59b-c7dd-47e0-bc0f-e400045182af
81,162,23,89,26,0,0,100,15,7,26,0,31,3,1,1,11,58,1,2,0,33,ad2e6186-c6a5-4d87-9bd4-e08d2c18fedf
73,192,13,77,24,0,0,96,11,4,26,0,58,1,4,4,35,74,2,2,0,80,835d5a50-a0de-4f1d-80ef-78df3effafe9
68,343,1,96,40,1,1,90,39,6,43,3,37,0,11,11,75,58,8,6,4,71,5288fde5-e293-4f54-8950-89c1c8d3a9a2
68,17,17,17,1,0,0,100,15,7,1,0,100,0,1,1,28,74,3,1,1,100,989fbabb-a8ea-4cad-8dbb-73c191e006d1
68,213,4,52,15,0,0,100,15,7,15,2,20,0,3,3,77,74,9,1,3,91,4284aadc-a838-4fe0-b2c1-7cdc81cccee7
