ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,query_id
69.54118,12.023258,26.20526,17.192352,1.1902574,0.4245595,0.0,98.184456,14.553679,7.0538807,0.0,0.23000449,100.0,0.0,0.0,0.0,24.714945,55.780293,4.03323,1.0,0.73895955,100.0,a218132f-5a79-4e2f-993e-d849ea3a0e8f
68.79506,17.080116,5.234073,19.547419,0.0,0.49423578,0.084799364,99.28669,14.747534,7.2450843,0.0,0.0,100.0,0.59253615,0.92119884,0.009323666,30.039541,76.59798,2.237793,1.8592771,0.4476829,95.779594,a218132f-5a79-4e2f-993e-d849ea3a0e8f
70.450195,64.33143,0.0,4.0,2.1238022,0.0,0.0,100.0,11.727225,6.644622,0.0,0.0,92.366,0.98777336,2.4672754,2.4609234,22.080276,74.5101,4.287044,1.6071982,0.79547197,95.32067,a218132f-5a79-4e2f-993e-d849ea3a0e8f
65.327156,196.21071,0.0,62.890545,13.050602,0.0,0.0,98.28952,15.805072,6.9535494,10.73447,2.3703046,18.988262,1.3346977,5.492222,4.7208705,70.311874,79.505745,9.362943,1.0,3.6266437,97.92326,8906104a-4dfe-4c3c-a9d1-4b1971a1cfe6
67.290955,207.57825,0.0,60.03876,12.125101,0.50826687,0.0,98.92386,16.961596,6.6641726,11.628723,1.7448109,17.813549,0.0,3.284441,3.8314698,74.53803,48.18514,9.632853,1.0,3.5030077,89.62196,8906104a-4dfe-4c3c-a9d1-4b1971a1cfe6
70.83068,192.9995,0.0,52.644196,17.259102,0.48568273,0.0,100.0,13.6240835,7.0201097,14.534226,1.6852155,19.71974,0.0,3.800797,7.2423406,73.413,89.29883,10.199869,1.6482093,3.1225266,95.6891,8906104a-4dfe-4c3c-a9d1-4b1971a1cfe6
66.06153,141.09769,2.8887122,59.365112,21.975153,0.66920745,0.0,94.37854,63.7175,5.6817503,18.322922,2.7205386,24.780018,0.0,10.543477,10.102752,28.383833,73.15579,3.4001968,3.0382292,1.3915498,62.23399,d79e9c69-9fb3-44be-893b-bb5fe3a22538
64.21897,104.415276,0.0,29.52419,25.198084,0.29896545,0.0,97.462746,59.895164,6.0261745,22.531435,3.2115812,29.535389,0.0,10.217983,10.555108,39.32796,90.81534,6.3544993,2.5266867,1.2668314,63.445137,d79e9c69-9fb3-44be-893b-bb5fe3a22538
65.53273,186.07559,0.0,54.670147,23.210018,0.0,0.0,90.74738,65.75387,6.0682707,24.664474,3.017144,30.310738,0.0,7.661695,10.905955,22.309654,62.823914,4.7925506,2.5658863,1.6188145,63.660652,d79e9c69-9fb3-44be-893b-bb5fe3a22538
90.23634,164.37668,56.23273,119.21485,8.541888,0.0,0.0,100.0,14.349484,7.456566,13.317,0.17562768,61.155094,4.98637,0.0,1.4599915,2.067729,71.25115,0.0,1.169452,0.0,48.95075,f86a885d-7498-476e-912a-b07df2785512
86.67938,160.06517,29.594254,96.16773,5.584327,0.33676007,0.20897265,100.0,16.580252,7.2367578,13.540569,0.11250125,53.08972,5.3686852,0.0,0.0,6.9563246,84.770454,1.5345798,1.8569194,0.9483107,50.633877,f86a885d-7498-476e-912a-b07df2785512
87.24477,222.1865,58.0117,110.64593,15.824098,0.21500896,0.31171784,99.81826,13.679081,6.707891,10.377686,0.9628817,53.110844,5.221384,2.5587356,0.0,0.80991983,56.448093,0.6793269,1.0,1.5176145,52.76987,f86a885d-7498-476e-912a-b07df2785512
57.549232,74.176476,0.0,16.783012,10.408136,0.0,0.0721513,96.17232,20.515104,6.8382235,13.973145,2.9892344,37.027817,1.4571002,0.2427881,2.0737853,71.681885,62.963654,4.49127,3.6104457,0.0,88.9323,8ab52680-e21b-4f1c-9fe7-7e78ab11b3fb
60.625423,81.736404,11.253678,26.022955,16.358791,0.0,0.051912274,100.0,17.453102,6.794537,11.029451,3.6427567,44.113777,0.68414295,0.115799084,0.0,80.83109,64.67265,4.9893503,1.3431138,0.83834904,86.26693,8ab52680-e21b-4f1c-9fe7-7e78ab11b3fb
58.284904,1.9999999,0.0,27.380325,15.892977,0.0,0.0,95.08131,15.57256,6.8785987,13.7280245,4.519301,38.003998,0.06432751,0.0,0.1699581,79.02773,105.24968,4.2872796,2.2450325,1.1912918,88.27175,8ab52680-e21b-4f1c-9fe7-7e78ab11b3fb
73.04389,165.12827,0.0,68.9539,22.231195,0.0,0.09769417,100.0,18.349062,7.778109,63.35833,7.1065607,28.509172,0.0,1.0081766,0.0,4.6792746,60.273678,0.14670905,4.478565,0.0,43.56233,bdb0e6f5-d4c5-49d3-b318-12e1dff616be
73.51215,157.75206,15.553017,33.85041,26.135359,0.0,0.0,97.31464,16.329706,6.7606153,69.48467,5.93904,33.95947,0.0,0.0,0.0,0.0,75.302086,0.8197578,3.5799317,0.5721756,41.403683,bdb0e6f5-d4c5-49d3-b318-12e1dff616be
72.54663,156.67493,7.932706,70.06812,22.17891,0.1766105,0.0,100.0,15.093781,7.446109,65.5395,5.254956,31.181393,0.0,0.0,0.0,2.593022,81.91876,0.0,3.8290882,0.2418598,44.020317,bdb0e6f5-d4c5-49d3-b318-12e1dff616be
65.75474,227.74664,15.24864,79.321526,23.221169,0.26629966,1.0217909,79.056694,0.0,4.075768,27.15568,0.40947795,30.284203,21.664024,1.265078,0.75306726,12.338313,59.970406,9.87098,1.7617803,1.0564989,85.022385,7577e59b-c7dd-47e0-bc0f-e400045182af
66.10565,176.40826,20.10875,82.02213,25.241394,1.4292494,0.0,72.86643,1.3813833,3.6791563,23.310177,0.06137883,29.136309,21.796755,0.4355975,0.6433209,35.180294,62.718266,10.7497425,3.389954,1.8210353,87.750145,7577e59b-c7dd-47e0-bc0f-e400045182af
66.43397,152.77228,0.0,92.88549,22.84579,1.7099367,0.0,74.06974,0.6904616,3.7661111,20.727598,0.0,31.091618,21.0735,0.0,1.7934619,32.183643,59.79712,10.512878,2.7564986,0.3634841,85.889984,7577e59b-c7dd-47e0-bc0f-e400045182af
79.12855,150.04314,31.964073,88.61385,26.980875,0.0,0.26016882,99.05589,13.970907,7.106548,29.52708,0.4707278,33.837482,2.1869016,0.0,0.88224775,4.0896482,74.4392,2.545081,1.8058507,0.58424264,35.00705,ad2e6186-c6a5-4d87-9bd4-e08d2c18fedf
79.42411,155.56277,34.265038,87.00646,25.709038,0.42260194,0.6076872,96.69509,18.461744,6.8278675,25.311737,0.0,31.439653,3.7094445,2.8183992,0.0,14.876425,58.96379,2.1992111,1.4493512,0.4042333,26.720163,ad2e6186-c6a5-4d87-9bd4-e08d2c18fedf
80.580475,201.46281,17.322535,99.91427,27.374813,0.0,0.0,100.0,12.709942,7.2352614,24.368994,0.7068045,28.282701,3.5529807,0.29155344,1.8319262,10.952494,62.666317,0.08476299,3.0384812,1.0096587,29.808315,ad2e6186-c6a5-4d87-9bd4-e08d2c18fedf
71.84972,207.73235,12.592448,75.70128,23.866581,0.48435724,0.29775327,96.155266,12.060779,4.2558284,27.361656,0.0,58.50386,0.97631395,4.5502906,6.67597,28.77105,51.446957,2.6467736,1.5394118,0.9632969,80.872635,835d5a50-a0de-4f1d-80ef-78df3effafe9
75.06382,156.57285,10.236849,71.48,23.843187,0.5181522,0.390168,100.0,8.721794,4.6079245,24.851559,0.0,63.964565,1.0745139,8.659966,4.085839,39.0402,83.43806,2.619165,1.0,0.0,78.28585,835d5a50-a0de-4f1d-80ef-78df3effafe9
74.68945,191.51604,18.606632,81.2955,21.493977,1.4439049,0.0,96.17851,15.304105,4.078861,23.83913,0.0,57.012386,0.91789925,4.3396997,4.5948753,46.41105,58.81848,2.3083696,2.190892,0.1900622,86.29634,835d5a50-a0de-4f1d-80ef-78df3effafe9
70.424,301.17447,2.113315,100.176765,41.121456,1.3349776,0.15831861,92.9488,39.084896,5.875347,44.087227,3.2079725,36.912575,0.82666665,8.314424,8.900542,82.41522,70.26454,7.46409,4.832971,4.6210785,71.11626,5288fde5-e293-4f54-8950-89c1c8d3a9a2
69.6999,321.1869,14.183446,106.70572,41.046165,1.9451013,0.40307856,94.525475,35.50739,5.6384354,36.391453,3.4880457,38.296654,0.17361704,9.621269,14.814665,60.84008,46.287064,7.8562474,6.8678365,4.6734223,70.22546,5288fde5-e293-4f54-8950-89c1c8d3a9a2
69.69286,381.66367,0.0,86.288605,40.377537,0.7661652,1.9354358,91.284904,36.33472,5.8336945,39.819305,3.2193453,37.883045,0.457296,11.861171,11.124986,70.20143,54.001484,8.633603,5.893123,4.4784856,76.44875,5288fde5-e293-4f54-8950-89c1c8d3a9a2
69.395836,55.078568,4.2200885,47.667137,0.0,1.2864311,0.0,96.67011,7.7619762,7.051266,0.0038233548,2.4534793,96.76956,0.17072508,1.6472824,4.465522,37.273907,78.53704,2.3442473,2.3315659,0.84876645,97.35205,a218132f-5a79-4e2f-993e-d849ea3a0e8f
