employment_years,num_open_credit_acc,annual_income,loan_grade,credit_history,purpose,home,addr_state,query_id
3,14,60000.0,C,14.1,purchase,RENT,FL,b6c52e31-dca6-4ac0-99c7-2d260cf802b6
5,12,175000.0,F,16.5,purchase,MORTGAGE,PA,180e6ef5-a62b-4beb-8450-e2c4fecdb257
2,7,50000.0,B,8.9,debt,OWN,CA,bc9a4338-7699-443b-99e1-94cbcb732f6f
2,12,30000.0,B,5.5,debt,RENT,NY,36e6b027-88be-451d-8ca7-90b0c8c34642
8,14,77040.0,A,17.6,purchase,MORTGAGE,CT,e380cd73-c074-4038-8378-0663ac4af005
6,5,50000.0,C,7.5,debt,MORTGAGE,MO,88ee7ddf-bc9f-49e1-83a2-0774b0a4e4c5
10,5,50000.0,B,18.9,small_business,RENT,CA,77db3f44-1148-413a-95ac-59673e434eef
4,12,107000.0,A,15.9,debt,MORTGAGE,TX,9bc3f69e-9c97-495f-8382-b164db619917
5,4,35280.0,D,11.5,debt,OWN,CA,d52a9aae-5f24-42d2-8eca-528faec4343b
1,3,16320.0,C,3.3,purchase,RENT,OH,94c807c6-8100-472e-8403-346018b122d7
3,14,60000.0,C,14.1,purchase,RENT,FL,6b95e0ef-2815-4c7d-b442-7a753e878648
