employment_years,num_open_credit_acc,annual_income,credit_history,addr_state,home,loan_grade,purpose,query_id
2.6719513,15.093308,4080.0,13.585774,FL,RENT,C,purchase,b6c52e31-dca6-4ac0-99c7-2d260cf802b6
3.43053,12.788795,4080.0,12.380801,FL,RENT,C,purchase,b6c52e31-dca6-4ac0-99c7-2d260cf802b6
2.3594012,15.210865,205597.03,11.374832,FL,RENT,C,purchase,b6c52e31-dca6-4ac0-99c7-2d260cf802b6
5.69483,10.579051,114423.414,15.487997,PA,MORTGAGE,F,purchase,180e6ef5-a62b-4beb-8450-e2c4fecdb257
5.067293,13.49815,217134.75,17.501007,PA,MORTGAGE,F,purchase,180e6ef5-a62b-4beb-8450-e2c4fecdb257
4.816079,13.087713,108141.07,16.466118,PA,MORTGAGE,F,purchase,180e6ef5-a62b-4beb-8450-e2c4fecdb257
1.9373455,6.9469814,94671.04,8.2959175,CA,OWN,B,debt,bc9a4338-7699-443b-99e1-94cbcb732f6f
2.4562714,6.475326,4080.0,5.184855,CA,OWN,B,debt,bc9a4338-7699-443b-99e1-94cbcb732f6f
2.15998,5.5679836,109872.12,9.49751,CA,OWN,B,debt,bc9a4338-7699-443b-99e1-94cbcb732f6f
2.3029826,11.383182,4080.0,4.334155,NY,RENT,B,debt,36e6b027-88be-451d-8ca7-90b0c8c34642
1.9811405,11.687223,15436.377,3.0,NY,RENT,B,debt,36e6b027-88be-451d-8ca7-90b0c8c34642
2.2175388,11.854452,4080.0,6.4088764,NY,RENT,B,educational,36e6b027-88be-451d-8ca7-90b0c8c34642
7.6931815,12.885434,8879.179,15.397395,CT,MORTGAGE,A,purchase,e380cd73-c074-4038-8378-0663ac4af005
7.9353547,13.049064,131102.38,17.389803,CT,MORTGAGE,A,purchase,e380cd73-c074-4038-8378-0663ac4af005
7.72768,13.859459,91004.625,20.207602,CT,MORTGAGE,A,purchase,e380cd73-c074-4038-8378-0663ac4af005
6.1772966,4.9771304,14130.49,5.227518,MO,MORTGAGE,C,debt,88ee7ddf-bc9f-49e1-83a2-0774b0a4e4c5
6.147357,6.4631057,4080.0,7.594937,MO,MORTGAGE,C,debt,88ee7ddf-bc9f-49e1-83a2-0774b0a4e4c5
5.9614706,5.9301586,4080.0,8.594813,MO,MORTGAGE,C,educational,88ee7ddf-bc9f-49e1-83a2-0774b0a4e4c5
9.583034,7.8410716,4080.0,19.186365,CA,RENT,B,small_business,77db3f44-1148-413a-95ac-59673e434eef
10.0,3.6965594,4080.0,19.401102,CA,RENT,B,small_business,77db3f44-1148-413a-95ac-59673e434eef
10.0,6.0566816,163506.1,18.433931,CA,RENT,B,small_business,77db3f44-1148-413a-95ac-59673e434eef
3.6772199,12.661544,89579.73,18.761854,TX,MORTGAGE,A,debt,9bc3f69e-9c97-495f-8382-b164db619917
4.1642895,12.792569,22547.219,14.837535,TX,MORTGAGE,A,debt,9bc3f69e-9c97-495f-8382-b164db619917
3.721408,10.847836,69140.46,16.804739,TX,MORTGAGE,A,debt,9bc3f69e-9c97-495f-8382-b164db619917
5.093846,3.9082751,44339.82,12.189751,CA,OWN,D,debt,d52a9aae-5f24-42d2-8eca-528faec4343b
4.5474205,2.0,4080.0,12.338959,CA,OWN,D,debt,d52a9aae-5f24-42d2-8eca-528faec4343b
5.321125,5.516683,65865.58,10.730162,CA,OWN,D,debt,d52a9aae-5f24-42d2-8eca-528faec4343b
1.0742964,2.0,108314.43,3.0,OH,RENT,C,purchase,94c807c6-8100-472e-8403-346018b122d7
1.3679494,3.3103533,90821.02,3.0,OH,RENT,C,purchase,94c807c6-8100-472e-8403-346018b122d7
1.2177308,2.9018984,4080.0,4.255891,OH,RENT,C,purchase,94c807c6-8100-472e-8403-346018b122d7
3.2375252,14.467937,26863.615,15.396572,FL,RENT,C,purchase,b6c52e31-dca6-4ac0-99c7-2d260cf802b6
3.327725,14.534456,4080.0,14.546957,FL,RENT,C,purchase,b6c52e31-dca6-4ac0-99c7-2d260cf802b6
2.5368764,15.0560875,200534.73,12.615462,FL,RENT,C,purchase,b6c52e31-dca6-4ac0-99c7-2d260cf802b6
4.5995607,13.377964,51545.965,11.9577875,PA,MORTGAGE,F,purchase,180e6ef5-a62b-4beb-8450-e2c4fecdb257
4.6545978,8.149333,318639.78,17.182219,PA,MORTGAGE,F,purchase,180e6ef5-a62b-4beb-8450-e2c4fecdb257
4.043307,12.144475,43892.176,18.332634,OH,MORTGAGE,F,purchase,180e6ef5-a62b-4beb-8450-e2c4fecdb257
2.603148,6.7437234,4080.0,9.430965,CA,OWN,B,debt,bc9a4338-7699-443b-99e1-94cbcb732f6f
2.1383407,5.5636606,41467.453,10.037662,CA,OWN,B,debt,bc9a4338-7699-443b-99e1-94cbcb732f6f
1.8747832,4.669909,4080.0,3.0,CA,OTHER,B,debt,bc9a4338-7699-443b-99e1-94cbcb732f6f
2.083467,14.409843,513291.6,8.620547,NY,RENT,B,debt,36e6b027-88be-451d-8ca7-90b0c8c34642
1.7204797,12.884675,4080.0,12.281364,NY,RENT,B,debt,36e6b027-88be-451d-8ca7-90b0c8c34642
0.7797432,12.139334,366744.94,5.610787,NY,RENT,B,debt,36e6b027-88be-451d-8ca7-90b0c8c34642
8.18914,11.507496,118676.75,16.389671,CT,MORTGAGE,F,purchase,e380cd73-c074-4038-8378-0663ac4af005
8.326234,16.658804,426552.56,13.529092,IL,MORTGAGE,C,purchase,e380cd73-c074-4038-8378-0663ac4af005
7.862381,19.69804,4080.0,16.247766,CT,MORTGAGE,A,debt,e380cd73-c074-4038-8378-0663ac4af005
6.4931574,3.3914974,176779.75,7.354437,MO,MORTGAGE,C,debt,88ee7ddf-bc9f-49e1-83a2-0774b0a4e4c5
6.0481887,5.0818872,4080.0,4.8910317,MO,MORTGAGE,C,debt,88ee7ddf-bc9f-49e1-83a2-0774b0a4e4c5
6.459362,4.919026,73470.7,10.66546,MO,MORTGAGE,C,debt,88ee7ddf-bc9f-49e1-83a2-0774b0a4e4c5
10.0,2.0,4080.0,18.219162,CA,RENT,B,small_business,77db3f44-1148-413a-95ac-59673e434eef
9.907591,6.868895,4080.0,18.421936,CA,RENT,B,small_business,77db3f44-1148-413a-95ac-59673e434eef
9.951932,5.7118196,4080.0,16.32156,CA,RENT,B,small_business,77db3f44-1148-413a-95ac-59673e434eef
3.3746004,11.396166,109465.04,18.957376,TX,MORTGAGE,A,debt,9bc3f69e-9c97-495f-8382-b164db619917
4.378973,12.664932,98143.44,13.952466,TX,MORTGAGE,A,debt,9bc3f69e-9c97-495f-8382-b164db619917
3.4972105,10.241579,4080.0,16.664917,TX,MORTGAGE,A,small_business,9bc3f69e-9c97-495f-8382-b164db619917
4.3975,8.1921835,4080.0,14.030761,CA,OWN,D,debt,d52a9aae-5f24-42d2-8eca-528faec4343b
5.653026,2.1952288,23358.375,13.718501,CA,OWN,D,debt,d52a9aae-5f24-42d2-8eca-528faec4343b
4.7386274,5.433615,42777.457,7.0533447,CA,OWN,D,debt,d52a9aae-5f24-42d2-8eca-528faec4343b
1.1268581,5.0095944,292557.38,6.513163,OH,RENT,C,purchase,94c807c6-8100-472e-8403-346018b122d7
1.0919912,2.0,219122.47,6.541805,OH,RENT,C,purchase,94c807c6-8100-472e-8403-346018b122d7
0.6840825,2.0,4080.0,5.4049373,OH,RENT,C,purchase,94c807c6-8100-472e-8403-346018b122d7
2.8309605,11.760542,4080.0,12.762189,FL,RENT,C,purchase,b6c52e31-dca6-4ac0-99c7-2d260cf802b6
3.7107313,12.968092,89753.99,8.893504,FL,OWN,C,purchase,b6c52e31-dca6-4ac0-99c7-2d260cf802b6
2.6349056,13.598226,241025.83,19.455778,FL,RENT,C,purchase,b6c52e31-dca6-4ac0-99c7-2d260cf802b6
5.466118,15.348352,339370.03,12.999545,PA,MORTGAGE,F,purchase,180e6ef5-a62b-4beb-8450-e2c4fecdb257
5.2882123,9.418004,4080.0,15.976248,PA,MORTGAGE,F,purchase,180e6ef5-a62b-4beb-8450-e2c4fecdb257
3.9515839,7.360561,12971.887,18.87877,PA,MORTGAGE,F,purchase,180e6ef5-a62b-4beb-8450-e2c4fecdb257
1.5783685,14.017583,4080.0,12.636004,CA,OWN,B,debt,bc9a4338-7699-443b-99e1-94cbcb732f6f
2.2916112,9.844698,4080.0,8.822788,CA,OWN,B,debt,bc9a4338-7699-443b-99e1-94cbcb732f6f
1.7052855,9.054265,241213.73,5.167395,CA,OWN,B,debt,bc9a4338-7699-443b-99e1-94cbcb732f6f
2.83044,8.087154,4080.0,3.0,NY,RENT,B,debt,36e6b027-88be-451d-8ca7-90b0c8c34642
2.5135717,14.24092,397881.75,4.772683,NY,RENT,B,debt,36e6b027-88be-451d-8ca7-90b0c8c34642
2.392188,9.767042,4080.0,3.0,NY,RENT,B,debt,36e6b027-88be-451d-8ca7-90b0c8c34642
8.10823,11.051077,4080.0,18.024784,CT,MORTGAGE,A,purchase,e380cd73-c074-4038-8378-0663ac4af005
8.58038,14.244159,252882.95,22.299984,CT,MORTGAGE,A,purchase,e380cd73-c074-4038-8378-0663ac4af005
8.630993,14.825038,4080.0,16.045464,CT,MORTGAGE,A,purchase,e380cd73-c074-4038-8378-0663ac4af005
4.6187406,6.3191185,17379.314,11.583209,MO,MORTGAGE,C,debt,88ee7ddf-bc9f-49e1-83a2-0774b0a4e4c5
5.8163586,4.676285,348223.22,3.0,MO,MORTGAGE,C,debt,88ee7ddf-bc9f-49e1-83a2-0774b0a4e4c5
6.512234,7.1819797,394955.8,11.23338,MO,MORTGAGE,C,small_business,88ee7ddf-bc9f-49e1-83a2-0774b0a4e4c5
8.99708,9.139186,4080.0,17.357914,CA,RENT,B,small_business,77db3f44-1148-413a-95ac-59673e434eef
9.925575,2.0,85439.85,21.677578,CA,RENT,B,small_business,77db3f44-1148-413a-95ac-59673e434eef
8.555323,5.966676,8831.074,16.87012,CA,RENT,B,small_business,77db3f44-1148-413a-95ac-59673e434eef
3.8663018,14.558978,4080.0,9.7437315,TX,MORTGAGE,A,debt,9bc3f69e-9c97-495f-8382-b164db619917
4.3511896,11.451297,4080.0,15.38845,TX,MORTGAGE,A,purchase,9bc3f69e-9c97-495f-8382-b164db619917
4.4322643,10.719029,435613.6,18.233864,TX,MORTGAGE,A,debt,9bc3f69e-9c97-495f-8382-b164db619917
5.752779,2.0,4080.0,9.842925,CA,OWN,D,debt,d52a9aae-5f24-42d2-8eca-528faec4343b
4.708823,8.030915,151910.97,12.008063,CA,OWN,D,debt,d52a9aae-5f24-42d2-8eca-528faec4343b
5.0099664,5.7108226,4080.0,11.551617,CA,OWN,D,debt,d52a9aae-5f24-42d2-8eca-528faec4343b
0.12020223,4.652932,128256.77,3.0,OH,MORTGAGE,C,purchase,94c807c6-8100-472e-8403-346018b122d7
0.26843712,2.0,4080.0,9.512428,OH,RENT,C,purchase,94c807c6-8100-472e-8403-346018b122d7
0.930457,4.339937,195317.5,6.781679,OH,RENT,C,purchase,94c807c6-8100-472e-8403-346018b122d7
