query_uuid,cf_index,sigma,proximity,geometric_instability,intervention_instability,is_pareto_optimal
e2435e89-c81c-448c-a671-c441ecac249f,0,0.03,2.910395383834839,0.07476163655519485,0.06060606241226196,False
e2435e89-c81c-448c-a671-c441ecac249f,1,0.03,2.9090464115142822,0.07021187990903854,0.06060606241226196,True
e2435e89-c81c-448c-a671-c441ecac249f,2,0.03,2.9103968143463135,0.157010018825531,0.12727272510528564,False
e2435e89-c81c-448c-a671-c441ecac249f,3,0.03,2.536526679992676,0.20181961357593536,0.1111111119389534,False
e2435e89-c81c-448c-a671-c441ecac249f,4,0.03,3.246657371520996,0.19771261513233185,0.1111111119389534,False
e2435e89-c81c-448c-a671-c441ecac249f,5,0.03,3.244842529296875,0.19429321587085724,0.09090909361839294,False
e2435e89-c81c-448c-a671-c441ecac249f,6,0.03,2.919785261154175,0.32356739044189453,0.13333334028720856,False
e2435e89-c81c-448c-a671-c441ecac249f,7,0.03,2.8878345489501953,0.36183416843414307,0.20370370149612427,False
e2435e89-c81c-448c-a671-c441ecac249f,8,0.03,2.808616876602173,0.3102642595767975,0.19907407462596893,False
e2435e89-c81c-448c-a671-c441ecac249f,9,0.03,3.2850217819213867,0.5662317872047424,0.0833333358168602,False
e2435e89-c81c-448c-a671-c441ecac249f,10,0.03,3.277669906616211,0.5301223397254944,0.0833333358168602,False
e2435e89-c81c-448c-a671-c441ecac249f,11,0.03,3.27736234664917,0.5389711260795593,0.0833333358168602,False
e2435e89-c81c-448c-a671-c441ecac249f,12,0.03,2.8809826374053955,0.24220801889896393,0.16363637149333954,False
e2435e89-c81c-448c-a671-c441ecac249f,13,0.03,2.183232069015503,0.31149300932884216,0.1944444328546524,False
e2435e89-c81c-448c-a671-c441ecac249f,14,0.03,3.2128148078918457,0.28771838545799255,0.0833333358168602,False
e2435e89-c81c-448c-a671-c441ecac249f,15,0.03,3.184535264968872,0.2326904982328415,0.1666666716337204,False
e2435e89-c81c-448c-a671-c441ecac249f,16,0.03,3.184384822845459,0.2326868772506714,0.1666666716337204,False
e2435e89-c81c-448c-a671-c441ecac249f,17,0.03,2.8790996074676514,0.2853989899158478,0.09090909361839294,False
e2435e89-c81c-448c-a671-c441ecac249f,18,0.03,2.814228057861328,0.286880761384964,0.06666667014360428,False
e2435e89-c81c-448c-a671-c441ecac249f,19,0.03,3.296285629272461,0.5398213267326355,0.0833333358168602,False
e2435e89-c81c-448c-a671-c441ecac249f,20,0.03,2.9717421531677246,0.3099239766597748,0.03030303120613098,True
e2435e89-c81c-448c-a671-c441ecac249f,21,0.03,2.910954475402832,0.2033369392156601,0.06363636255264282,False
e2435e89-c81c-448c-a671-c441ecac249f,22,0.03,2.8796024322509766,0.22893126308918,0.06363636255264282,False
e2435e89-c81c-448c-a671-c441ecac249f,23,0.03,2.5403146743774414,0.31580060720443726,0.10000000149011612,False
e2435e89-c81c-448c-a671-c441ecac249f,24,0.03,2.9597833156585693,0.17688165605068207,0.06060606241226196,False
e2435e89-c81c-448c-a671-c441ecac249f,25,0.03,3.0049374103546143,0.40435484051704407,0.06060606241226196,False
e2435e89-c81c-448c-a671-c441ecac249f,26,0.03,2.949799060821533,0.36196398735046387,0.03030303120613098,True
e2435e89-c81c-448c-a671-c441ecac249f,27,0.03,2.5970332622528076,0.34178146719932556,0.06666667014360428,False
e2435e89-c81c-448c-a671-c441ecac249f,28,0.03,2.440762758255005,0.1598985493183136,0.2380952388048172,False
e2435e89-c81c-448c-a671-c441ecac249f,29,0.03,2.8979597091674805,0.09335058927536011,0.12727272510528564,True
e2435e89-c81c-448c-a671-c441ecac249f,30,0.03,2.900736093521118,0.17736674845218658,0.1666666716337204,False
e2435e89-c81c-448c-a671-c441ecac249f,31,0.03,2.5329861640930176,0.21021628379821777,0.07037036865949631,False
e2435e89-c81c-448c-a671-c441ecac249f,32,0.03,2.8716022968292236,0.269155353307724,0.10740741342306137,False
e2435e89-c81c-448c-a671-c441ecac249f,33,0.03,2.50205659866333,0.23829610645771027,0.24074073135852814,False
e2435e89-c81c-448c-a671-c441ecac249f,34,0.03,2.5029714107513428,0.223554790019989,0.06666667014360428,False
e2435e89-c81c-448c-a671-c441ecac249f,35,0.03,2.5069637298583984,0.2045886367559433,0.13333334028720856,False
