query_uuid,cf_index,sigma,proximity,geometric_instability,intervention_instability,is_pareto_optimal,status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker
68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,20,0.03,2.7543561458587646,1.0094202756881714,0.2976190447807312,True,0 <= ... < 200 DM,59.96755501994921,no credits taken/ all credits paid back duly,education,13775.483208460751,A64,... < 1 year,3.012601635643376,male : divorced/separated,none,2.931943103307761,real estate,35.999999999416275,bank,own,1.057302147726014,skilled employee / official,1.671415279826412,"yes, registered under the customers name",yes
68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,43,0.03,3.4484899044036865,1.0857460498809814,0.22979797422885895,True,0 <= ... < 200 DM,59.99487261422736,no credits taken/ all credits paid back duly,education,11626.383419810863,A61,... < 1 year,3.5877145619727444,male : divorced/separated,none,2.987449682687565,real estate,50.68783842753636,bank,rent,3.7086917418290697,skilled employee / official,1.1517152786476386,"yes, registered under the customers name",yes
68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,114,0.03,2.998906135559082,1.1813629865646362,0.03030303120613098,True,0 <= ... < 200 DM,59.78102378283306,existing credits paid back duly till now,car (new),10057.13897411009,A61,... < 1 year,3.523974874905099,male : divorced/separated,none,3.595304880935017,unknown / no property,31.253100806814544,bank,own,1.156467762906371,skilled employee / official,1.2947004341953303,"yes, registered under the customers name",yes
68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,117,0.03,2.953972101211548,1.2562979459762573,0.03030303120613098,True,0 <= ... < 200 DM,59.78102378283306,existing credits paid back duly till now,car (new),1075.0491535512483,A61,... < 1 year,3.523974874905099,male : divorced/separated,none,3.595304880935017,unknown / no property,31.228949294787103,bank,own,1.148571510057871,skilled employee / official,1.2947004341953303,"yes, registered under the customers name",yes
68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,118,0.03,2.6110215187072754,1.4439815282821655,0.28148147463798523,True,0 <= ... < 200 DM,59.81612778276872,existing credits paid back duly till now,car (new),8286.921307754325,A64,... < 1 year,2.999222521554233,male : divorced/separated,none,2.946319362909348,unknown / no property,31.26470334688773,bank,own,1.0098420811888469,skilled employee / official,1.294774383707238,"yes, registered under the customers name",yes
68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,160,0.03,2.5742383003234863,1.5644617080688477,0.4027777910232544,True,0 <= ... < 200 DM,58.44723489584972,existing credits paid back duly till now,business,2034.1057696716189,A61,... < 1 year,3.871927709022101,male : divorced/separated,none,3.0307410012076987,real estate,28.012279406172183,bank,rent,1.0194811123825251,skilled employee / official,1.0000707173705108,"yes, registered under the customers name",yes
68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,164,0.03,2.5423128604888916,1.5798662900924683,0.27407407760620117,True,0 <= ... < 200 DM,59.68913291357543,existing credits paid back duly till now,car (new),15525.024211031878,A64,... < 1 year,3.0085730589209256,male : married/widowed,none,3.9324398083033314,unknown / no property,30.166219066253,bank,own,3.941013133693038,skilled employee / official,1.2931616684442482,"yes, registered under the customers name",yes
68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,208,0.03,2.7327888011932373,0.8794443011283875,0.3185185194015503,True,0 <= ... < 200 DM,59.82341694646394,no credits taken/ all credits paid back duly,education,15872.518419264836,A64,... < 1 year,3.599695096839685,male : divorced/separated,none,3.251946069731522,real estate,29.957260032102635,bank,own,1.0771880322849845,skilled employee / official,1.2394436578977093,"yes, registered under the customers name",yes
68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,213,0.03,2.9718315601348877,1.0888668298721313,0.24074073135852814,True,0 <= ... < 200 DM,51.1372720071908,no credits taken/ all credits paid back duly,education,15922.906304730514,A64,... < 1 year,3.828757576630884,male : divorced/separated,none,2.968034432630162,real estate,33.36170110019045,bank,own,3.989640305655816,skilled employee / official,1.7813020966136492,"yes, registered under the customers name",yes
68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,228,0.03,3.1619880199432373,1.1255885362625122,0.21515150368213654,True,0 <= ... < 200 DM,54.29396675621815,existing credits paid back duly till now,car (new),15171.810227182832,A64,... < 1 year,3.7742272733728073,male : divorced/separated,none,3.816228145362991,unknown / no property,29.43942216115818,bank,own,3.522323701885345,skilled employee / official,1.0291175675985165,none,yes
68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,237,0.03,3.064394950866699,0.9193674921989441,0.31515151262283325,True,0 <= ... < 200 DM,57.96517894242693,no credits taken/ all credits paid back duly,education,15804.415295698836,A64,... < 1 year,3.351525009968502,male : divorced/separated,none,3.680782976501897,unknown / no property,26.683814157099444,bank,own,1.125148252084137,skilled employee / official,1.024076417107737,"yes, registered under the customers name",yes
6569df7a-07db-43be-8602-0ffe87b1ffd3,9,0.03,2.849867582321167,1.5743967294692993,0.24166667461395264,True,0 <= ... < 200 DM,56.07156202732395,no credits taken/ all credits paid back duly,car (used),14108.176944995475,A61,unemployed,3.997904085884757,male : divorced/separated,none,2.026636822355373,"if not A121/A122 : car or other, not in attribute 6",34.612329468878706,bank,own,2.6521485067527344,management/ self-employed/ highly qualified employee/ officer,1.9186442622669184,"yes, registered under the customers name",yes
6569df7a-07db-43be-8602-0ffe87b1ffd3,10,0.03,4.519899845123291,1.6950281858444214,0.06388888508081436,True,0 <= ... < 200 DM,59.25728134321025,no credits taken/ all credits paid back duly,education,15788.911453822053,A61,.. >= 7 years,3.998049026013237,male : divorced/separated,co-applicant,3.9863359295287664,unknown / no property,36.32108999966209,stores,own,2.267367433890067,skilled employee / official,1.6921595647564664,none,yes
6569df7a-07db-43be-8602-0ffe87b1ffd3,14,0.03,3.9536612033843994,1.4850273132324219,0.16025640070438385,True,0 <= ... < 200 DM,59.25728348322746,no credits taken/ all credits paid back duly,education,1703.6260603920828,A61,.. >= 7 years,3.998049026013237,male : divorced/separated,none,3.9863359295287664,unknown / no property,36.32108999966209,stores,own,1.9919880516518544,skilled employee / official,1.6921595647564664,"yes, registered under the customers name",yes
6569df7a-07db-43be-8602-0ffe87b1ffd3,17,0.03,3.088899612426758,1.6435476541519165,0.178571417927742,True,0 <= ... < 200 DM,59.94299475150773,no credits taken/ all credits paid back duly,car (new),15917.12148886796,A61,unemployed,3.9971034136454766,male : divorced/separated,none,2.000826174024584,"if not A121/A122 : car or other, not in attribute 6",34.62807630499875,none,rent,2.0079302563658947,management/ self-employed/ highly qualified employee/ officer,1.0580968698756656,"yes, registered under the customers name",yes
6569df7a-07db-43be-8602-0ffe87b1ffd3,45,0.03,4.537808418273926,1.6598663330078125,6.66666721826914e-10,True,0 <= ... < 200 DM,53.75103658123209,no credits taken/ all credits paid back duly,education,15944.308682093531,A61,4 <= ... < 7 years,3.997758451089407,male : divorced/separated,none,3.961481156241377,unknown / no property,39.076099361170655,stores,rent,2.57225380692482,skilled employee / official,1.8693682167632968,none,yes
6569df7a-07db-43be-8602-0ffe87b1ffd3,88,0.03,3.4758317470550537,1.3916352987289429,0.21481482684612274,True,0 <= ... < 200 DM,58.91729516415933,no credits taken/ all credits paid back duly,education,12621.722071972355,A61,unemployed,3.982942892468403,male : divorced/separated,none,2.083309152023213,if not A121 : building society savings agreement/ life insurance,34.001937839999535,none,own,1.9930438712888976,skilled employee / official,1.952341985739502,"yes, registered under the customers name",yes
6569df7a-07db-43be-8602-0ffe87b1ffd3,145,0.03,4.118383407592773,1.907117247581482,0.0555555559694767,True,0 <= ... < 200 DM,59.599855984193134,delay in paying off in the past,car (new),15943.045078978972,A61,unemployed,3.999999664845951,male : divorced/separated,none,3.775983136108032,unknown / no property,31.64571010715817,bank,rent,2.843322555528551,management/ self-employed/ highly qualified employee/ officer,1.9997637343838144,none,yes
6569df7a-07db-43be-8602-0ffe87b1ffd3,168,0.03,3.683314085006714,1.885809302330017,0.15811966359615326,True,0 <= ... < 200 DM,59.83972125622559,no credits taken/ all credits paid back duly,education,11397.473787437386,A61,.. >= 7 years,3.9697741545169247,male : divorced/separated,none,3.994723787234994,"if not A121/A122 : car or other, not in attribute 6",34.47081398136371,stores,rent,2.345175631009254,management/ self-employed/ highly qualified employee/ officer,1.1048700843454509,"yes, registered under the customers name",yes
6569df7a-07db-43be-8602-0ffe87b1ffd3,186,0.03,2.745309591293335,1.7744933366775513,0.38333332538604736,True,0 <= ... < 200 DM,59.67958857832965,no credits taken/ all credits paid back duly,education,15781.573409730663,A61,unemployed,3.999898732853516,male : single,none,2.334556177918744,"if not A121/A122 : car or other, not in attribute 6",34.1712975597205,stores,own,2.001324093076971,management/ self-employed/ highly qualified employee/ officer,1.0998313430733375,"yes, registered under the customers name",yes
