query_id,generated,duplicates,after_dedup,sigma,pareto
9211c618-8a8d-4004-a3d8-7bb15567d2b3,250,36,214,0.03,38
1ab692b4-13e2-44d3-9f4b-3cd71f1f00ed,250,21,229,0.03,26
7f94233d-b1ca-4b6b-9911-d7d2585c0409,250,31,219,0.03,51
3a0cdc0a-b75a-43ed-9caf-f65c00644bf3,250,35,215,0.03,41
52e849ae-51c1-4923-8831-d3a2396e4b76,250,21,229,0.03,16
d8e53ba2-4146-4d48-a7f3-29d2fe9438a6,250,42,208,0.03,35
026cfec7-077a-4951-8012-5e44a41bd686,250,28,222,0.03,30
c0aa0931-5d9f-47ab-a336-42627a8dbfd5,250,47,203,0.03,20
d86458e5-0450-44c4-b1b3-f0204a987f0d,250,28,222,0.03,36
71fdda35-7c20-45fa-ac46-5c684f1f4080,250,31,219,0.03,37
TOTAL,2500,320,2180,,330
