selector,query_uuid,sigma,selected_cf_index,proximity,geometric_instability,intervention_instability
min_proximity,9211c618-8a8d-4004-a3d8-7bb15567d2b3,0.03,32,2.0309226512908936,0.08252295106649399,2.4999999848063226e-09
min_geo,9211c618-8a8d-4004-a3d8-7bb15567d2b3,0.03,106,3.1929848194122314,1.8820649927420163e-07,1.4285713723083404e-09
weighted_sum_equal,9211c618-8a8d-4004-a3d8-7bb15567d2b3,0.03,141,2.046299934387207,0.00913463905453682,2.4999999848063226e-09
weighted_sum_prox_heavy,9211c618-8a8d-4004-a3d8-7bb15567d2b3,0.03,141,2.046299934387207,0.00913463905453682,2.4999999848063226e-09
pareto_knee,9211c618-8a8d-4004-a3d8-7bb15567d2b3,0.03,141,2.046299934387207,0.00913463905453682,2.4999999848063226e-09
pareto_lex,9211c618-8a8d-4004-a3d8-7bb15567d2b3,0.03,106,3.1929848194122314,1.8820649927420163e-07,1.4285713723083404e-09
random,9211c618-8a8d-4004-a3d8-7bb15567d2b3,0.03,163,3.1898844242095947,0.05169564485549927,1.4285713723083404e-09
min_proximity,1ab692b4-13e2-44d3-9f4b-3cd71f1f00ed,0.03,161,2.0900542736053467,1.4469832181930542,0.20000000298023224
min_geo,1ab692b4-13e2-44d3-9f4b-3cd71f1f00ed,0.03,96,2.937141180038452,9.954674169421196e-05,1.6666666935449825e-09
weighted_sum_equal,1ab692b4-13e2-44d3-9f4b-3cd71f1f00ed,0.03,85,2.51371693611145,0.043909940868616104,2.4999999848063226e-09
weighted_sum_prox_heavy,1ab692b4-13e2-44d3-9f4b-3cd71f1f00ed,0.03,13,2.163454294204712,0.5286604166030884,0.06666667014360428
pareto_knee,1ab692b4-13e2-44d3-9f4b-3cd71f1f00ed,0.03,85,2.51371693611145,0.043909940868616104,2.4999999848063226e-09
pareto_lex,1ab692b4-13e2-44d3-9f4b-3cd71f1f00ed,0.03,96,2.937141180038452,9.954674169421196e-05,1.6666666935449825e-09
random,1ab692b4-13e2-44d3-9f4b-3cd71f1f00ed,0.03,28,2.93202543258667,0.00648700213059783,1.6666666935449825e-09
min_proximity,7f94233d-b1ca-4b6b-9911-d7d2585c0409,0.03,127,2.20672869682312,0.017867153510451317,2.4999999848063226e-09
min_geo,7f94233d-b1ca-4b6b-9911-d7d2585c0409,0.03,95,3.301490306854248,2.7785603151642135e-07,1.4285713723083404e-09
weighted_sum_equal,7f94233d-b1ca-4b6b-9911-d7d2585c0409,0.03,16,2.213557481765747,9.737920663610566e-06,2.4999999848063226e-09
weighted_sum_prox_heavy,7f94233d-b1ca-4b6b-9911-d7d2585c0409,0.03,127,2.20672869682312,0.017867153510451317,2.4999999848063226e-09
pareto_knee,7f94233d-b1ca-4b6b-9911-d7d2585c0409,0.03,37,2.213503122329712,0.00023951183538883924,2.4999999848063226e-09
pareto_lex,7f94233d-b1ca-4b6b-9911-d7d2585c0409,0.03,95,3.301490306854248,2.7785603151642135e-07,1.4285713723083404e-09
random,7f94233d-b1ca-4b6b-9911-d7d2585c0409,0.03,6,2.9787557125091553,1.4143582582473755,0.0555555559694767
min_proximity,3a0cdc0a-b75a-43ed-9caf-f65c00644bf3,0.03,110,1.5303457975387573,0.8824998736381531,0.3888889253139496
min_geo,3a0cdc0a-b75a-43ed-9caf-f65c00644bf3,0.03,184,2.5129833221435547,0.7450168132781982,0.18888889253139496
weighted_sum_equal,3a0cdc0a-b75a-43ed-9caf-f65c00644bf3,0.03,172,2.106070041656494,0.7900330424308777,0.06666667014360428
weighted_sum_prox_heavy,3a0cdc0a-b75a-43ed-9caf-f65c00644bf3,0.03,110,1.5303457975387573,0.8824998736381531,0.3888889253139496
pareto_knee,3a0cdc0a-b75a-43ed-9caf-f65c00644bf3,0.03,190,2.0869791507720947,0.9311943650245667,0.06666667014360428
pareto_lex,3a0cdc0a-b75a-43ed-9caf-f65c00644bf3,0.03,184,2.5129833221435547,0.7450168132781982,0.18888889253139496
random,3a0cdc0a-b75a-43ed-9caf-f65c00644bf3,0.03,189,2.5141966342926025,0.7613981366157532,0.0555555559694767
min_proximity,52e849ae-51c1-4923-8831-d3a2396e4b76,0.03,150,1.7039799690246582,0.029686080291867256,4.999999969612645e-09
min_geo,52e849ae-51c1-4923-8831-d3a2396e4b76,0.03,219,2.2270193099975586,8.24136077426374e-05,3.3333329430007552e-09
weighted_sum_equal,52e849ae-51c1-4923-8831-d3a2396e4b76,0.03,150,1.7039799690246582,0.029686080291867256,4.999999969612645e-09
weighted_sum_prox_heavy,52e849ae-51c1-4923-8831-d3a2396e4b76,0.03,150,1.7039799690246582,0.029686080291867256,4.999999969612645e-09
pareto_knee,52e849ae-51c1-4923-8831-d3a2396e4b76,0.03,15,1.720348596572876,0.005278408527374268,4.999999969612645e-09
pareto_lex,52e849ae-51c1-4923-8831-d3a2396e4b76,0.03,219,2.2270193099975586,8.24136077426374e-05,3.3333329430007552e-09
random,52e849ae-51c1-4923-8831-d3a2396e4b76,0.03,70,2.227015495300293,0.0014935396611690521,3.3333329430007552e-09
min_proximity,d8e53ba2-4146-4d48-a7f3-29d2fe9438a6,0.03,137,1.536903738975525,0.6653509140014648,0.4222222566604614
min_geo,d8e53ba2-4146-4d48-a7f3-29d2fe9438a6,0.03,125,2.5466628074645996,0.0004447071114555001,0.06666667014360428
weighted_sum_equal,d8e53ba2-4146-4d48-a7f3-29d2fe9438a6,0.03,136,1.5449272394180298,0.5618041157722473,0.13333334028720856
weighted_sum_prox_heavy,d8e53ba2-4146-4d48-a7f3-29d2fe9438a6,0.03,136,1.5449272394180298,0.5618041157722473,0.13333334028720856
pareto_knee,d8e53ba2-4146-4d48-a7f3-29d2fe9438a6,0.03,136,1.5449272394180298,0.5618041157722473,0.13333334028720856
pareto_lex,d8e53ba2-4146-4d48-a7f3-29d2fe9438a6,0.03,125,2.5466628074645996,0.0004447071114555001,0.06666667014360428
random,d8e53ba2-4146-4d48-a7f3-29d2fe9438a6,0.03,62,2.5096843242645264,0.06595664471387863,0.20000000298023224
min_proximity,026cfec7-077a-4951-8012-5e44a41bd686,0.03,116,1.4833179712295532,0.49235162138938904,0.1666666716337204
min_geo,026cfec7-077a-4951-8012-5e44a41bd686,0.03,179,2.609839677810669,3.1030140235088766e-05,1.999999943436137e-09
weighted_sum_equal,026cfec7-077a-4951-8012-5e44a41bd686,0.03,33,2.0531506538391113,0.0001823476777644828,2.4999999848063226e-09
weighted_sum_prox_heavy,026cfec7-077a-4951-8012-5e44a41bd686,0.03,192,1.5103744268417358,0.48699119687080383,0.0833333358168602
pareto_knee,026cfec7-077a-4951-8012-5e44a41bd686,0.03,39,2.0351109504699707,0.04122770205140114,3.3333329430007552e-09
pareto_lex,026cfec7-077a-4951-8012-5e44a41bd686,0.03,179,2.609839677810669,3.1030140235088766e-05,1.999999943436137e-09
random,026cfec7-077a-4951-8012-5e44a41bd686,0.03,57,2.4898319244384766,0.06278720498085022,0.13333334028720856
min_proximity,c0aa0931-5d9f-47ab-a336-42627a8dbfd5,0.03,68,0.6434771418571472,0.00892928708344698,4.999999969612645e-09
min_geo,c0aa0931-5d9f-47ab-a336-42627a8dbfd5,0.03,78,1.5578227043151855,5.3110805311007425e-05,3.3333329430007552e-09
weighted_sum_equal,c0aa0931-5d9f-47ab-a336-42627a8dbfd5,0.03,68,0.6434771418571472,0.00892928708344698,4.999999969612645e-09
weighted_sum_prox_heavy,c0aa0931-5d9f-47ab-a336-42627a8dbfd5,0.03,68,0.6434771418571472,0.00892928708344698,4.999999969612645e-09
pareto_knee,c0aa0931-5d9f-47ab-a336-42627a8dbfd5,0.03,163,0.6493347883224487,0.0038468034472316504,4.999999969612645e-09
pareto_lex,c0aa0931-5d9f-47ab-a336-42627a8dbfd5,0.03,78,1.5578227043151855,5.3110805311007425e-05,3.3333329430007552e-09
random,c0aa0931-5d9f-47ab-a336-42627a8dbfd5,0.03,35,1.5305484533309937,0.0126626156270504,0.2222222238779068
min_proximity,d86458e5-0450-44c4-b1b3-f0204a987f0d,0.03,9,1.6000266075134277,1.0031723976135254,0.2777777910232544
min_geo,d86458e5-0450-44c4-b1b3-f0204a987f0d,0.03,141,2.1384940147399902,4.012513454654254e-05,2.4999999848063226e-09
