,,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
query_uuid,sigma,,,,,,,,,,,,,,,,,,,,,,,,
19a54173-f7f3-4833-8deb-357f319fcb53,0.03,208.0,1.7963745817542076,0.2584998094296039,0.965216338634491,1.7169916331768036,1.7502976655960083,1.7566088438034058,2.2363760471343994,208.0,0.009278772825241597,0.010095096057568939,4.3168563479412114e-07,2.3431171030097175e-05,0.009570582769811153,0.012227974832057953,0.07305535674095154,208.0,0.05008013066039126,0.052835951238639677,2.4999999848063226e-09,3.3333329430007552e-09,4.999999969612645e-09,0.1111111119389534,0.1666666716337204
19a54173-f7f3-4833-8deb-357f319fcb53,0.05,208.0,1.7963745817542076,0.2584998094296039,0.965216338634491,1.7169916331768036,1.7502976655960083,1.7566088438034058,2.2363760471343994,208.0,0.010339244471921916,0.012762643357676748,2.377406190134934e-06,2.0267837498977315e-05,0.009482096880674362,0.012024221010506153,0.0848497822880745,208.0,0.05048077175382447,0.055456758256961294,2.4999999848063226e-09,3.3333329430007552e-09,4.999999969612645e-09,0.1111111119389534,0.3333333432674408
19a54173-f7f3-4833-8deb-357f319fcb53,0.07,208.0,1.7963745817542076,0.2584998094296039,0.965216338634491,1.7169916331768036,1.7502976655960083,1.7566088438034058,2.2363760471343994,208.0,0.009607667663972235,0.017438187278050063,2.45879004978633e-06,2.5528407604724634e-05,0.007338787661865354,0.008820871356874704,0.16823548078536987,208.0,0.04861111368669846,0.06028574430143828,2.4999999848063226e-09,3.3333329430007552e-09,4.999999969612645e-09,0.1111111119389534,0.5
53d1f9aa-027f-4a08-a501-a47d64f4cd72,0.03,197.0,2.00431487735758,0.3685633059874001,0.8428363800048828,2.1363089084625244,2.1864328384399414,2.1946523189544678,2.194654703140259,197.0,0.007911426723114118,0.01088619805073573,2.2692022143711715e-13,5.303122065924981e-07,0.0008879568777047098,0.019978173077106476,0.03524855151772499,197.0,4.103214581418708e-09,1.8013777134836782e-09,3.3333329430007552e-09,3.3333329430007552e-09,3.3333329430007552e-09,3.3333329430007552e-09,9.99999993922529e-09
53d1f9aa-027f-4a08-a501-a47d64f4cd72,0.05,197.0,2.00431487735758,0.3685633059874001,0.8428363800048828,2.1363089084625244,2.1864328384399414,2.1946523189544678,2.194654703140259,197.0,0.0031627821056296797,0.0056192289455044625,7.680572622348336e-09,7.10594889596905e-08,0.0008133973460644484,0.0031987030524760485,0.036898136138916016,197.0,0.09404963580182361,0.023196490244392316,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.1666666716337204
53d1f9aa-027f-4a08-a501-a47d64f4cd72,0.07,197.0,2.00431487735758,0.3685633059874001,0.8428363800048828,2.1363089084625244,2.1864328384399414,2.1946523189544678,2.194654703140259,197.0,0.0028925444242972847,0.006289817947132515,4.152452603989332e-09,7.948053593054283e-08,0.0008517832611687481,0.0027004964649677277,0.06197737529873848,197.0,0.18809927160364723,0.04639298048878463,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.3333333432674408
6829ce76-87f2-436d-8078-07d5180daa9d,0.03,187.0,2.427456168567433,0.2280849069017339,1.7231087684631348,2.2414698600769043,2.6008360385894775,2.6490544080734253,2.6503195762634277,187.0,0.03506902084358077,0.15267244260322232,1.484026142861694e-06,0.0005097037828818429,0.0009643860976211727,0.01521544111892581,0.95770263671875,187.0,0.0794711850862452,0.040440181653528584,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.29999998211860657
6829ce76-87f2-436d-8078-07d5180daa9d,0.05,187.0,2.427456168567433,0.2280849069017339,1.7231087684631348,2.2414698600769043,2.6008360385894775,2.6490544080734253,2.6503195762634277,187.0,0.03613217725528797,0.15651812511972454,2.6747036940832913e-07,3.2293586400555796e-06,0.0011821750085800886,0.012366114184260368,0.9875887036323547,187.0,0.014616758360792506,0.04341615968071142,1.999999943436137e-09,1.999999943436137e-09,2.4999999848063226e-09,2.4999999848063226e-09,0.25
6829ce76-87f2-436d-8078-07d5180daa9d,0.07,187.0,2.427456168567433,0.2280849069017339,1.7231087684631348,2.2414698600769043,2.6008360385894775,2.6490544080734253,2.6503195762634277,187.0,0.5866909086066772,0.10943302041677588,0.3960632383823395,0.47121982276439667,0.6490489840507507,0.6556028723716736,0.927272617816925,187.0,0.056654786567394935,0.05964027781964632,2.4999999848063226e-09,2.4999999848063226e-09,0.06666667014360428,0.06666667014360428,0.3333333432674408
80722ed9-55dc-48f3-a75b-2c67c9ad5632,0.03,217.0,1.5756867261526222,0.14998274829211655,0.7149821519851685,1.5796419382095337,1.607192873954773,1.6099611520767212,2.1428892612457275,217.0,0.5923146676907342,0.11366442909236527,0.35190293192863464,0.5860060453414917,0.5900986790657043,0.5911070704460144,1.69887113571167,217.0,0.11008704659804674,0.028268875918722017,4.999999969612645e-09,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.3333333432674408
80722ed9-55dc-48f3-a75b-2c67c9ad5632,0.05,217.0,1.5756867261526222,0.14998274829211655,0.7149821519851685,1.5796419382095337,1.607192873954773,1.6099611520767212,2.1428892612457275,217.0,1.1655311639407813,0.07755003565737434,0.7011811137199402,1.1700960397720337,1.181195616722107,1.1860114336013794,1.2866891622543335,217.0,0.2447516680596931,0.06440716022086655,4.999999969612645e-09,0.2222222238779068,0.2222222238779068,0.3333333432674408,0.3333333432674408
80722ed9-55dc-48f3-a75b-2c67c9ad5632,0.07,217.0,1.5756867261526222,0.14998274829211655,0.7149821519851685,1.5796419382095337,1.607192873954773,1.6099611520767212,2.1428892612457275,217.0,0.5859285805906568,0.06489641123443092,0.3503306806087494,0.5850446224212646,0.5886648893356323,0.5898863077163696,1.1257232427597046,217.0,0.11571940707674679,0.03391698214027679,4.999999969612645e-09,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.2222222238779068
9da27507-a0e1-4264-bf89-4a545fcdfa1d,0.03,234.0,1.1060641336644816,0.31467983212499945,0.7365421056747437,0.9033390283584595,0.9759260416030884,1.0937232971191406,2.2794103622436523,234.0,0.019234130950576692,0.06642342722754765,1.5091922023202642e-06,0.00018930646183434874,0.0040160478092730045,0.015272718388587236,0.5572717785835266,234.0,0.003086424724126986,0.018298646628626826,3.3333329430007552e-09,4.999999969612645e-09,4.999999969612645e-09,4.999999969612645e-09,0.1666666716337204
9da27507-a0e1-4264-bf89-4a545fcdfa1d,0.05,234.0,1.1060641336644816,0.31467983212499945,0.7365421056747437,0.9033390283584595,0.9759260416030884,1.0937232971191406,2.2794103622436523,234.0,0.013586039882389668,0.02214355926329115,1.0045683893622481e-06,9.80018430709606e-05,0.004600473213940859,0.016859821509569883,0.15262381732463837,234.0,0.06006648141221485,0.08546837900088027,2.4999999848063226e-09,4.999999969612645e-09,4.999999969612645e-09,0.1666666716337204,0.3333333432674408
9da27507-a0e1-4264-bf89-4a545fcdfa1d,0.07,234.0,1.1060641336644816,0.31467983212499945,0.7365421056747437,0.9033390283584595,0.9759260416030884,1.0937232971191406,2.2794103622436523,234.0,0.0114883554566617,0.01876984618953425,1.3050424740868038e-06,6.816312452428974e-05,0.004967207787558436,0.01418561558239162,0.13113613426685333,234.0,0.10992403269530537,0.15237975269150006,2.4999999848063226e-09,4.999999969612645e-09,4.999999969612645e-09,0.3333333432674408,0.3333333432674408
a99a3acc-21a2-42bf-8ae9-8b980a53d9b4,0.03,221.0,2.1287416268258075,0.2638575281636787,0.707269549369812,2.151334047317505,2.1892952919006348,2.1918606758117676,2.6084964275360107,221.0,0.004033759876665425,0.008494040570070811,6.7021527216937216e-12,8.070447421459903e-08,0.0010105861583724618,0.004449256230145693,0.06619825214147568,221.0,0.000754150404074098,0.007909487269575927,1.999999943436137e-09,2.4999999848063226e-09,2.4999999848063226e-09,2.4999999848063226e-09,0.0833333358168602
a99a3acc-21a2-42bf-8ae9-8b980a53d9b4,0.05,221.0,2.1287416268258075,0.2638575281636787,0.707269549369812,2.151334047317505,2.1892952919006348,2.1918606758117676,2.6084964275360107,221.0,0.0038038707556615186,0.009526145215644021,1.1789554792487889e-13,7.962916726000913e-08,0.0012579127214848995,0.00358605501241982,0.11731230467557907,221.0,0.08637506528272888,0.014266341336764589,0.06666667014360428,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.1666666716337204
a99a3acc-21a2-42bf-8ae9-8b980a53d9b4,0.07,221.0,2.1287416268258075,0.2638575281636787,0.707269549369812,2.151334047317505,2.1892952919006348,2.1918606758117676,2.6084964275360107,221.0,0.0037646444982642824,0.009489227179947103,1.6873409950084878e-13,5.962657922964354e-08,0.0010558950016275048,0.0032207274343818426,0.0816672146320343,221.0,0.000754150404074098,0.007909487269575927,1.999999943436137e-09,2.4999999848063226e-09,2.4999999848063226e-09,2.4999999848063226e-09,0.0833333358168602
