query_id,generated,duplicates,after_dedup,sigma,pareto
19a54173-f7f3-4833-8deb-357f319fcb53,250,42,208,0.03,29
d243ad43-9c35-40d4-8c13-1a2e5aad4d15,250,57,193,0.03,37
add3c9e7-a1b6-4e3a-b104-5c05181053a7,250,24,226,0.03,33
9da27507-a0e1-4264-bf89-4a545fcdfa1d,250,16,234,0.03,43
a99a3acc-21a2-42bf-8ae9-8b980a53d9b4,250,29,221,0.03,25
b429a946-0419-45fa-b168-0adbfc9b5004,250,32,218,0.03,29
80722ed9-55dc-48f3-a75b-2c67c9ad5632,250,33,217,0.03,1
c67b2428-1749-423a-a016-cbb9d750b1c8,250,38,212,0.03,44
6829ce76-87f2-436d-8078-07d5180daa9d,250,63,187,0.03,23
53d1f9aa-027f-4a08-a501-a47d64f4cd72,250,53,197,0.03,23
TOTAL,2500,387,2113,,287
