selector,query_uuid,sigma,selected_cf_index,proximity,geometric_instability,intervention_instability
min_proximity,19a54173-f7f3-4833-8deb-357f319fcb53,0.03,92,0.965216338634491,0.02081407606601715,4.999999969612645e-09
min_geo,19a54173-f7f3-4833-8deb-357f319fcb53,0.03,106,1.7566088438034058,4.3168563479412114e-07,3.3333329430007552e-09
weighted_sum_equal,19a54173-f7f3-4833-8deb-357f319fcb53,0.03,65,1.0419577360153198,1.305622731706535e-06,4.999999969612645e-09
weighted_sum_prox_heavy,19a54173-f7f3-4833-8deb-357f319fcb53,0.03,65,1.0419577360153198,1.305622731706535e-06,4.999999969612645e-09
pareto_knee,19a54173-f7f3-4833-8deb-357f319fcb53,0.03,24,1.0419563055038452,2.7570247311814455e-06,4.999999969612645e-09
pareto_lex,19a54173-f7f3-4833-8deb-357f319fcb53,0.03,106,1.7566088438034058,4.3168563479412114e-07,3.3333329430007552e-09
random,19a54173-f7f3-4833-8deb-357f319fcb53,0.03,163,1.7566081285476685,6.511356332339346e-06,3.3333329430007552e-09
min_proximity,d243ad43-9c35-40d4-8c13-1a2e5aad4d15,0.03,144,0.8192549347877502,0.0781138464808464,0.3333333432674408
min_geo,d243ad43-9c35-40d4-8c13-1a2e5aad4d15,0.03,125,1.7381219863891602,6.180908940223162e-07,3.3333329430007552e-09
weighted_sum_equal,d243ad43-9c35-40d4-8c13-1a2e5aad4d15,0.03,107,1.0104796886444092,2.241783931822283e-06,4.999999969612645e-09
weighted_sum_prox_heavy,d243ad43-9c35-40d4-8c13-1a2e5aad4d15,0.03,107,1.0104796886444092,2.241783931822283e-06,4.999999969612645e-09
pareto_knee,d243ad43-9c35-40d4-8c13-1a2e5aad4d15,0.03,142,1.0103620290756226,0.0003584684745874256,4.999999969612645e-09
pareto_lex,d243ad43-9c35-40d4-8c13-1a2e5aad4d15,0.03,125,1.7381219863891602,6.180908940223162e-07,3.3333329430007552e-09
random,d243ad43-9c35-40d4-8c13-1a2e5aad4d15,0.03,28,1.7381056547164917,0.00020512286573648453,3.3333329430007552e-09
min_proximity,add3c9e7-a1b6-4e3a-b104-5c05181053a7,0.03,198,0.9850285053253174,0.03921004384756088,0.1666666716337204
min_geo,add3c9e7-a1b6-4e3a-b104-5c05181053a7,0.03,157,1.7680230140686035,5.643121312459698e-07,3.3333329430007552e-09
weighted_sum_equal,add3c9e7-a1b6-4e3a-b104-5c05181053a7,0.03,161,1.061086893081665,9.171010333375307e-07,4.999999969612645e-09
weighted_sum_prox_heavy,add3c9e7-a1b6-4e3a-b104-5c05181053a7,0.03,161,1.061086893081665,9.171010333375307e-07,4.999999969612645e-09
pareto_knee,add3c9e7-a1b6-4e3a-b104-5c05181053a7,0.03,38,1.0571132898330688,0.0021901943255215883,4.999999969612645e-09
pareto_lex,add3c9e7-a1b6-4e3a-b104-5c05181053a7,0.03,157,1.7680230140686035,5.643121312459698e-07,3.3333329430007552e-09
random,add3c9e7-a1b6-4e3a-b104-5c05181053a7,0.03,6,2.2396390438079834,0.035662468522787094,0.0833333358168602
min_proximity,9da27507-a0e1-4264-bf89-4a545fcdfa1d,0.03,168,0.7365421056747437,0.10856512933969498,0.1666666716337204
min_geo,9da27507-a0e1-4264-bf89-4a545fcdfa1d,0.03,13,1.0937227010726929,1.5091922023202642e-06,4.999999969612645e-09
weighted_sum_equal,9da27507-a0e1-4264-bf89-4a545fcdfa1d,0.03,27,0.7766543030738831,0.02952483482658863,9.99999993922529e-09
weighted_sum_prox_heavy,9da27507-a0e1-4264-bf89-4a545fcdfa1d,0.03,27,0.7766543030738831,0.02952483482658863,9.99999993922529e-09
pareto_knee,9da27507-a0e1-4264-bf89-4a545fcdfa1d,0.03,27,0.7766543030738831,0.02952483482658863,9.99999993922529e-09
pareto_lex,9da27507-a0e1-4264-bf89-4a545fcdfa1d,0.03,13,1.0937227010726929,1.5091922023202642e-06,4.999999969612645e-09
random,9da27507-a0e1-4264-bf89-4a545fcdfa1d,0.03,189,1.0863274335861206,0.005669486243277788,4.999999969612645e-09
min_proximity,a99a3acc-21a2-42bf-8ae9-8b980a53d9b4,0.03,34,0.707269549369812,0.06619825214147568,4.999999969612645e-09
min_geo,a99a3acc-21a2-42bf-8ae9-8b980a53d9b4,0.03,156,1.6745905876159668,6.7021527216937216e-12,3.3333329430007552e-09
weighted_sum_equal,a99a3acc-21a2-42bf-8ae9-8b980a53d9b4,0.03,31,0.8968019485473633,4.7507858758066845e-11,4.999999969612645e-09
weighted_sum_prox_heavy,a99a3acc-21a2-42bf-8ae9-8b980a53d9b4,0.03,31,0.8968019485473633,4.7507858758066845e-11,4.999999969612645e-09
pareto_knee,a99a3acc-21a2-42bf-8ae9-8b980a53d9b4,0.03,31,0.8968019485473633,4.7507858758066845e-11,4.999999969612645e-09
pareto_lex,a99a3acc-21a2-42bf-8ae9-8b980a53d9b4,0.03,156,1.6745905876159668,6.7021527216937216e-12,3.3333329430007552e-09
random,a99a3acc-21a2-42bf-8ae9-8b980a53d9b4,0.03,70,2.1286368370056152,0.002588690724223852,2.4999999848063226e-09
min_proximity,b429a946-0419-45fa-b168-0adbfc9b5004,0.03,123,0.7619418501853943,0.0187357347458601,4.999999969612645e-09
min_geo,b429a946-0419-45fa-b168-0adbfc9b5004,0.03,60,2.162243127822876,3.9736477219776134e-08,2.4999999848063226e-09
weighted_sum_equal,b429a946-0419-45fa-b168-0adbfc9b5004,0.03,194,0.7903356552124023,0.003853878937661648,4.999999969612645e-09
weighted_sum_prox_heavy,b429a946-0419-45fa-b168-0adbfc9b5004,0.03,195,0.7637718319892883,0.016994133591651917,4.999999969612645e-09
pareto_knee,b429a946-0419-45fa-b168-0adbfc9b5004,0.03,194,0.7903356552124023,0.003853878937661648,4.999999969612645e-09
pareto_lex,b429a946-0419-45fa-b168-0adbfc9b5004,0.03,60,2.162243127822876,3.9736477219776134e-08,2.4999999848063226e-09
random,b429a946-0419-45fa-b168-0adbfc9b5004,0.03,62,2.151188850402832,0.00042234105058014393,2.4999999848063226e-09
min_proximity,80722ed9-55dc-48f3-a75b-2c67c9ad5632,0.03,160,0.7149821519851685,0.35190293192863464,4.999999969612645e-09
min_geo,80722ed9-55dc-48f3-a75b-2c67c9ad5632,0.03,160,0.7149821519851685,0.35190293192863464,4.999999969612645e-09
weighted_sum_equal,80722ed9-55dc-48f3-a75b-2c67c9ad5632,0.03,160,0.7149821519851685,0.35190293192863464,4.999999969612645e-09
weighted_sum_prox_heavy,80722ed9-55dc-48f3-a75b-2c67c9ad5632,0.03,160,0.7149821519851685,0.35190293192863464,4.999999969612645e-09
pareto_knee,80722ed9-55dc-48f3-a75b-2c67c9ad5632,0.03,160,0.7149821519851685,0.35190293192863464,4.999999969612645e-09
pareto_lex,80722ed9-55dc-48f3-a75b-2c67c9ad5632,0.03,160,0.7149821519851685,0.35190293192863464,4.999999969612645e-09
random,80722ed9-55dc-48f3-a75b-2c67c9ad5632,0.03,57,1.5857683420181274,0.5877252817153931,0.1111111119389534
min_proximity,c67b2428-1749-423a-a016-cbb9d750b1c8,0.03,132,0.9457610845565796,3.051305839107954e-06,4.999999969612645e-09
min_geo,c67b2428-1749-423a-a016-cbb9d750b1c8,0.03,133,2.212343454360962,7.541021318502317e-07,2.4999999848063226e-09
weighted_sum_equal,c67b2428-1749-423a-a016-cbb9d750b1c8,0.03,62,0.9457614421844482,9.447035154153127e-07,4.999999969612645e-09
weighted_sum_prox_heavy,c67b2428-1749-423a-a016-cbb9d750b1c8,0.03,62,0.9457614421844482,9.447035154153127e-07,4.999999969612645e-09
pareto_knee,c67b2428-1749-423a-a016-cbb9d750b1c8,0.03,62,0.9457614421844482,9.447035154153127e-07,4.999999969612645e-09
pareto_lex,c67b2428-1749-423a-a016-cbb9d750b1c8,0.03,133,2.212343454360962,7.541021318502317e-07,2.4999999848063226e-09
random,c67b2428-1749-423a-a016-cbb9d750b1c8,0.03,35,2.1731462478637695,0.01673351228237152,0.0833333358168602
min_proximity,6829ce76-87f2-436d-8078-07d5180daa9d,0.03,139,1.7231087684631348,0.024292252957820892,0.0833333358168602
min_geo,6829ce76-87f2-436d-8078-07d5180daa9d,0.03,164,2.6503193378448486,1.484026142861694e-06,0.06666667014360428
weighted_sum_equal,6829ce76-87f2-436d-8078-07d5180daa9d,0.03,184,1.7390047311782837,6.972984556341544e-05,0.0833333358168602
weighted_sum_prox_heavy,6829ce76-87f2-436d-8078-07d5180daa9d,0.03,139,1.7231087684631348,0.024292252957820892,0.0833333358168602
pareto_knee,6829ce76-87f2-436d-8078-07d5180daa9d,0.03,184,1.7390047311782837,6.972984556341544e-05,0.0833333358168602
pareto_lex,6829ce76-87f2-436d-8078-07d5180daa9d,0.03,164,2.6503193378448486,1.484026142861694e-06,0.06666667014360428
random,6829ce76-87f2-436d-8078-07d5180daa9d,0.03,26,2.6503190994262695,4.6108120841381606e-06,0.06666667014360428
min_proximity,53d1f9aa-027f-4a08-a501-a47d64f4cd72,0.03,124,0.8428363800048828,0.010277930647134781,9.99999993922529e-09
min_geo,53d1f9aa-027f-4a08-a501-a47d64f4cd72,0.03,28,1.6782459020614624,2.2692022143711715e-13,4.999999969612645e-09
