query_id,generated,duplicates,after_dedup,sigma,pareto
e2435e89-c81c-448c-a671-c441ecac249f,250,13,237,0.03,33
51ad691b-e2bc-4945-85c2-eb43c753002a,250,10,240,0.03,29
742f51c5-196a-49db-843b-47d0ac6912b7,250,14,236,0.03,29
c0258d83-dadf-490d-a8d2-a146246552bf,250,8,242,0.03,34
90893163-8a7c-44ae-96fa-34a24ad804b9,250,21,229,0.03,25
7fa86a4a-e9c1-44ea-aa9a-c7342bdd4162,250,8,242,0.03,44
1bc5280b-4bdd-4423-a5a0-5c97c875d752,250,14,236,0.03,31
56f1d02c-d927-45d4-b69d-aa3b80a7ee13,250,13,237,0.03,29
05f9d8be-ef4b-4c77-9111-d9915cdd7260,250,7,243,0.03,39
d85cb6bf-d414-4393-a580-e073eafcedbc,250,12,238,0.03,39
TOTAL,2500,120,2380,,332
