query_id,generated,duplicates,after_dedup,sigma,pareto
68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,250,12,238,0.03,11
6569df7a-07db-43be-8602-0ffe87b1ffd3,250,11,239,0.03,12
3cf722ae-5bb2-4a09-93b6-a76ae2e892c3,250,12,238,0.03,25
7242175a-a239-47ec-b54a-a68c646beca7,250,16,234,0.03,19
89a71615-5759-4b6d-9fa6-6c52cdfc9b6b,250,18,232,0.03,27
1356ccd9-8821-44e8-878a-14cee588265f,250,16,234,0.03,17
256dc0ba-d747-4517-bfdf-386442021398,250,17,233,0.03,23
14d43b06-3a87-45bc-bbae-33e472f816c4,250,14,236,0.03,33
4ba8f5a2-85c8-4757-930a-f7fca5cb2870,250,12,238,0.03,26
f61cbfed-6996-4711-b138-0f9a2c22058a,250,15,235,0.03,13
TOTAL,2500,143,2357,,206
