selector,query_uuid,sigma,selected_cf_index,proximity,geometric_instability,intervention_instability
min_proximity,68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,0.03,164,2.5423128604888916,1.5798662900924683,0.27407407760620117
min_geo,68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,0.03,208,2.7327888011932373,0.8794443011283875,0.3185185194015503
weighted_sum_equal,68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,0.03,114,2.998906135559082,1.1813629865646362,0.03030303120613098
weighted_sum_prox_heavy,68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,0.03,117,2.953972101211548,1.2562979459762573,0.03030303120613098
pareto_knee,68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,0.03,114,2.998906135559082,1.1813629865646362,0.03030303120613098
pareto_lex,68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,0.03,208,2.7327888011932373,0.8794443011283875,0.3185185194015503
random,68d7e794-d7d0-4b61-a59a-4ef0ab93b41d,0.03,163,2.5430908203125,1.5802406072616577,0.27407407760620117
min_proximity,6569df7a-07db-43be-8602-0ffe87b1ffd3,0.03,186,2.745309591293335,1.7744933366775513,0.38333332538604736
min_geo,6569df7a-07db-43be-8602-0ffe87b1ffd3,0.03,88,3.4758317470550537,1.3916352987289429,0.21481482684612274
weighted_sum_equal,6569df7a-07db-43be-8602-0ffe87b1ffd3,0.03,9,2.849867582321167,1.5743967294692993,0.24166667461395264
weighted_sum_prox_heavy,6569df7a-07db-43be-8602-0ffe87b1ffd3,0.03,9,2.849867582321167,1.5743967294692993,0.24166667461395264
pareto_knee,6569df7a-07db-43be-8602-0ffe87b1ffd3,0.03,17,3.088899612426758,1.6435476541519165,0.178571417927742
pareto_lex,6569df7a-07db-43be-8602-0ffe87b1ffd3,0.03,88,3.4758317470550537,1.3916352987289429,0.21481482684612274
random,6569df7a-07db-43be-8602-0ffe87b1ffd3,0.03,28,4.3630218505859375,2.1329891681671143,0.22539682686328888
min_proximity,3cf722ae-5bb2-4a09-93b6-a76ae2e892c3,0.03,194,2.4749903678894043,2.0363543033599854,0.4285714328289032
min_geo,3cf722ae-5bb2-4a09-93b6-a76ae2e892c3,0.03,5,4.003057479858398,0.6869807243347168,0.2075757533311844
weighted_sum_equal,3cf722ae-5bb2-4a09-93b6-a76ae2e892c3,0.03,228,3.8611948490142822,0.7327523231506348,0.03030303120613098
weighted_sum_prox_heavy,3cf722ae-5bb2-4a09-93b6-a76ae2e892c3,0.03,103,2.9670491218566895,1.3016995191574097,0.2638888657093048
pareto_knee,3cf722ae-5bb2-4a09-93b6-a76ae2e892c3,0.03,231,3.5145909786224365,1.0839993953704834,0.11574073880910873
pareto_lex,3cf722ae-5bb2-4a09-93b6-a76ae2e892c3,0.03,5,4.003057479858398,0.6869807243347168,0.2075757533311844
random,3cf722ae-5bb2-4a09-93b6-a76ae2e892c3,0.03,6,3.741915464401245,1.0605111122131348,0.30000001192092896
min_proximity,7242175a-a239-47ec-b54a-a68c646beca7,0.03,9,2.1326236724853516,1.9155174493789673,0.4206349551677704
min_geo,7242175a-a239-47ec-b54a-a68c646beca7,0.03,127,3.8811964988708496,0.5288930535316467,8.333334022836425e-10
weighted_sum_equal,7242175a-a239-47ec-b54a-a68c646beca7,0.03,135,3.4376473426818848,0.7687532305717468,0.03333333507180214
weighted_sum_prox_heavy,7242175a-a239-47ec-b54a-a68c646beca7,0.03,137,2.181536912918091,1.274570345878601,0.2916666865348816
pareto_knee,7242175a-a239-47ec-b54a-a68c646beca7,0.03,99,2.6344027519226074,0.983313798904419,0.2063492089509964
