query_id,generated,duplicates,after_dedup,sigma,pareto
a218132f-5a79-4e2f-993e-d849ea3a0e8f,250,0,250,0.03,21
8906104a-4dfe-4c3c-a9d1-4b1971a1cfe6,250,0,250,0.03,27
d79e9c69-9fb3-44be-893b-bb5fe3a22538,250,0,250,0.03,32
f86a885d-7498-476e-912a-b07df2785512,250,0,250,0.03,38
8ab52680-e21b-4f1c-9fe7-7e78ab11b3fb,250,0,250,0.03,36
bdb0e6f5-d4c5-49d3-b318-12e1dff616be,250,0,250,0.03,37
7577e59b-c7dd-47e0-bc0f-e400045182af,250,0,250,0.03,38
ad2e6186-c6a5-4d87-9bd4-e08d2c18fedf,250,0,250,0.03,44
835d5a50-a0de-4f1d-80ef-78df3effafe9,250,0,250,0.03,25
5288fde5-e293-4f54-8950-89c1c8d3a9a2,250,0,250,0.03,39
TOTAL,2500,0,2500,,337
