selector,query_uuid,sigma,selected_cf_index,proximity,geometric_instability,intervention_instability
min_proximity,a218132f-5a79-4e2f-993e-d849ea3a0e8f,0.03,164,0.871699333190918,0.39162111282348633,0.5079365372657776
min_geo,a218132f-5a79-4e2f-993e-d849ea3a0e8f,0.03,79,1.3309251070022583,0.19202856719493866,0.29999998211860657
weighted_sum_equal,a218132f-5a79-4e2f-993e-d849ea3a0e8f,0.03,41,1.5494811534881592,0.29858866333961487,0.1527777761220932
weighted_sum_prox_heavy,a218132f-5a79-4e2f-993e-d849ea3a0e8f,0.03,164,0.871699333190918,0.39162111282348633,0.5079365372657776
pareto_knee,a218132f-5a79-4e2f-993e-d849ea3a0e8f,0.03,43,1.2625253200531006,0.3039344549179077,0.2666666805744171
pareto_lex,a218132f-5a79-4e2f-993e-d849ea3a0e8f,0.03,79,1.3309251070022583,0.19202856719493866,0.29999998211860657
random,a218132f-5a79-4e2f-993e-d849ea3a0e8f,0.03,163,1.8151901960372925,1.163529872894287,0.4417249262332916
min_proximity,8906104a-4dfe-4c3c-a9d1-4b1971a1cfe6,0.03,124,0.8682913184165955,0.43340566754341125,0.6654456853866577
min_geo,8906104a-4dfe-4c3c-a9d1-4b1971a1cfe6,0.03,53,1.515185832977295,0.2462577074766159,0.5
weighted_sum_equal,8906104a-4dfe-4c3c-a9d1-4b1971a1cfe6,0.03,40,1.4095556735992432,0.3037467896938324,0.1538461595773697
weighted_sum_prox_heavy,8906104a-4dfe-4c3c-a9d1-4b1971a1cfe6,0.03,4,0.991177499294281,0.36205267906188965,0.4940171241760254
pareto_knee,8906104a-4dfe-4c3c-a9d1-4b1971a1cfe6,0.03,83,1.1829668283462524,0.391726016998291,0.30595239996910095
pareto_lex,8906104a-4dfe-4c3c-a9d1-4b1971a1cfe6,0.03,53,1.515185832977295,0.2462577074766159,0.5
random,8906104a-4dfe-4c3c-a9d1-4b1971a1cfe6,0.03,28,1.2725615501403809,0.6560099720954895,0.4136904776096344
min_proximity,d79e9c69-9fb3-44be-893b-bb5fe3a22538,0.03,74,0.7944497466087341,0.344752699136734,0.5925926566123962
min_geo,d79e9c69-9fb3-44be-893b-bb5fe3a22538,0.03,174,1.1659789085388184,0.27707698941230774,0.4761904776096344
weighted_sum_equal,d79e9c69-9fb3-44be-893b-bb5fe3a22538,0.03,20,1.13699209690094,0.35037708282470703,0.3244047462940216
weighted_sum_prox_heavy,d79e9c69-9fb3-44be-893b-bb5fe3a22538,0.03,74,0.7944497466087341,0.344752699136734,0.5925926566123962
pareto_knee,d79e9c69-9fb3-44be-893b-bb5fe3a22538,0.03,20,1.13699209690094,0.35037708282470703,0.3244047462940216
pareto_lex,d79e9c69-9fb3-44be-893b-bb5fe3a22538,0.03,174,1.1659789085388184,0.27707698941230774,0.4761904776096344
random,d79e9c69-9fb3-44be-893b-bb5fe3a22538,0.03,6,1.6872496604919434,0.3831108510494232,0.31872570514678955
min_proximity,f86a885d-7498-476e-912a-b07df2785512,0.03,169,1.409368634223938,1.1769633293151855,0.493434339761734
min_geo,f86a885d-7498-476e-912a-b07df2785512,0.03,126,2.435654640197754,0.5707690715789795,0.3464052379131317
weighted_sum_equal,f86a885d-7498-476e-912a-b07df2785512,0.03,166,1.9674272537231445,0.8420677185058594,0.20949430763721466
weighted_sum_prox_heavy,f86a885d-7498-476e-912a-b07df2785512,0.03,134,1.8807141780853271,0.9640052914619446,0.19430439174175262
pareto_knee,f86a885d-7498-476e-912a-b07df2785512,0.03,166,1.9674272537231445,0.8420677185058594,0.20949430763721466
pareto_lex,f86a885d-7498-476e-912a-b07df2785512,0.03,126,2.435654640197754,0.5707690715789795,0.3464052379131317
random,f86a885d-7498-476e-912a-b07df2785512,0.03,189,2.007524251937866,1.121524453163147,0.47647058963775635
min_proximity,8ab52680-e21b-4f1c-9fe7-7e78ab11b3fb,0.03,4,0.8458507061004639,0.6134729981422424,0.5037878751754761
min_geo,8ab52680-e21b-4f1c-9fe7-7e78ab11b3fb,0.03,151,1.6015526056289673,0.2412887066602707,0.3333333432674408
weighted_sum_equal,8ab52680-e21b-4f1c-9fe7-7e78ab11b3fb,0.03,19,1.1090511083602905,0.41741421818733215,0.24368686974048615
weighted_sum_prox_heavy,8ab52680-e21b-4f1c-9fe7-7e78ab11b3fb,0.03,3,0.8888245224952698,0.5513696670532227,0.40740740299224854
pareto_knee,8ab52680-e21b-4f1c-9fe7-7e78ab11b3fb,0.03,19,1.1090511083602905,0.41741421818733215,0.24368686974048615
pareto_lex,8ab52680-e21b-4f1c-9fe7-7e78ab11b3fb,0.03,151,1.6015526056289673,0.2412887066602707,0.3333333432674408
random,8ab52680-e21b-4f1c-9fe7-7e78ab11b3fb,0.03,70,1.7364355325698853,0.5553399324417114,0.3504273593425751
min_proximity,bdb0e6f5-d4c5-49d3-b318-12e1dff616be,0.03,109,1.4814717769622803,1.0678576231002808,0.5900488495826721
min_geo,bdb0e6f5-d4c5-49d3-b318-12e1dff616be,0.03,39,2.185324192047119,0.519824206829071,0.30608972907066345
weighted_sum_equal,bdb0e6f5-d4c5-49d3-b318-12e1dff616be,0.03,39,2.185324192047119,0.519824206829071,0.30608972907066345
weighted_sum_prox_heavy,bdb0e6f5-d4c5-49d3-b318-12e1dff616be,0.03,188,1.494105577468872,0.7867823243141174,0.5111111402511597
pareto_knee,bdb0e6f5-d4c5-49d3-b318-12e1dff616be,0.03,107,1.8149088621139526,0.8518961071968079,0.2916666567325592
pareto_lex,bdb0e6f5-d4c5-49d3-b318-12e1dff616be,0.03,39,2.185324192047119,0.519824206829071,0.30608972907066345
random,bdb0e6f5-d4c5-49d3-b318-12e1dff616be,0.03,62,2.255861759185791,0.9370822906494141,0.4145941734313965
min_proximity,7577e59b-c7dd-47e0-bc0f-e400045182af,0.03,104,1.208004355430603,1.1872730255126953,0.5942761301994324
min_geo,7577e59b-c7dd-47e0-bc0f-e400045182af,0.03,63,2.2582099437713623,0.5582528710365295,0.24082453548908234
weighted_sum_equal,7577e59b-c7dd-47e0-bc0f-e400045182af,0.03,63,2.2582099437713623,0.5582528710365295,0.24082453548908234
weighted_sum_prox_heavy,7577e59b-c7dd-47e0-bc0f-e400045182af,0.03,104,1.208004355430603,1.1872730255126953,0.5942761301994324
