query_id,generated,duplicates,after_dedup,sigma,pareto
b6c52e31-dca6-4ac0-99c7-2d260cf802b6,250,11,239,0.03,23
180e6ef5-a62b-4beb-8450-e2c4fecdb257,250,13,237,0.03,33
bc9a4338-7699-443b-99e1-94cbcb732f6f,250,19,231,0.03,23
36e6b027-88be-451d-8ca7-90b0c8c34642,250,9,241,0.03,41
e380cd73-c074-4038-8378-0663ac4af005,250,15,235,0.03,37
88ee7ddf-bc9f-49e1-83a2-0774b0a4e4c5,250,12,238,0.03,38
77db3f44-1148-413a-95ac-59673e434eef,250,8,242,0.03,31
9bc3f69e-9c97-495f-8382-b164db619917,250,9,241,0.03,22
d52a9aae-5f24-42d2-8eca-528faec4343b,250,7,243,0.03,46
94c807c6-8100-472e-8403-346018b122d7,250,14,236,0.03,51
TOTAL,2500,117,2383,,345
