selector,query_uuid,sigma,selected_cf_index,proximity,geometric_instability,intervention_instability
min_proximity,b6c52e31-dca6-4ac0-99c7-2d260cf802b6,0.03,197,1.6690539121627808,0.33554306626319885,0.1666666716337204
min_geo,b6c52e31-dca6-4ac0-99c7-2d260cf802b6,0.03,47,2.6065359115600586,0.0005927164456807077,1.6666666935449825e-09
weighted_sum_equal,b6c52e31-dca6-4ac0-99c7-2d260cf802b6,0.03,133,2.1900198459625244,0.007271427195519209,1.999999943436137e-09
weighted_sum_prox_heavy,b6c52e31-dca6-4ac0-99c7-2d260cf802b6,0.03,197,1.6690539121627808,0.33554306626319885,0.1666666716337204
pareto_knee,b6c52e31-dca6-4ac0-99c7-2d260cf802b6,0.03,223,2.1741297245025635,0.05491933226585388,1.999999943436137e-09
pareto_lex,b6c52e31-dca6-4ac0-99c7-2d260cf802b6,0.03,47,2.6065359115600586,0.0005927164456807077,1.6666666935449825e-09
random,b6c52e31-dca6-4ac0-99c7-2d260cf802b6,0.03,163,2.689164876937866,0.5288040041923523,1.6666666935449825e-09
min_proximity,180e6ef5-a62b-4beb-8450-e2c4fecdb257,0.03,208,1.5895136594772339,0.716489851474762,0.4777778089046478
min_geo,180e6ef5-a62b-4beb-8450-e2c4fecdb257,0.03,124,2.7189385890960693,0.005800602491945028,1.6666666935449825e-09
weighted_sum_equal,180e6ef5-a62b-4beb-8450-e2c4fecdb257,0.03,24,2.1721105575561523,0.07246916741132736,2.4999999848063226e-09
weighted_sum_prox_heavy,180e6ef5-a62b-4beb-8450-e2c4fecdb257,0.03,121,1.746706485748291,0.8741666674613953,0.14999999105930328
pareto_knee,180e6ef5-a62b-4beb-8450-e2c4fecdb257,0.03,147,2.156522512435913,0.12418416142463684,2.4999999848063226e-09
pareto_lex,180e6ef5-a62b-4beb-8450-e2c4fecdb257,0.03,124,2.7189385890960693,0.005800602491945028,1.6666666935449825e-09
random,180e6ef5-a62b-4beb-8450-e2c4fecdb257,0.03,28,2.6894948482513428,0.14263735711574554,1.6666666935449825e-09
min_proximity,bc9a4338-7699-443b-99e1-94cbcb732f6f,0.03,191,1.4142135381698608,0.2719265818595886,0.5555555820465088
min_geo,bc9a4338-7699-443b-99e1-94cbcb732f6f,0.03,194,2.3682591915130615,0.0010563147952780128,1.999999943436137e-09
weighted_sum_equal,bc9a4338-7699-443b-99e1-94cbcb732f6f,0.03,160,1.652374029159546,0.1291850358247757,2.4999999848063226e-09
weighted_sum_prox_heavy,bc9a4338-7699-443b-99e1-94cbcb732f6f,0.03,160,1.652374029159546,0.1291850358247757,2.4999999848063226e-09
pareto_knee,bc9a4338-7699-443b-99e1-94cbcb732f6f,0.03,160,1.652374029159546,0.1291850358247757,2.4999999848063226e-09
pareto_lex,bc9a4338-7699-443b-99e1-94cbcb732f6f,0.03,194,2.3682591915130615,0.0010563147952780128,1.999999943436137e-09
