age,workclass,education,marital_status,occupation,race,gender,hours_per_week,query_id
31,Self-Employed,Doctorate,Single,Professional,White,Male,40,e3dff26e-be4e-466a-8f32-2e50193b3c6b
20,Other/Unknown,Some-college,Single,Other/Unknown,White,Male,40,67661d5c-7f5d-4b73-bce7-c99e5ca2c493
78,Self-Employed,Bachelors,Married,White-Collar,White,Male,45,e142328e-d3c5-4bf6-95db-c690ebee5712
32,Private,Bachelors,Married,Blue-Collar,White,Male,44,fc1b1f28-312d-4d48-82d4-20986c831a92
61,Private,HS-grad,Married,White-Collar,White,Male,3,11554135-9a66-4023-94ab-2475b351d0c5
32,Private,School,Married,Service,White,Male,40,437cccb7-dd60-4864-b12f-90253ddc3543
33,Private,School,Divorced,Blue-Collar,White,Male,55,0514c0be-f2a3-4109-b213-f795c7114a59
39,Private,Masters,Single,White-Collar,White,Male,40,34e4ad5b-1a1a-4fe6-a68b-1e6ae4217058
49,Private,Assoc,Married,Sales,White,Male,25,7c70933b-a814-4270-aca1-b793491bab23
45,Private,HS-grad,Divorced,Service,White,Male,40,f5974493-2192-4441-8854-5173280a8d2f
31,Self-Employed,Doctorate,Single,Professional,White,Male,40,90aa647d-42e6-445e-8d8d-cf8181f1873e
20,Other/Unknown,Some-college,Single,Other/Unknown,White,Male,40,1862d4c5-a2f3-411b-8196-4bd4c34361ef
78,Self-Employed,Bachelors,Married,White-Collar,White,Male,45,426d82d1-04d1-4fc1-bb20-3844cb59053f
32,Private,Bachelors,Married,Blue-Collar,White,Male,44,d3b709db-8ac6-4bd9-993d-44846a6e6220
61,Private,HS-grad,Married,White-Collar,White,Male,3,8f2a3c40-aa33-4b2a-a890-dfb2c3a24b20
32,Private,School,Married,Service,White,Male,40,04513bc1-af99-43f4-abdf-f965763e7bf8
33,Private,School,Divorced,Blue-Collar,White,Male,55,f7f5fea7-43ed-443d-9e1a-b095182dabc7
39,Private,Masters,Single,White-Collar,White,Male,40,3fd54854-3dd3-4730-a769-3e9a5f60b218
49,Private,Assoc,Married,Sales,White,Male,25,9749685d-b858-43e6-9714-1aa5afac939b
45,Private,HS-grad,Divorced,Service,White,Male,40,3bdb7a70-9a87-44c9-82c6-fb36ca5a2f14
