age,workclass,education,marital_status,occupation,race,gender,hours_per_week,query_id
30.0,Private,Doctorate,Single,Professional,White,Male,40.74512100219727,e3dff26e-be4e-466a-8f32-2e50193b3c6b
28.634796142578125,Self-Employed,Bachelors,Single,Professional,White,Male,43.83300018310547,e3dff26e-be4e-466a-8f32-2e50193b3c6b
30.79903984069824,Private,Doctorate,Single,Professional,White,Male,35.45640563964844,e3dff26e-be4e-466a-8f32-2e50193b3c6b
51.0,Other/Unknown,Doctorate,Single,Other/Unknown,White,Male,41.22872543334961,67661d5c-7f5d-4b73-bce7-c99e5ca2c493
51.0,Other/Unknown,Doctorate,Single,Other/Unknown,White,Male,36.0797233581543,67661d5c-7f5d-4b73-bce7-c99e5ca2c493
51.0,Other/Unknown,Doctorate,Single,Other/Unknown,White,Male,41.36299514770508,67661d5c-7f5d-4b73-bce7-c99e5ca2c493
78.85753631591797,Self-Employed,Bachelors,Married,White-Collar,White,Male,10.0,e142328e-d3c5-4bf6-95db-c690ebee5712
77.31256103515625,Self-Employed,Bachelors,Married,White-Collar,White,Male,10.0,e142328e-d3c5-4bf6-95db-c690ebee5712
79.20633697509766,Self-Employed,Bachelors,Married,White-Collar,White,Male,10.0,e142328e-d3c5-4bf6-95db-c690ebee5712
31.0,Private,Bachelors,Married,Blue-Collar,White,Male,44.722198486328125,fc1b1f28-312d-4d48-82d4-20986c831a92
32.0,Private,Bachelors,Married,Blue-Collar,White,Male,50.0,fc1b1f28-312d-4d48-82d4-20986c831a92
34.0,Private,Bachelors,Married,Blue-Collar,White,Male,43.03183364868164,fc1b1f28-312d-4d48-82d4-20986c831a92
60.0,Private,HS-grad,Married,White-Collar,White,Male,40.0,11554135-9a66-4023-94ab-2475b351d0c5
33.89115524291992,Private,Bachelors,Married,Service,White,Male,35.88203430175781,437cccb7-dd60-4864-b12f-90253ddc3543
29.59089088439941,Private,Bachelors,Married,Service,White,Male,42.28141021728516,437cccb7-dd60-4864-b12f-90253ddc3543
29.843826293945312,Private,Bachelors,Married,Service,White,Male,42.65358352661133,437cccb7-dd60-4864-b12f-90253ddc3543
31.66236686706543,Private,Doctorate,Divorced,Other/Unknown,White,Male,59.96807098388672,0514c0be-f2a3-4109-b213-f795c7114a59
32.99654006958008,Private,Masters,Divorced,Blue-Collar,White,Male,55.10151672363281,0514c0be-f2a3-4109-b213-f795c7114a59
36.61228942871094,Private,Masters,Divorced,Blue-Collar,White,Male,62.24251174926758,0514c0be-f2a3-4109-b213-f795c7114a59
42.0,Private,Masters,Single,White-Collar,White,Male,40.0,34e4ad5b-1a1a-4fe6-a68b-1e6ae4217058
42.0,Private,Masters,Single,White-Collar,White,Male,40.31239318847656,34e4ad5b-1a1a-4fe6-a68b-1e6ae4217058
41.76998519897461,Private,Masters,Single,White-Collar,White,Male,40.0,34e4ad5b-1a1a-4fe6-a68b-1e6ae4217058
48.69192123413086,Private,Assoc,Married,Sales,White,Male,40.0,7c70933b-a814-4270-aca1-b793491bab23
49.07515335083008,Private,Assoc,Married,Sales,White,Male,40.0,7c70933b-a814-4270-aca1-b793491bab23
51.738094329833984,Private,Assoc,Married,Sales,White,Male,40.0,7c70933b-a814-4270-aca1-b793491bab23
46.207794189453125,Private,Some-college,Married,Service,White,Male,40.0,f5974493-2192-4441-8854-5173280a8d2f
44.590946197509766,Private,Assoc,Married,Service,White,Male,39.10020065307617,f5974493-2192-4441-8854-5173280a8d2f
