age,hours_per_week,education,gender,marital_status,occupation,race,workclass,query_id
32.095356,40.74512,Doctorate,Male,Single,Professional,White,Self-Employed,e3dff26e-be4e-466a-8f32-2e50193b3c6b
28.634796,43.833,Doctorate,Male,Single,Professional,White,Self-Employed,e3dff26e-be4e-466a-8f32-2e50193b3c6b
30.79904,35.456406,Doctorate,Male,Single,Professional,White,Self-Employed,e3dff26e-be4e-466a-8f32-2e50193b3c6b
19.34379,41.228725,HS-grad,Male,Single,Other/Unknown,White,Other/Unknown,67661d5c-7f5d-4b73-bce7-c99e5ca2c493
23.683598,36.079723,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,67661d5c-7f5d-4b73-bce7-c99e5ca2c493
22.018108,41.362995,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,67661d5c-7f5d-4b73-bce7-c99e5ca2c493
78.85754,45.231384,Bachelors,Male,Married,White-Collar,White,Self-Employed,e142328e-d3c5-4bf6-95db-c690ebee5712
77.31256,46.73713,Bachelors,Male,Married,White-Collar,White,Self-Employed,e142328e-d3c5-4bf6-95db-c690ebee5712
79.20634,44.536797,Bachelors,Male,Married,White-Collar,White,Self-Employed,e142328e-d3c5-4bf6-95db-c690ebee5712
33.400578,44.7222,Bachelors,Male,Married,Blue-Collar,White,Private,fc1b1f28-312d-4d48-82d4-20986c831a92
29.819292,44.58223,Bachelors,Male,Married,Blue-Collar,White,Private,fc1b1f28-312d-4d48-82d4-20986c831a92
28.150486,43.031834,Bachelors,Male,Married,Blue-Collar,White,Private,fc1b1f28-312d-4d48-82d4-20986c831a92
61.629482,1.711565,HS-grad,Male,Married,White-Collar,White,Private,11554135-9a66-4023-94ab-2475b351d0c5
61.0296,3.0418608,HS-grad,Male,Married,White-Collar,White,Private,11554135-9a66-4023-94ab-2475b351d0c5
61.5362,1.3977683,HS-grad,Male,Married,White-Collar,White,Private,11554135-9a66-4023-94ab-2475b351d0c5
33.891155,35.882034,School,Male,Married,Service,White,Private,437cccb7-dd60-4864-b12f-90253ddc3543
29.59089,42.28141,School,Male,Widowed,Service,White,Private,437cccb7-dd60-4864-b12f-90253ddc3543
29.843826,42.653584,School,Male,Married,Service,White,Private,437cccb7-dd60-4864-b12f-90253ddc3543
31.662367,59.96807,School,Male,Divorced,Other/Unknown,White,Private,0514c0be-f2a3-4109-b213-f795c7114a59
32.99654,55.101517,School,Male,Divorced,Blue-Collar,White,Private,0514c0be-f2a3-4109-b213-f795c7114a59
36.61229,62.24251,School,Male,Divorced,Blue-Collar,White,Private,0514c0be-f2a3-4109-b213-f795c7114a59
38.676414,37.934387,Masters,Male,Single,White-Collar,White,Private,34e4ad5b-1a1a-4fe6-a68b-1e6ae4217058
40.087006,40.312393,Masters,Male,Single,White-Collar,White,Private,34e4ad5b-1a1a-4fe6-a68b-1e6ae4217058
41.769985,35.153458,Masters,Male,Single,White-Collar,White,Private,34e4ad5b-1a1a-4fe6-a68b-1e6ae4217058
48.69192,26.947737,Assoc,Male,Married,Sales,White,Private,7c70933b-a814-4270-aca1-b793491bab23
49.075153,26.322275,Assoc,Male,Married,Sales,White,Private,7c70933b-a814-4270-aca1-b793491bab23
51.738094,23.173431,Assoc,Male,Married,Sales,White,Private,7c70933b-a814-4270-aca1-b793491bab23
46.207794,35.742966,HS-grad,Male,Divorced,Service,White,Private,f5974493-2192-4441-8854-5173280a8d2f
44.590946,39.1002,HS-grad,Male,Divorced,Service,White,Private,f5974493-2192-4441-8854-5173280a8d2f
50.03165,39.939392,HS-grad,Male,Divorced,Service,White,Private,f5974493-2192-4441-8854-5173280a8d2f
29.525497,40.748028,Doctorate,Male,Single,Professional,White,Self-Employed,e3dff26e-be4e-466a-8f32-2e50193b3c6b
34.156376,43.087547,Doctorate,Male,Single,Professional,White,Self-Employed,e3dff26e-be4e-466a-8f32-2e50193b3c6b
30.233942,42.968372,Doctorate,Male,Single,Professional,White,Self-Employed,e3dff26e-be4e-466a-8f32-2e50193b3c6b
17.0,37.096893,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,67661d5c-7f5d-4b73-bce7-c99e5ca2c493
18.963844,40.920235,Some-college,Male,Single,Other/Unknown,White,Other/Unknown,67661d5c-7f5d-4b73-bce7-c99e5ca2c493
