sex,age,priors_count,race,c_charge_degree,query_id
Male,41.0,5.0,Caucasian,F,8eb8483a-2441-4d2c-8110-5ad2ab24e54d
Male,26.0,1.0,Caucasian,F,08db791a-1bf7-40f3-855f-d9997356aaf6
Female,40.0,9.0,Caucasian,M,2cd31bbb-6191-43b9-a17e-78bc32eb83ae
Female,53.0,6.0,Caucasian,F,cab24951-a5d3-45a1-af9d-87ac48b25277
Male,25.0,1.0,Caucasian,M,58b88d99-e306-4789-ad52-5d86669e62a4
Male,31.0,1.0,African-American,F,b750ff83-75e7-4960-bb26-70f156d8abb4
Female,35.0,5.0,African-American,F,49e8102e-efef-42ed-b7ef-48f22eec5245
Male,34.0,5.0,Caucasian,M,cae5686e-ff94-4ee3-b97a-0e20aaad906e
Male,44.0,8.0,African-American,M,4c76844f-aa8c-4be6-9072-1f719f655ef0
Male,27.0,0.0,African-American,F,e9217b8d-29da-450f-a3d1-ceea2f36afb3
Male,41.0,5.0,Caucasian,F,f51bd7ce-4403-4a96-b3d0-9d838a8dce26
Male,26.0,1.0,Caucasian,F,debc522b-6462-4d83-8666-7e68c2685fb0
Female,40.0,9.0,Caucasian,M,dbb9fe92-1999-40dd-94aa-31326402010e
Female,53.0,6.0,Caucasian,F,953e2dc9-159f-49b3-8635-0fb744640626
Male,25.0,1.0,Caucasian,M,92912727-d6e3-42dd-b9e5-fa186d24d01d
Male,31.0,1.0,African-American,F,05e10235-6e8d-40cb-a7d1-74edc3d6b6f6
Female,35.0,5.0,African-American,F,78caf8d9-f877-4e3c-b17c-4cafac3a0e7b
Male,34.0,5.0,Caucasian,M,ffa6590d-2e40-4d57-8a33-0f87bde2b843
Male,44.0,8.0,African-American,M,f15e6289-24d0-4505-bdad-45b72754798d
Male,27.0,0.0,African-American,F,ec3f5c39-ed60-4d01-91fd-d5d9b4d2556d
