sex,age,priors_count,race,c_charge_degree,query_id
Male,45.94467926025391,7.0,Caucasian,F,8eb8483a-2441-4d2c-8110-5ad2ab24e54d
Male,40.0,5.0,Caucasian,F,8eb8483a-2441-4d2c-8110-5ad2ab24e54d
Male,40.41291427612305,5.0,Caucasian,F,8eb8483a-2441-4d2c-8110-5ad2ab24e54d
Male,23.0,0.0,Caucasian,F,08db791a-1bf7-40f3-855f-d9997356aaf6
Male,26.362184524536133,1.0,Caucasian,F,08db791a-1bf7-40f3-855f-d9997356aaf6
Male,26.0,0.9137640595436096,Caucasian,F,08db791a-1bf7-40f3-855f-d9997356aaf6
Female,39.56778335571289,9.0,Caucasian,M,2cd31bbb-6191-43b9-a17e-78bc32eb83ae
Female,43.20851516723633,9.0,Caucasian,M,2cd31bbb-6191-43b9-a17e-78bc32eb83ae
Female,36.195796966552734,6.0,Caucasian,M,2cd31bbb-6191-43b9-a17e-78bc32eb83ae
Female,53.0,6.0,Caucasian,F,cab24951-a5d3-45a1-af9d-87ac48b25277
Female,59.1279411315918,8.0,Caucasian,F,cab24951-a5d3-45a1-af9d-87ac48b25277
Female,59.050071716308594,8.0,Caucasian,F,cab24951-a5d3-45a1-af9d-87ac48b25277
Male,30.0,3.0,Caucasian,M,58b88d99-e306-4789-ad52-5d86669e62a4
Male,25.09482765197754,1.0,Caucasian,M,58b88d99-e306-4789-ad52-5d86669e62a4
Male,24.21217155456543,1.0,Caucasian,M,58b88d99-e306-4789-ad52-5d86669e62a4
Male,31.0,1.0,African-American,F,b750ff83-75e7-4960-bb26-70f156d8abb4
Male,29.119781494140625,0.0,African-American,F,b750ff83-75e7-4960-bb26-70f156d8abb4
Male,34.0,2.0,African-American,F,b750ff83-75e7-4960-bb26-70f156d8abb4
Female,32.16633224487305,4.0,African-American,F,49e8102e-efef-42ed-b7ef-48f22eec5245
Female,34.52326202392578,5.0,African-American,F,49e8102e-efef-42ed-b7ef-48f22eec5245
Female,35.0,5.0,African-American,F,49e8102e-efef-42ed-b7ef-48f22eec5245
Male,34.0,5.0,Caucasian,M,cae5686e-ff94-4ee3-b97a-0e20aaad906e
Male,34.0,5.254183769226074,Caucasian,M,cae5686e-ff94-4ee3-b97a-0e20aaad906e
Male,45.60825347900391,8.0,African-American,M,4c76844f-aa8c-4be6-9072-1f719f655ef0
Male,45.37834930419922,8.0,African-American,M,4c76844f-aa8c-4be6-9072-1f719f655ef0
Male,34.0,4.644843101501465,Caucasian,M,4c76844f-aa8c-4be6-9072-1f719f655ef0
