age,priors_count,c_charge_degree,race,sex,query_id
45.94468,2.368445,F,Caucasian,Male,8eb8483a-2441-4d2c-8110-5ad2ab24e54d
42.202896,1.7024662,F,Caucasian,Male,8eb8483a-2441-4d2c-8110-5ad2ab24e54d
40.412914,0.29957372,F,Caucasian,Male,8eb8483a-2441-4d2c-8110-5ad2ab24e54d
24.318562,0.0,F,Caucasian,Male,08db791a-1bf7-40f3-855f-d9997356aaf6
26.362185,0.0,F,Caucasian,Male,08db791a-1bf7-40f3-855f-d9997356aaf6
27.113785,0.91376406,F,Caucasian,Male,08db791a-1bf7-40f3-855f-d9997356aaf6
39.567783,0.0,M,Caucasian,Female,2cd31bbb-6191-43b9-a17e-78bc32eb83ae
43.208515,1.5327898,M,Caucasian,Female,2cd31bbb-6191-43b9-a17e-78bc32eb83ae
36.195797,0.0,M,Caucasian,Female,2cd31bbb-6191-43b9-a17e-78bc32eb83ae
57.729076,5.2145658,F,Caucasian,Female,cab24951-a5d3-45a1-af9d-87ac48b25277
59.12794,4.4850173,F,Caucasian,Female,cab24951-a5d3-45a1-af9d-87ac48b25277
59.05007,4.2113037,F,Caucasian,Female,cab24951-a5d3-45a1-af9d-87ac48b25277
28.813375,6.437826,M,Caucasian,Male,58b88d99-e306-4789-ad52-5d86669e62a4
25.094828,4.979816,M,Caucasian,Male,58b88d99-e306-4789-ad52-5d86669e62a4
24.212172,5.113492,M,Caucasian,Male,58b88d99-e306-4789-ad52-5d86669e62a4
29.521568,6.0823083,F,African-American,Male,b750ff83-75e7-4960-bb26-70f156d8abb4
29.119781,6.031312,F,African-American,Male,b750ff83-75e7-4960-bb26-70f156d8abb4
32.792713,6.1452284,F,African-American,Male,b750ff83-75e7-4960-bb26-70f156d8abb4
32.166332,4.4704947,F,African-American,Female,49e8102e-efef-42ed-b7ef-48f22eec5245
34.523262,4.380547,F,African-American,Female,49e8102e-efef-42ed-b7ef-48f22eec5245
32.96516,6.360651,F,African-American,Female,49e8102e-efef-42ed-b7ef-48f22eec5245
