status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,query_id
0 <= ... < 200 DM,18,existing credits paid back duly till now,business,1913,A64,... < 1 year,3,male : married/widowed,none,3,real estate,36,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,94d147fe-67c6-4d69-848a-9e371e60f0a8
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1860,A61,unemployed,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,69fef94e-e910-4e3d-a6bb-04a0c1fd9a16
... < 0 DM,24,delay in paying off in the past,radio/television,1024,A61,... < 1 year,4,male : married/widowed,none,4,real estate,48,stores,own,1,skilled employee / official,1,none,yes,0c5a7432-26d7-4579-8f57-0a169c9f3a5e
... < 0 DM,18,no credits taken/ all credits paid back duly,business,3104,A61,4 <= ... < 7 years,3,male : single,none,1,if not A121 : building society savings agreement/ life insurance,31,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,f28728d7-1f8f-490b-a85a-ce005346ada0
0 <= ... < 200 DM,27,critical account/ other credits existing (not at this bank),radio/television,2520,A63,1 <= ... < 4 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,23,none,own,2,unskilled - resident,1,none,yes,f4dab0eb-578c-4854-b060-e6c566be92f6
0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),radio/television,882,A61,... < 1 year,4,male : single,guarantor,4,real estate,23,none,own,2,skilled employee / official,1,none,yes,7a1d27da-32d1-43c7-9f2c-5e3e27d55dd3
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,3612,A61,.. >= 7 years,3,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,598d65f2-5e74-487e-99c4-01efd2c9893d
... < 0 DM,6,existing credits paid back duly till now,car (used),1352,A63,unemployed,1,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,23,none,rent,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,be4df02b-e0ee-4bc9-83c7-958f199907c8
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),6260,A61,4 <= ... < 7 years,3,male : single,none,3,real estate,28,none,rent,1,unskilled - resident,1,none,yes,f8ebf506-894b-45e0-9e12-0c5bf412928b
0 <= ... < 200 DM,11,critical account/ other credits existing (not at this bank),car (new),1322,A64,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",40,none,own,2,skilled employee / official,1,none,yes,bf365c45-e25f-465d-85f6-951a0fc5fe2b
0 <= ... < 200 DM,18,existing credits paid back duly till now,business,1913,A64,... < 1 year,3,male : married/widowed,none,3,real estate,36,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,632e1e92-0168-4746-a3fb-5570b98caeb4
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1860,A61,unemployed,4,male : single,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,d4b50a09-66dd-4966-961f-772ee280d9a9
... < 0 DM,24,delay in paying off in the past,radio/television,1024,A61,... < 1 year,4,male : married/widowed,none,4,real estate,48,stores,own,1,skilled employee / official,1,none,yes,1760be5e-7c4c-44cc-8c0f-559b5d242b2e
... < 0 DM,18,no credits taken/ all credits paid back duly,business,3104,A61,4 <= ... < 7 years,3,male : single,none,1,if not A121 : building society savings agreement/ life insurance,31,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,7fb8d9b0-fd4b-44e2-bed0-19700b6bf632
0 <= ... < 200 DM,27,critical account/ other credits existing (not at this bank),radio/television,2520,A63,1 <= ... < 4 years,4,male : single,none,2,if not A121 : building society savings agreement/ life insurance,23,none,own,2,unskilled - resident,1,none,yes,7a47de78-4402-4421-9a08-3170176111ec
0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),radio/television,882,A61,... < 1 year,4,male : single,guarantor,4,real estate,23,none,own,2,skilled employee / official,1,none,yes,bd399bfd-93f8-4358-a3c0-a1fc7aa436a9
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,3612,A61,.. >= 7 years,3,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,55b88a71-d4f7-41d9-97da-2623cd7fb201
... < 0 DM,6,existing credits paid back duly till now,car (used),1352,A63,unemployed,1,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,23,none,rent,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,8fbfa18f-2ea0-4a62-8ae7-e569842c6bc6
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),6260,A61,4 <= ... < 7 years,3,male : single,none,3,real estate,28,none,rent,1,unskilled - resident,1,none,yes,203a3182-39ec-4c33-a7f1-5fe8701fe074
0 <= ... < 200 DM,11,critical account/ other credits existing (not at this bank),car (new),1322,A64,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",40,none,own,2,skilled employee / official,1,none,yes,1d44c1ec-5dd8-4ccf-ae76-e020fd9d6c56
