status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,query_id
0 <= ... < 200 DM,19.45071792602539,existing credits paid back duly till now,business,2562.397705078125,A61,... < 1 year,3.0280017852783203,male : married/widowed,none,2.9319701194763184,real estate,36.77188491821289,bank,own,1.095853567123413,skilled employee / official,1.0,"yes, registered under the customers name",yes,94d147fe-67c6-4d69-848a-9e371e60f0a8
0 <= ... < 200 DM,16.643556594848633,existing credits paid back duly till now,business,2916.369873046875,A61,... < 1 year,3.158456325531006,male : married/widowed,none,2.884422779083252,real estate,37.722930908203125,bank,own,1.0,skilled employee / official,1.0310338735580444,"yes, registered under the customers name",yes,94d147fe-67c6-4d69-848a-9e371e60f0a8
0 <= ... < 200 DM,19.74110984802246,existing credits paid back duly till now,business,2202.484619140625,A61,... < 1 year,3.173233985900879,male : married/widowed,none,3.197859764099121,real estate,35.086368560791016,bank,own,1.0,skilled employee / official,1.00508451461792,"yes, registered under the customers name",yes,94d147fe-67c6-4d69-848a-9e371e60f0a8
0 <= ... < 200 DM,30.0,critical account/ other credits existing (not at this bank),car (new),2873.223388671875,A61,unemployed,4.0,male : married/widowed,none,1.9364172220230105,"if not A121/A122 : car or other, not in attribute 6",34.111061096191406,none,own,2.0036449432373047,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,69fef94e-e910-4e3d-a6bb-04a0c1fd9a16
0 <= ... < 200 DM,30.0,critical account/ other credits existing (not at this bank),car (new),1698.15380859375,A61,unemployed,4.0,male : married/widowed,none,2.0248923301696777,"if not A121/A122 : car or other, not in attribute 6",36.22195053100586,none,own,1.884312629699707,management/ self-employed/ highly qualified employee/ officer,1.0370110273361206,"yes, registered under the customers name",yes,69fef94e-e910-4e3d-a6bb-04a0c1fd9a16
0 <= ... < 200 DM,30.0,critical account/ other credits existing (not at this bank),car (new),1863.8843994140625,A61,unemployed,3.8588826656341553,male : married/widowed,none,2.205395221710205,"if not A121/A122 : car or other, not in attribute 6",35.62162399291992,none,own,1.7955597639083862,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,69fef94e-e910-4e3d-a6bb-04a0c1fd9a16
... < 0 DM,26.42515182495117,delay in paying off in the past,radio/television,809.464111328125,A61,... < 1 year,4.0,male : married/widowed,none,3.950087547302246,real estate,50.03861999511719,stores,own,1.0,skilled employee / official,1.039803981781006,none,no,0c5a7432-26d7-4579-8f57-0a169c9f3a5e
... < 0 DM,23.06790351867676,delay in paying off in the past,radio/television,549.0745239257812,A61,... < 1 year,3.931088447570801,male : married/widowed,none,4.0,real estate,46.10540008544922,stores,own,1.0,skilled employee / official,1.0,none,no,0c5a7432-26d7-4579-8f57-0a169c9f3a5e
... < 0 DM,25.124526977539062,delay in paying off in the past,radio/television,1057.031982421875,A61,... < 1 year,3.92712926864624,male : married/widowed,none,4.0,real estate,46.87216567993164,stores,own,1.0275753736495972,skilled employee / official,1.0101908445358276,none,no,0c5a7432-26d7-4579-8f57-0a169c9f3a5e
no checking account,16.49943733215332,no credits taken/ all credits paid back duly,business,2933.885986328125,A61,4 <= ... < 7 years,2.867775678634644,male : single,none,1.10392963886261,if not A121 : building society savings agreement/ life insurance,30.47512435913086,bank,own,1.100693702697754,skilled employee / official,1.0,"yes, registered under the customers name",yes,f28728d7-1f8f-490b-a85a-ce005346ada0
no checking account,19.63690185546875,no credits taken/ all credits paid back duly,business,3305.204345703125,A61,4 <= ... < 7 years,3.1462204456329346,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,30.065170288085938,bank,own,1.0,skilled employee / official,1.0135210752487185,"yes, registered under the customers name",yes,f28728d7-1f8f-490b-a85a-ce005346ada0
no checking account,18.2094955444336,no credits taken/ all credits paid back duly,business,3250.841064453125,A61,4 <= ... < 7 years,2.988276481628418,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,29.5139102935791,bank,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,f28728d7-1f8f-490b-a85a-ce005346ada0
... < 0 DM,28.32558822631836,existing credits paid back duly till now,radio/television,2460.990234375,A62,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,1.9800093173980715,if not A121 : building society savings agreement/ life insurance,23.48606300354004,none,own,1.895063400268555,unskilled - resident,1.0,none,yes,f4dab0eb-578c-4854-b060-e6c566be92f6
... < 0 DM,27.050600051879883,existing credits paid back duly till now,radio/television,2447.19921875,A62,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,2.2499442100524902,"if not A121/A122 : car or other, not in attribute 6",23.296358108520508,none,own,2.0129876136779785,unskilled - resident,1.0,none,yes,f4dab0eb-578c-4854-b060-e6c566be92f6
... < 0 DM,24.29708480834961,existing credits paid back duly till now,radio/television,2602.939697265625,A62,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,1.8803958892822263,if not A121 : building society savings agreement/ life insurance,23.618566513061523,none,own,1.9068971872329712,unskilled - resident,1.0,none,yes,f4dab0eb-578c-4854-b060-e6c566be92f6
0 <= ... < 200 DM,13.51870059967041,critical account/ other credits existing (not at this bank),radio/television,1214.2388916015625,A62,... < 1 year,3.910216808319092,male : single,guarantor,3.925877809524536,unknown / no property,21.50102424621582,bank,own,2.042253017425537,skilled employee / official,1.0470645427703855,none,yes,7a1d27da-32d1-43c7-9f2c-5e3e27d55dd3
0 <= ... < 200 DM,36.0,critical account/ other credits existing (not at this bank),car (new),1012.4130249023438,A61,... < 1 year,4.0,male : divorced/separated,guarantor,3.852653980255127,real estate,20.37013435363769,none,own,1.902220129966736,skilled employee / official,1.0197964906692505,none,yes,7a1d27da-32d1-43c7-9f2c-5e3e27d55dd3
0 <= ... < 200 DM,36.0,critical account/ other credits existing (not at this bank),car (new),1903.59619140625,A61,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,real estate,22.123300552368164,none,own,2.095754146575928,skilled employee / official,1.0,none,yes,7a1d27da-32d1-43c7-9f2c-5e3e27d55dd3
0 <= ... < 200 DM,24.0,delay in paying off in the past,furniture/equipment,3760.891845703125,A61,unemployed,3.0214881896972656,female : divorced/separated/married,none,3.992417812347412,if not A121 : building society savings agreement/ life insurance,33.524131774902344,none,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,598d65f2-5e74-487e-99c4-01efd2c9893d
0 <= ... < 200 DM,24.0,delay in paying off in the past,furniture/equipment,3835.306884765625,A61,unemployed,3.020054817199707,female : divorced/separated/married,none,3.984690427780152,if not A121 : building society savings agreement/ life insurance,37.80526351928711,none,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.005240797996521,"yes, registered under the customers name",yes,598d65f2-5e74-487e-99c4-01efd2c9893d
0 <= ... < 200 DM,24.0,delay in paying off in the past,furniture/equipment,3251.613037109375,A61,unemployed,3.015606164932251,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,37.19585037231445,none,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,598d65f2-5e74-487e-99c4-01efd2c9893d
... < 0 DM,7.650663375854492,existing credits paid back duly till now,domestic appliances,1305.8138427734375,A62,unemployed,4.0,female : divorced/separated/married,none,1.899418354034424,if not A121 : building society savings agreement/ life insurance,23.568649291992188,none,own,1.046736478805542,unemployed/ unskilled - non-resident,1.0,none,yes,be4df02b-e0ee-4bc9-83c7-958f199907c8
... < 0 DM,4.0532965660095215,existing credits paid back duly till now,domestic appliances,2018.3321533203125,A61,unemployed,1.051297664642334,female : divorced/separated/married,co-applicant,1.9186122417449951,if not A121 : building society savings agreement/ life insurance,24.51837539672852,none,rent,1.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,be4df02b-e0ee-4bc9-83c7-958f199907c8
... < 0 DM,6.483080863952637,existing credits paid back duly till now,radio/television,1638.5267333984375,A61,unemployed,3.0,female : divorced/separated/married,none,2.0939292907714844,if not A121 : building society savings agreement/ life insurance,23.65024185180664,none,rent,1.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,be4df02b-e0ee-4bc9-83c7-958f199907c8
0 <= ... < 200 DM,18.138647079467773,existing credits paid back duly till now,car (new),6247.1845703125,A61,4 <= ... < 7 years,3.020763397216797,male : single,none,2.8728506565093994,unknown / no property,25.522817611694336,none,rent,1.091594696044922,unskilled - resident,1.0,none,yes,f8ebf506-894b-45e0-9e12-0c5bf412928b
0 <= ... < 200 DM,17.230405807495117,existing credits paid back duly till now,car (new),6849.73291015625,A61,4 <= ... < 7 years,2.9127299785614014,female : divorced/separated/married,none,2.977201223373413,if not A121 : building society savings agreement/ life insurance,29.71641731262207,none,rent,1.0,unskilled - resident,1.0304335355758667,none,yes,f8ebf506-894b-45e0-9e12-0c5bf412928b
0 <= ... < 200 DM,19.379425048828125,existing credits paid back duly till now,car (new),276.0,A61,1 <= ... < 4 years,2.969027042388916,male : single,none,2.992027997970581,real estate,30.4636173248291,none,rent,1.0044713020324707,unskilled - resident,1.0,none,yes,f8ebf506-894b-45e0-9e12-0c5bf412928b
0 <= ... < 200 DM,36.0,critical account/ other credits existing (not at this bank),car (new),1676.597412109375,A61,1 <= ... < 4 years,3.866832733154297,male : divorced/separated,none,3.8924293518066406,"if not A121/A122 : car or other, not in attribute 6",39.57715225219727,none,own,1.87050461769104,skilled employee / official,1.0,none,yes,bf365c45-e25f-465d-85f6-951a0fc5fe2b
0 <= ... < 200 DM,36.0,critical account/ other credits existing (not at this bank),car (new),1627.313720703125,A61,1 <= ... < 4 years,3.990097999572754,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",41.1456298828125,none,own,1.9199585914611816,skilled employee / official,1.0,none,yes,bf365c45-e25f-465d-85f6-951a0fc5fe2b
0 <= ... < 200 DM,36.0,critical account/ other credits existing (not at this bank),car (new),1401.782958984375,A61,1 <= ... < 4 years,4.0,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",41.63835144042969,none,own,1.908800482749939,skilled employee / official,1.0,none,yes,bf365c45-e25f-465d-85f6-951a0fc5fe2b
0 <= ... < 200 DM,15.306171417236328,existing credits paid back duly till now,business,2730.970458984375,A62,... < 1 year,2.860097646713257,male : married/widowed,none,2.7042129039764404,real estate,35.3967170715332,bank,rent,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,94d147fe-67c6-4d69-848a-9e371e60f0a8
0 <= ... < 200 DM,20.82892608642578,existing credits paid back duly till now,business,2635.5068359375,A61,... < 1 year,3.112084150314331,male : divorced/separated,none,2.682497024536133,real estate,33.26948928833008,bank,own,1.0,skilled employee / official,1.05046546459198,"yes, registered under the customers name",yes,94d147fe-67c6-4d69-848a-9e371e60f0a8
0 <= ... < 200 DM,18.6944637298584,existing credits paid back duly till now,business,697.9864501953125,A61,... < 1 year,3.167887210845948,male : married/widowed,none,3.133886337280273,real estate,34.45284652709961,bank,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,94d147fe-67c6-4d69-848a-9e371e60f0a8
0 <= ... < 200 DM,30.0,critical account/ other credits existing (not at this bank),car (new),885.5596923828125,A61,unemployed,3.838291883468628,male : married/widowed,none,2.0221004486083984,"if not A121/A122 : car or other, not in attribute 6",35.4434928894043,none,own,2.239461898803711,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,69fef94e-e910-4e3d-a6bb-04a0c1fd9a16
0 <= ... < 200 DM,30.0,critical account/ other credits existing (not at this bank),car (new),2090.27880859375,A61,unemployed,3.729756355285645,male : married/widowed,none,2.0638556480407715,"if not A121/A122 : car or other, not in attribute 6",31.58780860900879,none,own,2.128817558288574,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,69fef94e-e910-4e3d-a6bb-04a0c1fd9a16
