duration_in_month,credit_amount,installment_rate_in_percentage_of_disposable_income,present_residence_since,age_in_years,number_of_existing_credits_at_this_bank,number_of_people_being_liable_to_provide_maintenance_for,credit_history,foreign_worker,housing,job,other_debtors_guarantors,other_installment_plans,personal_status_and_sex,present_employment_since,property,purpose,savings_account_bonds,status_of_existing_checking_account,telephone,query_id
19.450718,2562.3977,3.0280018,2.9319701,36.771885,1.0958536,1.0,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",94d147fe-67c6-4d69-848a-9e371e60f0a8
16.643557,2916.3699,3.1584563,2.8844228,37.72293,1.0,1.0310339,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",94d147fe-67c6-4d69-848a-9e371e60f0a8
19.74111,2202.4846,3.173234,3.1978598,35.08637,1.0,1.0050845,existing credits paid back duly till now,yes,own,skilled employee / official,none,bank,male : married/widowed,... < 1 year,real estate,business,A64,0 <= ... < 200 DM,"yes, registered under the customers name",94d147fe-67c6-4d69-848a-9e371e60f0a8
15.191915,2873.2234,4.0,1.9364172,34.11106,2.003645,1.0,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",69fef94e-e910-4e3d-a6bb-04a0c1fd9a16
14.213663,1698.1538,4.0,2.0248923,36.22195,1.8843126,1.037011,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",69fef94e-e910-4e3d-a6bb-04a0c1fd9a16
10.936391,1863.8844,3.8588827,2.2053952,35.621624,1.7955598,1.0,critical account/ other credits existing (not at this bank),yes,own,management/ self-employed/ highly qualified employee/ officer,none,none,male : single,unemployed,"if not A121/A122 : car or other, not in attribute 6",car (used),A61,0 <= ... < 200 DM,"yes, registered under the customers name",69fef94e-e910-4e3d-a6bb-04a0c1fd9a16
26.425152,809.4641,4.0,3.9500875,50.03862,1.0,1.039804,delay in paying off in the past,yes,own,skilled employee / official,none,stores,male : married/widowed,... < 1 year,real estate,radio/television,A61,... < 0 DM,none,0c5a7432-26d7-4579-8f57-0a169c9f3a5e
23.067904,549.0745,3.9310884,4.0,46.1054,1.0,1.0,delay in paying off in the past,yes,own,skilled employee / official,none,stores,male : married/widowed,... < 1 year,real estate,radio/television,A61,... < 0 DM,none,0c5a7432-26d7-4579-8f57-0a169c9f3a5e
25.124527,1057.032,3.9271293,4.0,46.872166,1.0275754,1.0101908,delay in paying off in the past,yes,own,skilled employee / official,none,stores,male : married/widowed,... < 1 year,real estate,radio/television,A61,... < 0 DM,none,0c5a7432-26d7-4579-8f57-0a169c9f3a5e
16.499437,2933.886,2.8677757,1.1039296,30.475124,1.1006937,1.0,no credits taken/ all credits paid back duly,yes,own,skilled employee / official,none,bank,male : single,4 <= ... < 7 years,if not A121 : building society savings agreement/ life insurance,business,A61,... < 0 DM,"yes, registered under the customers name",f28728d7-1f8f-490b-a85a-ce005346ada0
