ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,query_id
85.0,17.0,17.0,70.0,11.0,0.0,0.0,100.0,15.0,7.0,1.0,0.0,73.0,0.0,1.0,1.0,12.0,74.0,3.0,1.0,1.0,100.0,1724dbea-9a6a-47d2-89fd-5bbc47aa115c
75.0,213.0,4.0,97.0,15.0,0.0,0.0,100.0,15.0,7.0,15.0,2.0,20.0,0.0,3.0,3.0,36.0,74.0,5.0,1.0,1.0,91.0,c7c86ef1-96ed-4ec2-8182-835b4dbd0f58
78.0,134.0,2.0,52.0,23.0,0.0,0.0,92.0,63.0,6.0,25.0,3.0,25.0,0.0,0.0,9.0,30.0,74.0,5.0,2.0,1.0,64.0,514b0cda-8592-4161-9939-e2f98044f683
78.0,209.0,54.0,101.0,11.0,0.0,0.0,100.0,15.0,7.0,11.0,0.0,55.0,0.0,0.0,0.0,71.0,74.0,1.0,1.0,0.0,50.0,da7b975e-dc2f-49fe-aae5-9d4eba80d83f
78.0,45.0,1.0,43.0,17.0,0.0,0.0,100.0,15.0,7.0,15.0,4.0,40.0,1.0,1.0,1.0,15.0,65.0,5.0,2.0,1.0,88.0,b5665289-a608-4260-9a25-bff8617e337a
74.0,148.0,3.0,47.0,24.0,0.0,0.0,100.0,15.0,7.0,67.0,6.0,32.0,0.0,6.0,1.0,16.0,74.0,5.0,4.0,0.0,40.0,665752ed-447d-4522-9cc4-1dae3b85f35e
56.0,179.0,19.0,99.0,24.0,1.0,0.0,76.0,0.0,4.0,25.0,0.0,32.0,22.0,0.0,0.0,60.0,71.0,10.0,2.0,1.0,86.0,90fcc7af-2caa-47b6-9508-eff7f9b3759a
71.0,162.0,23.0,48.0,26.0,0.0,0.0,100.0,15.0,7.0,26.0,0.0,31.0,0.0,3.0,1.0,26.0,58.0,4.0,2.0,1.0,33.0,0b9cfd2e-eb9b-4d35-b484-bbe2a7bb4e57
73.0,192.0,13.0,77.0,24.0,0.0,0.0,96.0,11.0,4.0,26.0,0.0,58.0,1.0,4.0,4.0,6.0,74.0,2.0,2.0,0.0,80.0,7f9350e2-96d5-498c-a9df-88880c49a375
73.0,343.0,1.0,96.0,40.0,1.0,1.0,90.0,39.0,6.0,43.0,3.0,37.0,0.0,1.0,1.0,75.0,58.0,8.0,6.0,2.0,71.0,35f31065-e8bf-42f7-aa45-f74d9f87a30f
85.0,17.0,17.0,70.0,11.0,0.0,0.0,100.0,15.0,7.0,1.0,0.0,73.0,0.0,1.0,1.0,12.0,74.0,3.0,1.0,1.0,100.0,f63f1c72-5bea-45f3-b6a8-7248c30798a2
75.0,213.0,4.0,97.0,15.0,0.0,0.0,100.0,15.0,7.0,15.0,2.0,20.0,0.0,3.0,3.0,36.0,74.0,5.0,1.0,1.0,91.0,7416dbea-0ac5-452b-b829-f14c9748d9a3
78.0,134.0,2.0,52.0,23.0,0.0,0.0,92.0,63.0,6.0,25.0,3.0,25.0,0.0,0.0,9.0,30.0,74.0,5.0,2.0,1.0,64.0,7420fca1-0e09-4416-a4ce-5073abc1f415
78.0,209.0,54.0,101.0,11.0,0.0,0.0,100.0,15.0,7.0,11.0,0.0,55.0,0.0,0.0,0.0,71.0,74.0,1.0,1.0,0.0,50.0,32c354d8-0e18-456d-9a56-3d5f86dbc542
78.0,45.0,1.0,43.0,17.0,0.0,0.0,100.0,15.0,7.0,15.0,4.0,40.0,1.0,1.0,1.0,15.0,65.0,5.0,2.0,1.0,88.0,846c5448-c385-4977-8c23-324baff347f1
74.0,148.0,3.0,47.0,24.0,0.0,0.0,100.0,15.0,7.0,67.0,6.0,32.0,0.0,6.0,1.0,16.0,74.0,5.0,4.0,0.0,40.0,9632cfe5-408c-4658-b47d-2e840769d193
56.0,179.0,19.0,99.0,24.0,1.0,0.0,76.0,0.0,4.0,25.0,0.0,32.0,22.0,0.0,0.0,60.0,71.0,10.0,2.0,1.0,86.0,1051b146-9d73-410d-bc8b-9bb5ee07efa1
71.0,162.0,23.0,48.0,26.0,0.0,0.0,100.0,15.0,7.0,26.0,0.0,31.0,0.0,3.0,1.0,26.0,58.0,4.0,2.0,1.0,33.0,48f6fff0-ca07-4e53-b663-3de41b6bcda2
73.0,192.0,13.0,77.0,24.0,0.0,0.0,96.0,11.0,4.0,26.0,0.0,58.0,1.0,4.0,4.0,6.0,74.0,2.0,2.0,0.0,80.0,da460fce-72ec-47a1-bc64-481446da9eb1
73.0,343.0,1.0,96.0,40.0,1.0,1.0,90.0,39.0,6.0,43.0,3.0,37.0,0.0,1.0,1.0,75.0,58.0,8.0,6.0,2.0,71.0,00c5b151-72c9-4bbc-8d92-fd6a055efb04
