ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,query_id
68,17,17,17,1,0,0,100,15,7,1,0,100,0,1,1,28,74,3,1,1,100,1724dbea-9a6a-47d2-89fd-5bbc47aa115c
68,213,4,52,15,0,0,100,15,7,15,2,20,0,3,3,77,74,9,1,3,91,c7c86ef1-96ed-4ec2-8182-835b4dbd0f58
67,134,2,52,23,0,0,92,63,6,25,3,25,0,10,9,30,74,5,2,1,64,514b0cda-8592-4161-9939-e2f98044f683
89,209,54,101,11,0,0,100,15,7,11,0,55,6,0,0,3,74,1,1,0,50,da7b975e-dc2f-49fe-aae5-9d4eba80d83f
60,45,1,18,13,0,0,100,15,7,15,4,40,1,1,1,71,65,5,2,1,88,b5665289-a608-4260-9a25-bff8617e337a
74,148,3,47,24,0,0,100,15,7,67,6,32,0,1,1,0,74,0,4,0,40,665752ed-447d-4522-9cc4-1dae3b85f35e
65,179,19,99,24,1,0,76,0,4,25,0,32,22,0,0,26,71,10,2,1,86,90fcc7af-2caa-47b6-9508-eff7f9b3759a
81,162,23,89,26,0,0,100,15,7,26,0,31,3,1,1,11,58,1,2,0,33,0b9cfd2e-eb9b-4d35-b484-bbe2a7bb4e57
73,192,13,77,24,0,0,96,11,4,26,0,58,1,4,4,35,74,2,2,0,80,7f9350e2-96d5-498c-a9df-88880c49a375
68,343,1,96,40,1,1,90,39,6,43,3,37,0,11,11,75,58,8,6,4,71,35f31065-e8bf-42f7-aa45-f74d9f87a30f
68,17,17,17,1,0,0,100,15,7,1,0,100,0,1,1,28,74,3,1,1,100,f63f1c72-5bea-45f3-b6a8-7248c30798a2
68,213,4,52,15,0,0,100,15,7,15,2,20,0,3,3,77,74,9,1,3,91,7416dbea-0ac5-452b-b829-f14c9748d9a3
67,134,2,52,23,0,0,92,63,6,25,3,25,0,10,9,30,74,5,2,1,64,7420fca1-0e09-4416-a4ce-5073abc1f415
89,209,54,101,11,0,0,100,15,7,11,0,55,6,0,0,3,74,1,1,0,50,32c354d8-0e18-456d-9a56-3d5f86dbc542
60,45,1,18,13,0,0,100,15,7,15,4,40,1,1,1,71,65,5,2,1,88,846c5448-c385-4977-8c23-324baff347f1
74,148,3,47,24,0,0,100,15,7,67,6,32,0,1,1,0,74,0,4,0,40,9632cfe5-408c-4658-b47d-2e840769d193
65,179,19,99,24,1,0,76,0,4,25,0,32,22,0,0,26,71,10,2,1,86,1051b146-9d73-410d-bc8b-9bb5ee07efa1
81,162,23,89,26,0,0,100,15,7,26,0,31,3,1,1,11,58,1,2,0,33,48f6fff0-ca07-4e53-b663-3de41b6bcda2
73,192,13,77,24,0,0,96,11,4,26,0,58,1,4,4,35,74,2,2,0,80,da460fce-72ec-47a1-bc64-481446da9eb1
68,343,1,96,40,1,1,90,39,6,43,3,37,0,11,11,75,58,8,6,4,71,00c5b151-72c9-4bbc-8d92-fd6a055efb04
