employment_years,num_open_credit_acc,annual_income,loan_grade,credit_history,purpose,home,addr_state,query_id
3.0,14.0,60000.0,G,14.1,purchase,RENT,FL,5d3df668-b96c-4319-9566-cc3a3e5ed959
6.0,4.0,50000.0,F,16.5,debt,MORTGAGE,OH,0e1f6923-8510-4a41-9db9-03cb72a4fcc8
2.0,7.0,50000.0,G,8.9,debt,OWN,CA,53ccf373-6999-4af6-9cdc-cecc60ab3cc0
2.0,12.0,30000.0,B,5.5,debt,RENT,NE,e6d9560e-6656-49a8-abe0-686ab734fa07
10.0,5.0,77040.0,G,17.6,purchase,MORTGAGE,FL,7260cb93-2916-4855-bb64-22f986e789e4
6.0,4.0,50000.0,F,14.5,debt,MORTGAGE,OH,19ab78ad-ee5f-44aa-b53c-13d30986c946
10.0,5.0,50000.0,D,18.9,small_business,RENT,OR,9a64e4b9-48ba-4f99-b054-95172830db7d
4.0,12.0,72000.0,G,15.9,debt,MORTGAGE,VA,1426d8ca-6393-4587-872d-9b95d0b4a75c
5.0,4.0,35280.0,G,11.5,debt,OWN,IL,0dbdad70-b74a-48d4-bff9-71d51f30db50
1.0,3.0,16320.0,G,3.3,purchase,RENT,OH,dced4bd6-f2f6-4695-aedd-54f51ed7cb5d
3.0,14.0,60000.0,G,14.1,purchase,RENT,FL,64d30417-4430-45b5-82af-2bdb5ea2decd
6.0,4.0,50000.0,F,16.5,debt,MORTGAGE,OH,d2b95175-5ba6-47b5-b259-c3a47639049b
2.0,7.0,50000.0,G,8.9,debt,OWN,CA,3527aefa-8821-4bf7-a5dd-3eebae9ac7a7
2.0,12.0,30000.0,B,5.5,debt,RENT,NE,462b0bc7-f83c-4700-8309-c0fb107f63ba
10.0,5.0,77040.0,G,17.6,purchase,MORTGAGE,FL,66e71849-e79d-4d58-bfe7-3118caa1306f
6.0,4.0,50000.0,F,14.5,debt,MORTGAGE,OH,e104f540-e1f8-4e8e-bbb6-711bc1305d98
10.0,5.0,50000.0,D,18.9,small_business,RENT,OR,075eb236-72f1-40c0-8457-b0d8be04964b
4.0,12.0,72000.0,G,15.9,debt,MORTGAGE,VA,f1eb5106-b5a4-419e-996d-fb1fe9a88d1b
5.0,4.0,35280.0,G,11.5,debt,OWN,IL,9ae3e005-908c-4976-afcd-b8607bf7f5cb
1.0,3.0,16320.0,G,3.3,purchase,RENT,OH,17dcb49b-6b47-4d38-8087-a78b9f83a41a
