employment_years,num_open_credit_acc,annual_income,credit_history,addr_state,home,loan_grade,purpose,query_id
3.1505318,13.974302,4080.0,18.145252,FL,RENT,C,purchase,78270b6f-8de1-4512-ba72-58d98b8d7d6e
2.589612,13.781543,70268.32,10.207105,FL,RENT,C,purchase,78270b6f-8de1-4512-ba72-58d98b8d7d6e
4.710923,10.160249,333929.94,13.19503,PA,MORTGAGE,F,purchase,7802ed90-56f0-484c-8ec4-0b6ac80766e3
4.362826,14.907511,4080.0,16.546041,PA,MORTGAGE,F,purchase,7802ed90-56f0-484c-8ec4-0b6ac80766e3
3.1505318,13.974302,4080.0,18.145252,FL,RENT,C,purchase,92b09361-7363-4f0f-8383-b75e6ea44c36
2.589612,13.781543,70268.32,10.207105,FL,RENT,C,purchase,92b09361-7363-4f0f-8383-b75e6ea44c36
4.710923,10.160249,333929.94,13.19503,PA,MORTGAGE,F,purchase,9e564130-1d17-4e50-8c0d-5caa95b371da
4.362826,14.907511,4080.0,16.546041,PA,MORTGAGE,F,purchase,9e564130-1d17-4e50-8c0d-5caa95b371da
3.1505318,13.974302,4080.0,18.145252,FL,RENT,C,purchase,a09d34be-956d-419e-9606-562fd9badbbd
2.589612,13.781543,70268.32,10.207105,FL,RENT,C,purchase,a09d34be-956d-419e-9606-562fd9badbbd
4.710923,10.160249,333929.94,13.19503,PA,MORTGAGE,F,purchase,5de373e1-de83-4950-837d-203970b4d18d
4.362826,14.907511,4080.0,16.546041,PA,MORTGAGE,F,purchase,5de373e1-de83-4950-837d-203970b4d18d
