query_uuid,cf_index,sigma,proximity,geometric_instability,intervention_instability,is_pareto_optimal,status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker
94d147fe-67c6-4d69-848a-9e371e60f0a8,0,0.03,1.4142135381698608,0.08847802877426147,9.99999993922529e-09,True,0 <= ... < 200 DM,18.0,existing credits paid back duly till now,business,1913.0,A61,... < 1 year,3.0,male : married/widowed,none,3.0,real estate,36.0,bank,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes
69fef94e-e910-4e3d-a6bb-04a0c1fd9a16,0,0.03,2.0256643295288086,0.08241309970617294,3.3333329430007552e-09,True,0 <= ... < 200 DM,30.0,critical account/ other credits existing (not at this bank),car (new),1860.0,A61,unemployed,4.0,male : married/widowed,none,2.0,"if not A121/A122 : car or other, not in attribute 6",34.0,none,own,2.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes
0c5a7432-26d7-4579-8f57-0a169c9f3a5e,0,0.03,1.4142135381698608,0.055300433188676834,9.99999993922529e-09,True,... < 0 DM,24.0,delay in paying off in the past,radio/television,1024.0,A61,... < 1 year,4.0,male : married/widowed,none,4.0,real estate,48.0,stores,own,1.0,skilled employee / official,1.0,none,no
f28728d7-1f8f-490b-a85a-ce005346ada0,0,0.03,1.4142135381698608,0.05427378788590431,9.99999993922529e-09,True,no checking account,18.0,no credits taken/ all credits paid back duly,business,3104.0,A61,4 <= ... < 7 years,3.0,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,31.0,bank,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes
f4dab0eb-578c-4854-b060-e6c566be92f6,0,0.03,2.8284270763397217,0.5104736089706421,2.4999999848063226e-09,True,... < 0 DM,27.0,existing credits paid back duly till now,radio/television,2520.0,A62,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,2.0,if not A121 : building society savings agreement/ life insurance,23.0,none,own,2.0,unskilled - resident,1.0,none,yes
7a1d27da-32d1-43c7-9f2c-5e3e27d55dd3,0,0.03,2.041736125946045,1.113694190979004,0.4166666567325592,True,0 <= ... < 200 DM,36.0,critical account/ other credits existing (not at this bank),car (new),882.0,A61,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,real estate,23.0,none,own,2.0,skilled employee / official,1.0,none,yes
598d65f2-5e74-487e-99c4-01efd2c9893d,0,0.03,2.451831817626953,0.03654313459992409,2.4999999848063226e-09,True,0 <= ... < 200 DM,24.0,delay in paying off in the past,furniture/equipment,3612.0,A61,unemployed,3.0,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,37.0,none,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes
be4df02b-e0ee-4bc9-83c7-958f199907c8,0,0.03,2.108185052871704,1.6637862920761108,0.3055555522441864,True,... < 0 DM,6.0,existing credits paid back duly till now,radio/television,1352.0,A61,unemployed,3.0,female : divorced/separated/married,none,2.0,if not A121 : building society savings agreement/ life insurance,23.0,none,rent,1.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes
f8ebf506-894b-45e0-9e12-0c5bf412928b,0,0.03,1.4142135381698608,1.3689098358154297,0.3333333432674408,True,0 <= ... < 200 DM,18.0,existing credits paid back duly till now,car (new),6260.0,A61,4 <= ... < 7 years,3.0,male : single,none,3.0,unknown / no property,28.0,none,rent,1.0,unskilled - resident,1.0,none,yes
bf365c45-e25f-465d-85f6-951a0fc5fe2b,0,0.03,2.0492188930511475,0.052306126803159714,3.3333329430007552e-09,True,0 <= ... < 200 DM,36.0,critical account/ other credits existing (not at this bank),car (new),1322.0,A61,1 <= ... < 4 years,4.0,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",40.0,none,own,2.0,skilled employee / official,1.0,none,yes
94d147fe-67c6-4d69-848a-9e371e60f0a8,0,0.05,1.4142135381698608,1.178695559501648,0.1666666716337204,True,0 <= ... < 200 DM,18.0,existing credits paid back duly till now,business,1913.0,A61,... < 1 year,3.0,male : married/widowed,none,3.0,real estate,36.0,bank,own,1.0,skilled employee / official,1.0,"yes, registered under the customers name",yes
