,,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
query_uuid,sigma,,,,,,,,,,,,,,,,,,,,,,,,
0514c0be-f2a3-4109-b213-f795c7114a59,0.03,1.0,1.4142135381698608,,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.0,0.6969010829925537,,0.6969010829925537,0.6969010829925537,0.6969010829925537,0.6969010829925537,0.6969010829925537,1.0,9.99999993922529e-09,,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09
0514c0be-f2a3-4109-b213-f795c7114a59,0.05,1.0,1.4142135381698608,,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.0,0.710785448551178,,0.710785448551178,0.710785448551178,0.710785448551178,0.710785448551178,0.710785448551178,1.0,0.3333333432674408,,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408
0514c0be-f2a3-4109-b213-f795c7114a59,0.07,1.0,1.4142135381698608,,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.0,0.17028646171092987,,0.17028646171092987,0.17028646171092987,0.17028646171092987,0.17028646171092987,0.17028646171092987,1.0,0.3333333432674408,,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408
11554135-9a66-4023-94ab-2475b351d0c5,0.03,1.0,0.37779945135116577,,0.37779945135116577,0.37779945135116577,0.37779945135116577,0.37779945135116577,0.37779945135116577,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,4.999999969612645e-09,,4.999999969612645e-09,4.999999969612645e-09,4.999999969612645e-09,4.999999969612645e-09,4.999999969612645e-09
11554135-9a66-4023-94ab-2475b351d0c5,0.05,1.0,0.37779945135116577,,0.37779945135116577,0.37779945135116577,0.37779945135116577,0.37779945135116577,0.37779945135116577,1.0,0.491382360458374,,0.491382360458374,0.491382360458374,0.491382360458374,0.491382360458374,0.491382360458374,1.0,0.5,,0.5,0.5,0.5,0.5,0.5
11554135-9a66-4023-94ab-2475b351d0c5,0.07,1.0,0.37779945135116577,,0.37779945135116577,0.37779945135116577,0.37779945135116577,0.37779945135116577,0.37779945135116577,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.1111111119389534,,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534
34e4ad5b-1a1a-4fe6-a68b-1e6ae4217058,0.03,1.0,0.041095882654190063,,0.041095882654190063,0.041095882654190063,0.041095882654190063,0.041095882654190063,0.041095882654190063,1.0,0.0021128554362803698,,0.0021128554362803698,0.0021128554362803698,0.0021128554362803698,0.0021128554362803698,0.0021128554362803698,1.0,0.3333333432674408,,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408
34e4ad5b-1a1a-4fe6-a68b-1e6ae4217058,0.05,1.0,0.041095882654190063,,0.041095882654190063,0.041095882654190063,0.041095882654190063,0.041095882654190063,0.041095882654190063,1.0,0.00010064244270324707,,0.00010064244270324707,0.00010064244270324707,0.00010064244270324707,0.00010064244270324707,0.00010064244270324707,1.0,0.3333333432674408,,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408
34e4ad5b-1a1a-4fe6-a68b-1e6ae4217058,0.07,1.0,0.041095882654190063,,0.041095882654190063,0.041095882654190063,0.041095882654190063,0.041095882654190063,0.041095882654190063,1.0,0.6954018473625183,,0.6954018473625183,0.6954018473625183,0.6954018473625183,0.6954018473625183,0.6954018473625183,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
437cccb7-dd60-4864-b12f-90253ddc3543,0.03,1.0,1.4142135381698608,,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.0,0.043273407965898514,,0.043273407965898514,0.043273407965898514,0.043273407965898514,0.043273407965898514,0.043273407965898514,1.0,0.1666666716337204,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
437cccb7-dd60-4864-b12f-90253ddc3543,0.05,1.0,1.4142135381698608,,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.0,0.4943409264087677,,0.4943409264087677,0.4943409264087677,0.4943409264087677,0.4943409264087677,0.4943409264087677,1.0,9.99999993922529e-09,,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09
437cccb7-dd60-4864-b12f-90253ddc3543,0.07,1.0,1.4142135381698608,,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.0,0.5058282017707825,,0.5058282017707825,0.5058282017707825,0.5058282017707825,0.5058282017707825,0.5058282017707825,1.0,9.99999993922529e-09,,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09
67661d5c-7f5d-4b73-bce7-c99e5ca2c493,0.03,1.0,1.476595401763916,,1.476595401763916,1.476595401763916,1.476595401763916,1.476595401763916,1.476595401763916,1.0,0.022149652242660522,,0.022149652242660522,0.022149652242660522,0.022149652242660522,0.022149652242660522,0.022149652242660522,1.0,4.999999969612645e-09,,4.999999969612645e-09,4.999999969612645e-09,4.999999969612645e-09,4.999999969612645e-09,4.999999969612645e-09
67661d5c-7f5d-4b73-bce7-c99e5ca2c493,0.05,1.0,1.476595401763916,,1.476595401763916,1.476595401763916,1.476595401763916,1.476595401763916,1.476595401763916,1.0,0.027012983337044716,,0.027012983337044716,0.027012983337044716,0.027012983337044716,0.027012983337044716,0.027012983337044716,1.0,4.999999969612645e-09,,4.999999969612645e-09,4.999999969612645e-09,4.999999969612645e-09,4.999999969612645e-09,4.999999969612645e-09
67661d5c-7f5d-4b73-bce7-c99e5ca2c493,0.07,1.0,1.476595401763916,,1.476595401763916,1.476595401763916,1.476595401763916,1.476595401763916,1.476595401763916,1.0,0.004849135875701904,,0.004849135875701904,0.004849135875701904,0.004849135875701904,0.004849135875701904,0.004849135875701904,1.0,0.1111111119389534,,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534
7c70933b-a814-4270-aca1-b793491bab23,0.03,1.0,0.15306121110916138,,0.15306121110916138,0.15306121110916138,0.15306121110916138,0.15306121110916138,0.15306121110916138,1.0,0.014252622611820698,,0.014252622611820698,0.014252622611820698,0.014252622611820698,0.014252622611820698,0.014252622611820698,1.0,9.99999993922529e-09,,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09
7c70933b-a814-4270-aca1-b793491bab23,0.05,1.0,0.15306121110916138,,0.15306121110916138,0.15306121110916138,0.15306121110916138,0.15306121110916138,0.15306121110916138,1.0,0.02704748511314392,,0.02704748511314392,0.02704748511314392,0.02704748511314392,0.02704748511314392,0.02704748511314392,1.0,9.99999993922529e-09,,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09
7c70933b-a814-4270-aca1-b793491bab23,0.07,1.0,0.15306121110916138,,0.15306121110916138,0.15306121110916138,0.15306121110916138,0.15306121110916138,0.15306121110916138,1.0,0.4810652434825897,,0.4810652434825897,0.4810652434825897,0.4810652434825897,0.4810652434825897,0.4810652434825897,1.0,0.3333333432674408,,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408
e142328e-d3c5-4bf6-95db-c690ebee5712,0.03,1.0,0.3571428656578064,,0.3571428656578064,0.3571428656578064,0.3571428656578064,0.3571428656578064,0.3571428656578064,1.0,0.012563089840114117,,0.012563089840114117,0.012563089840114117,0.012563089840114117,0.012563089840114117,0.012563089840114117,1.0,9.99999993922529e-09,,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09
e142328e-d3c5-4bf6-95db-c690ebee5712,0.05,1.0,0.3571428656578064,,0.3571428656578064,0.3571428656578064,0.3571428656578064,0.3571428656578064,0.3571428656578064,1.0,0.5524671673774719,,0.5524671673774719,0.5524671673774719,0.5524671673774719,0.5524671673774719,0.5524671673774719,1.0,0.1666666716337204,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
e142328e-d3c5-4bf6-95db-c690ebee5712,0.07,1.0,0.3571428656578064,,0.3571428656578064,0.3571428656578064,0.3571428656578064,0.3571428656578064,0.3571428656578064,1.0,0.6888639330863953,,0.6888639330863953,0.6888639330863953,0.6888639330863953,0.6888639330863953,0.6888639330863953,1.0,9.99999993922529e-09,,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09
e3dff26e-be4e-466a-8f32-2e50193b3c6b,0.03,1.0,1.4142135381698608,,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.0,0.6875856518745422,,0.6875856518745422,0.6875856518745422,0.6875856518745422,0.6875856518745422,0.6875856518745422,1.0,0.5,,0.5,0.5,0.5,0.5,0.5
