query_id,generated,duplicates,after_dedup,sigma,pareto
e3dff26e-be4e-466a-8f32-2e50193b3c6b,250,249,1,0.03,1
67661d5c-7f5d-4b73-bce7-c99e5ca2c493,250,249,1,0.03,1
e142328e-d3c5-4bf6-95db-c690ebee5712,250,249,1,0.03,1
fc1b1f28-312d-4d48-82d4-20986c831a92,250,249,1,0.03,1
11554135-9a66-4023-94ab-2475b351d0c5,250,249,1,0.03,1
437cccb7-dd60-4864-b12f-90253ddc3543,250,249,1,0.03,1
0514c0be-f2a3-4109-b213-f795c7114a59,250,249,1,0.03,1
34e4ad5b-1a1a-4fe6-a68b-1e6ae4217058,250,249,1,0.03,1
7c70933b-a814-4270-aca1-b793491bab23,250,249,1,0.03,1
f5974493-2192-4441-8854-5173280a8d2f,250,249,1,0.03,1
TOTAL,2500,2490,10,,10
