query_id,generated,duplicates,after_dedup,sigma,pareto
f51bd7ce-4403-4a96-b3d0-9d838a8dce26,250,249,1,0.03,1
debc522b-6462-4d83-8666-7e68c2685fb0,250,249,1,0.03,1
dbb9fe92-1999-40dd-94aa-31326402010e,250,249,1,0.03,1
953e2dc9-159f-49b3-8635-0fb744640626,250,249,1,0.03,1
92912727-d6e3-42dd-b9e5-fa186d24d01d,250,249,1,0.03,1
05e10235-6e8d-40cb-a7d1-74edc3d6b6f6,250,249,1,0.03,1
78caf8d9-f877-4e3c-b17c-4cafac3a0e7b,250,249,1,0.03,1
ffa6590d-2e40-4d57-8a33-0f87bde2b843,250,249,1,0.03,1
f15e6289-24d0-4505-bdad-45b72754798d,250,249,1,0.03,1
ec3f5c39-ed60-4d01-91fd-d5d9b4d2556d,250,249,1,0.03,1
TOTAL,2500,2490,10,,10
