selector,query_uuid,sigma,selected_cf_index,proximity,geometric_instability,intervention_instability
min_proximity,f51bd7ce-4403-4a96-b3d0-9d838a8dce26,0.03,0,0.10526315867900848,0.036490947008132935,9.99999993922529e-09
min_geo,f51bd7ce-4403-4a96-b3d0-9d838a8dce26,0.03,0,0.10526315867900848,0.036490947008132935,9.99999993922529e-09
weighted_sum_equal,f51bd7ce-4403-4a96-b3d0-9d838a8dce26,0.03,0,0.10526315867900848,0.036490947008132935,9.99999993922529e-09
weighted_sum_prox_heavy,f51bd7ce-4403-4a96-b3d0-9d838a8dce26,0.03,0,0.10526315867900848,0.036490947008132935,9.99999993922529e-09
pareto_knee,f51bd7ce-4403-4a96-b3d0-9d838a8dce26,0.03,0,0.10526315867900848,0.036490947008132935,9.99999993922529e-09
pareto_lex,f51bd7ce-4403-4a96-b3d0-9d838a8dce26,0.03,0,0.10526315867900848,0.036490947008132935,9.99999993922529e-09
random,f51bd7ce-4403-4a96-b3d0-9d838a8dce26,0.03,0,0.10526315867900848,0.036490947008132935,9.99999993922529e-09
min_proximity,debc522b-6462-4d83-8666-7e68c2685fb0,0.03,0,0.030865296721458435,0.056858450174331665,0.0
min_geo,debc522b-6462-4d83-8666-7e68c2685fb0,0.03,0,0.030865296721458435,0.056858450174331665,0.0
weighted_sum_equal,debc522b-6462-4d83-8666-7e68c2685fb0,0.03,0,0.030865296721458435,0.056858450174331665,0.0
weighted_sum_prox_heavy,debc522b-6462-4d83-8666-7e68c2685fb0,0.03,0,0.030865296721458435,0.056858450174331665,0.0
pareto_knee,debc522b-6462-4d83-8666-7e68c2685fb0,0.03,0,0.030865296721458435,0.056858450174331665,0.0
pareto_lex,debc522b-6462-4d83-8666-7e68c2685fb0,0.03,0,0.030865296721458435,0.056858450174331665,0.0
random,debc522b-6462-4d83-8666-7e68c2685fb0,0.03,0,0.030865296721458435,0.056858450174331665,0.0
min_proximity,dbb9fe92-1999-40dd-94aa-31326402010e,0.03,0,0.2368421107530594,0.4965421259403229,0.1666666716337204
min_geo,dbb9fe92-1999-40dd-94aa-31326402010e,0.03,0,0.2368421107530594,0.4965421259403229,0.1666666716337204
weighted_sum_equal,dbb9fe92-1999-40dd-94aa-31326402010e,0.03,0,0.2368421107530594,0.4965421259403229,0.1666666716337204
weighted_sum_prox_heavy,dbb9fe92-1999-40dd-94aa-31326402010e,0.03,0,0.2368421107530594,0.4965421259403229,0.1666666716337204
pareto_knee,dbb9fe92-1999-40dd-94aa-31326402010e,0.03,0,0.2368421107530594,0.4965421259403229,0.1666666716337204
pareto_lex,dbb9fe92-1999-40dd-94aa-31326402010e,0.03,0,0.2368421107530594,0.4965421259403229,0.1666666716337204
random,dbb9fe92-1999-40dd-94aa-31326402010e,0.03,0,0.2368421107530594,0.4965421259403229,0.1666666716337204
min_proximity,953e2dc9-159f-49b3-8635-0fb744640626,0.03,0,0.08326111733913422,1.4164153337478638,0.5
min_geo,953e2dc9-159f-49b3-8635-0fb744640626,0.03,0,0.08326111733913422,1.4164153337478638,0.5
weighted_sum_equal,953e2dc9-159f-49b3-8635-0fb744640626,0.03,0,0.08326111733913422,1.4164153337478638,0.5
weighted_sum_prox_heavy,953e2dc9-159f-49b3-8635-0fb744640626,0.03,0,0.08326111733913422,1.4164153337478638,0.5
pareto_knee,953e2dc9-159f-49b3-8635-0fb744640626,0.03,0,0.08326111733913422,1.4164153337478638,0.5
pareto_lex,953e2dc9-159f-49b3-8635-0fb744640626,0.03,0,0.08326111733913422,1.4164153337478638,0.5
random,953e2dc9-159f-49b3-8635-0fb744640626,0.03,0,0.08326111733913422,1.4164153337478638,0.5
min_proximity,92912727-d6e3-42dd-b9e5-fa186d24d01d,0.03,0,0.10526315867900848,0.011663280427455902,0.3333333432674408
min_geo,92912727-d6e3-42dd-b9e5-fa186d24d01d,0.03,0,0.10526315867900848,0.011663280427455902,0.3333333432674408
weighted_sum_equal,92912727-d6e3-42dd-b9e5-fa186d24d01d,0.03,0,0.10526315867900848,0.011663280427455902,0.3333333432674408
weighted_sum_prox_heavy,92912727-d6e3-42dd-b9e5-fa186d24d01d,0.03,0,0.10526315867900848,0.011663280427455902,0.3333333432674408
pareto_knee,92912727-d6e3-42dd-b9e5-fa186d24d01d,0.03,0,0.10526315867900848,0.011663280427455902,0.3333333432674408
pareto_lex,92912727-d6e3-42dd-b9e5-fa186d24d01d,0.03,0,0.10526315867900848,0.011663280427455902,0.3333333432674408
random,92912727-d6e3-42dd-b9e5-fa186d24d01d,0.03,0,0.10526315867900848,0.011663280427455902,0.3333333432674408
min_proximity,05e10235-6e8d-40cb-a7d1-74edc3d6b6f6,0.03,0,0.13256379961967468,0.020322782918810844,0.5
min_geo,05e10235-6e8d-40cb-a7d1-74edc3d6b6f6,0.03,0,0.13256379961967468,0.020322782918810844,0.5
weighted_sum_equal,05e10235-6e8d-40cb-a7d1-74edc3d6b6f6,0.03,0,0.13256379961967468,0.020322782918810844,0.5
weighted_sum_prox_heavy,05e10235-6e8d-40cb-a7d1-74edc3d6b6f6,0.03,0,0.13256379961967468,0.020322782918810844,0.5
pareto_knee,05e10235-6e8d-40cb-a7d1-74edc3d6b6f6,0.03,0,0.13256379961967468,0.020322782918810844,0.5
pareto_lex,05e10235-6e8d-40cb-a7d1-74edc3d6b6f6,0.03,0,0.13256379961967468,0.020322782918810844,0.5
random,05e10235-6e8d-40cb-a7d1-74edc3d6b6f6,0.03,0,0.13256379961967468,0.020322782918810844,0.5
min_proximity,78caf8d9-f877-4e3c-b17c-4cafac3a0e7b,0.03,0,0.03225807845592499,0.03186781704425812,0.0
min_geo,78caf8d9-f877-4e3c-b17c-4cafac3a0e7b,0.03,0,0.03225807845592499,0.03186781704425812,0.0
weighted_sum_equal,78caf8d9-f877-4e3c-b17c-4cafac3a0e7b,0.03,0,0.03225807845592499,0.03186781704425812,0.0
weighted_sum_prox_heavy,78caf8d9-f877-4e3c-b17c-4cafac3a0e7b,0.03,0,0.03225807845592499,0.03186781704425812,0.0
pareto_knee,78caf8d9-f877-4e3c-b17c-4cafac3a0e7b,0.03,0,0.03225807845592499,0.03186781704425812,0.0
pareto_lex,78caf8d9-f877-4e3c-b17c-4cafac3a0e7b,0.03,0,0.03225807845592499,0.03186781704425812,0.0
random,78caf8d9-f877-4e3c-b17c-4cafac3a0e7b,0.03,0,0.03225807845592499,0.03186781704425812,0.0
min_proximity,ffa6590d-2e40-4d57-8a33-0f87bde2b843,0.03,0,0.055080246180295944,0.0004954785108566284,0.3333333432674408
min_geo,ffa6590d-2e40-4d57-8a33-0f87bde2b843,0.03,0,0.055080246180295944,0.0004954785108566284,0.3333333432674408
weighted_sum_equal,ffa6590d-2e40-4d57-8a33-0f87bde2b843,0.03,0,0.055080246180295944,0.0004954785108566284,0.3333333432674408
weighted_sum_prox_heavy,ffa6590d-2e40-4d57-8a33-0f87bde2b843,0.03,0,0.055080246180295944,0.0004954785108566284,0.3333333432674408
pareto_knee,ffa6590d-2e40-4d57-8a33-0f87bde2b843,0.03,0,0.055080246180295944,0.0004954785108566284,0.3333333432674408
pareto_lex,ffa6590d-2e40-4d57-8a33-0f87bde2b843,0.03,0,0.055080246180295944,0.0004954785108566284,0.3333333432674408
random,ffa6590d-2e40-4d57-8a33-0f87bde2b843,0.03,0,0.055080246180295944,0.0004954785108566284,0.3333333432674408
min_proximity,f15e6289-24d0-4505-bdad-45b72754798d,0.03,0,0.1315789520740509,0.07094646245241165,0.1666666716337204
min_geo,f15e6289-24d0-4505-bdad-45b72754798d,0.03,0,0.1315789520740509,0.07094646245241165,0.1666666716337204
