query_id,generated,duplicates,after_dedup,sigma,pareto
1dfb0bbe-989a-4a17-9e6a-21de477af885,250,249,1,0.03,1
f2531dd5-c282-43be-b02e-d6be75ea7adb,250,249,1,0.03,1
5420b075-2914-480e-973e-85605edbcb96,250,249,1,0.03,1
a07b39f2-f021-42ad-b690-c91481b0f151,250,249,1,0.03,1
70f57a80-1ca8-48b4-b4a3-826c15c9fc0e,250,249,1,0.03,1
ad92fa80-101a-4d24-8e7c-0d4dc66f043b,250,249,1,0.03,1
ddfebbbd-7f77-4b9f-9836-2b18bc42ec7c,250,249,1,0.03,1
18e3e890-9de2-47a7-8284-d4857637daa0,250,249,1,0.03,1
677b54cf-1292-4baf-b487-39f8c67ea9a2,250,249,1,0.03,1
aaa75b33-9cde-4a10-9051-69f74281164f,250,249,1,0.03,1
TOTAL,2500,2490,10,,10
