,,proximity,proximity,proximity,proximity,proximity,proximity,proximity,proximity,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,geometric_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability,intervention_instability
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
query_uuid,sigma,,,,,,,,,,,,,,,,,,,,,,,,
0c5a7432-26d7-4579-8f57-0a169c9f3a5e,0.03,1.0,1.4142135381698608,,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.0,0.055300433188676834,,0.055300433188676834,0.055300433188676834,0.055300433188676834,0.055300433188676834,0.055300433188676834,1.0,9.99999993922529e-09,,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09
0c5a7432-26d7-4579-8f57-0a169c9f3a5e,0.05,1.0,1.4142135381698608,,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.0,1.1395331621170044,,1.1395331621170044,1.1395331621170044,1.1395331621170044,1.1395331621170044,1.1395331621170044,1.0,0.3333333432674408,,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408
0c5a7432-26d7-4579-8f57-0a169c9f3a5e,0.07,1.0,1.4142135381698608,,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.0,0.10249191522598267,,0.10249191522598267,0.10249191522598267,0.10249191522598267,0.10249191522598267,0.10249191522598267,1.0,0.1666666716337204,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
598d65f2-5e74-487e-99c4-01efd2c9893d,0.03,1.0,2.451831817626953,,2.451831817626953,2.451831817626953,2.451831817626953,2.451831817626953,2.451831817626953,1.0,0.03654313459992409,,0.03654313459992409,0.03654313459992409,0.03654313459992409,0.03654313459992409,0.03654313459992409,1.0,2.4999999848063226e-09,,2.4999999848063226e-09,2.4999999848063226e-09,2.4999999848063226e-09,2.4999999848063226e-09,2.4999999848063226e-09
598d65f2-5e74-487e-99c4-01efd2c9893d,0.05,1.0,2.451831817626953,,2.451831817626953,2.451831817626953,2.451831817626953,2.451831817626953,2.451831817626953,1.0,0.4898454248905182,,0.4898454248905182,0.4898454248905182,0.4898454248905182,0.4898454248905182,0.4898454248905182,1.0,0.21666665375232697,,0.21666665375232697,0.21666665375232697,0.21666665375232697,0.21666665375232697,0.21666665375232697
598d65f2-5e74-487e-99c4-01efd2c9893d,0.07,1.0,2.451831817626953,,2.451831817626953,2.451831817626953,2.451831817626953,2.451831817626953,2.451831817626953,1.0,0.33682820200920105,,0.33682820200920105,0.33682820200920105,0.33682820200920105,0.33682820200920105,0.33682820200920105,1.0,0.1428571492433548,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
69fef94e-e910-4e3d-a6bb-04a0c1fd9a16,0.03,1.0,2.0256643295288086,,2.0256643295288086,2.0256643295288086,2.0256643295288086,2.0256643295288086,2.0256643295288086,1.0,0.08241309970617294,,0.08241309970617294,0.08241309970617294,0.08241309970617294,0.08241309970617294,0.08241309970617294,1.0,3.3333329430007552e-09,,3.3333329430007552e-09,3.3333329430007552e-09,3.3333329430007552e-09,3.3333329430007552e-09,3.3333329430007552e-09
69fef94e-e910-4e3d-a6bb-04a0c1fd9a16,0.05,1.0,2.0256643295288086,,2.0256643295288086,2.0256643295288086,2.0256643295288086,2.0256643295288086,2.0256643295288086,1.0,0.9840326309204102,,0.9840326309204102,0.9840326309204102,0.9840326309204102,0.9840326309204102,0.9840326309204102,1.0,0.1666666716337204,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
69fef94e-e910-4e3d-a6bb-04a0c1fd9a16,0.07,1.0,2.0256643295288086,,2.0256643295288086,2.0256643295288086,2.0256643295288086,2.0256643295288086,2.0256643295288086,1.0,0.1616188883781433,,0.1616188883781433,0.1616188883781433,0.1616188883781433,0.1616188883781433,0.1616188883781433,1.0,3.3333329430007552e-09,,3.3333329430007552e-09,3.3333329430007552e-09,3.3333329430007552e-09,3.3333329430007552e-09,3.3333329430007552e-09
7a1d27da-32d1-43c7-9f2c-5e3e27d55dd3,0.03,1.0,2.041736125946045,,2.041736125946045,2.041736125946045,2.041736125946045,2.041736125946045,2.041736125946045,1.0,1.113694190979004,,1.113694190979004,1.113694190979004,1.113694190979004,1.113694190979004,1.113694190979004,1.0,0.4166666567325592,,0.4166666567325592,0.4166666567325592,0.4166666567325592,0.4166666567325592,0.4166666567325592
7a1d27da-32d1-43c7-9f2c-5e3e27d55dd3,0.05,1.0,2.041736125946045,,2.041736125946045,2.041736125946045,2.041736125946045,2.041736125946045,2.041736125946045,1.0,0.11741729825735092,,0.11741729825735092,0.11741729825735092,0.11741729825735092,0.11741729825735092,0.11741729825735092,1.0,3.3333329430007552e-09,,3.3333329430007552e-09,3.3333329430007552e-09,3.3333329430007552e-09,3.3333329430007552e-09,3.3333329430007552e-09
7a1d27da-32d1-43c7-9f2c-5e3e27d55dd3,0.07,1.0,2.041736125946045,,2.041736125946045,2.041736125946045,2.041736125946045,2.041736125946045,2.041736125946045,1.0,1.3728078603744507,,1.3728078603744507,1.3728078603744507,1.3728078603744507,1.3728078603744507,1.3728078603744507,1.0,0.4444444477558136,,0.4444444477558136,0.4444444477558136,0.4444444477558136,0.4444444477558136,0.4444444477558136
94d147fe-67c6-4d69-848a-9e371e60f0a8,0.03,1.0,1.4142135381698608,,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.0,0.08847802877426147,,0.08847802877426147,0.08847802877426147,0.08847802877426147,0.08847802877426147,0.08847802877426147,1.0,9.99999993922529e-09,,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09
94d147fe-67c6-4d69-848a-9e371e60f0a8,0.05,1.0,1.4142135381698608,,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.0,1.178695559501648,,1.178695559501648,1.178695559501648,1.178695559501648,1.178695559501648,1.178695559501648,1.0,0.1666666716337204,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
94d147fe-67c6-4d69-848a-9e371e60f0a8,0.07,1.0,1.4142135381698608,,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.0,0.11898919194936752,,0.11898919194936752,0.11898919194936752,0.11898919194936752,0.11898919194936752,0.11898919194936752,1.0,9.99999993922529e-09,,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09
be4df02b-e0ee-4bc9-83c7-958f199907c8,0.03,1.0,2.108185052871704,,2.108185052871704,2.108185052871704,2.108185052871704,2.108185052871704,2.108185052871704,1.0,1.6637862920761108,,1.6637862920761108,1.6637862920761108,1.6637862920761108,1.6637862920761108,1.6637862920761108,1.0,0.3055555522441864,,0.3055555522441864,0.3055555522441864,0.3055555522441864,0.3055555522441864,0.3055555522441864
be4df02b-e0ee-4bc9-83c7-958f199907c8,0.05,1.0,2.108185052871704,,2.108185052871704,2.108185052871704,2.108185052871704,2.108185052871704,2.108185052871704,1.0,1.4302090406417847,,1.4302090406417847,1.4302090406417847,1.4302090406417847,1.4302090406417847,1.4302090406417847,1.0,0.2777777910232544,,0.2777777910232544,0.2777777910232544,0.2777777910232544,0.2777777910232544,0.2777777910232544
be4df02b-e0ee-4bc9-83c7-958f199907c8,0.07,1.0,2.108185052871704,,2.108185052871704,2.108185052871704,2.108185052871704,2.108185052871704,2.108185052871704,1.0,1.5022335052490234,,1.5022335052490234,1.5022335052490234,1.5022335052490234,1.5022335052490234,1.5022335052490234,1.0,0.24444444477558136,,0.24444444477558136,0.24444444477558136,0.24444444477558136,0.24444444477558136,0.24444444477558136
bf365c45-e25f-465d-85f6-951a0fc5fe2b,0.03,1.0,2.0492188930511475,,2.0492188930511475,2.0492188930511475,2.0492188930511475,2.0492188930511475,2.0492188930511475,1.0,0.052306126803159714,,0.052306126803159714,0.052306126803159714,0.052306126803159714,0.052306126803159714,0.052306126803159714,1.0,3.3333329430007552e-09,,3.3333329430007552e-09,3.3333329430007552e-09,3.3333329430007552e-09,3.3333329430007552e-09,3.3333329430007552e-09
bf365c45-e25f-465d-85f6-951a0fc5fe2b,0.05,1.0,2.0492188930511475,,2.0492188930511475,2.0492188930511475,2.0492188930511475,2.0492188930511475,2.0492188930511475,1.0,1.006787657737732,,1.006787657737732,1.006787657737732,1.006787657737732,1.006787657737732,1.006787657737732,1.0,0.1111111119389534,,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534
bf365c45-e25f-465d-85f6-951a0fc5fe2b,0.07,1.0,2.0492188930511475,,2.0492188930511475,2.0492188930511475,2.0492188930511475,2.0492188930511475,2.0492188930511475,1.0,1.6298972368240356,,1.6298972368240356,1.6298972368240356,1.6298972368240356,1.6298972368240356,1.6298972368240356,1.0,0.2777777910232544,,0.2777777910232544,0.2777777910232544,0.2777777910232544,0.2777777910232544,0.2777777910232544
