query_id,generated,duplicates,after_dedup,sigma,pareto
94d147fe-67c6-4d69-848a-9e371e60f0a8,250,249,1,0.03,1
69fef94e-e910-4e3d-a6bb-04a0c1fd9a16,250,249,1,0.03,1
0c5a7432-26d7-4579-8f57-0a169c9f3a5e,250,249,1,0.03,1
f28728d7-1f8f-490b-a85a-ce005346ada0,250,249,1,0.03,1
f4dab0eb-578c-4854-b060-e6c566be92f6,250,249,1,0.03,1
7a1d27da-32d1-43c7-9f2c-5e3e27d55dd3,250,249,1,0.03,1
598d65f2-5e74-487e-99c4-01efd2c9893d,250,249,1,0.03,1
be4df02b-e0ee-4bc9-83c7-958f199907c8,250,249,1,0.03,1
f8ebf506-894b-45e0-9e12-0c5bf412928b,250,249,1,0.03,1
bf365c45-e25f-465d-85f6-951a0fc5fe2b,250,249,1,0.03,1
TOTAL,2500,2490,10,,10
