query_id,generated,duplicates,after_dedup,sigma,pareto
f63f1c72-5bea-45f3-b6a8-7248c30798a2,250,249,1,0.03,1
7416dbea-0ac5-452b-b829-f14c9748d9a3,250,249,1,0.03,1
7420fca1-0e09-4416-a4ce-5073abc1f415,250,249,1,0.03,1
32c354d8-0e18-456d-9a56-3d5f86dbc542,250,249,1,0.03,1
846c5448-c385-4977-8c23-324baff347f1,250,249,1,0.03,1
9632cfe5-408c-4658-b47d-2e840769d193,250,249,1,0.03,1
1051b146-9d73-410d-bc8b-9bb5ee07efa1,250,249,1,0.03,1
48f6fff0-ca07-4e53-b663-3de41b6bcda2,250,249,1,0.03,1
da460fce-72ec-47a1-bc64-481446da9eb1,250,249,1,0.03,1
00c5b151-72c9-4bbc-8d92-fd6a055efb04,250,249,1,0.03,1
TOTAL,2500,2490,10,,10
