selector,query_uuid,sigma,selected_cf_index,proximity,geometric_instability,intervention_instability
min_proximity,f63f1c72-5bea-45f3-b6a8-7248c30798a2,0.03,0,0.43692371249198914,0.2408551424741745,0.4238095283508301
min_geo,f63f1c72-5bea-45f3-b6a8-7248c30798a2,0.03,0,0.43692371249198914,0.2408551424741745,0.4238095283508301
weighted_sum_equal,f63f1c72-5bea-45f3-b6a8-7248c30798a2,0.03,0,0.43692371249198914,0.2408551424741745,0.4238095283508301
weighted_sum_prox_heavy,f63f1c72-5bea-45f3-b6a8-7248c30798a2,0.03,0,0.43692371249198914,0.2408551424741745,0.4238095283508301
pareto_knee,f63f1c72-5bea-45f3-b6a8-7248c30798a2,0.03,0,0.43692371249198914,0.2408551424741745,0.4238095283508301
pareto_lex,f63f1c72-5bea-45f3-b6a8-7248c30798a2,0.03,0,0.43692371249198914,0.2408551424741745,0.4238095283508301
random,f63f1c72-5bea-45f3-b6a8-7248c30798a2,0.03,0,0.43692371249198914,0.2408551424741745,0.4238095283508301
min_proximity,7416dbea-0ac5-452b-b829-f14c9748d9a3,0.03,0,0.29405486583709717,0.2511318624019623,0.6047618985176086
min_geo,7416dbea-0ac5-452b-b829-f14c9748d9a3,0.03,0,0.29405486583709717,0.2511318624019623,0.6047618985176086
weighted_sum_equal,7416dbea-0ac5-452b-b829-f14c9748d9a3,0.03,0,0.29405486583709717,0.2511318624019623,0.6047618985176086
weighted_sum_prox_heavy,7416dbea-0ac5-452b-b829-f14c9748d9a3,0.03,0,0.29405486583709717,0.2511318624019623,0.6047618985176086
pareto_knee,7416dbea-0ac5-452b-b829-f14c9748d9a3,0.03,0,0.29405486583709717,0.2511318624019623,0.6047618985176086
pareto_lex,7416dbea-0ac5-452b-b829-f14c9748d9a3,0.03,0,0.29405486583709717,0.2511318624019623,0.6047618985176086
random,7416dbea-0ac5-452b-b829-f14c9748d9a3,0.03,0,0.29405486583709717,0.2511318624019623,0.6047618985176086
min_proximity,7420fca1-0e09-4416-a4ce-5073abc1f415,0.03,0,0.235531285405159,0.15604180097579956,0.2222222238779068
min_geo,7420fca1-0e09-4416-a4ce-5073abc1f415,0.03,0,0.235531285405159,0.15604180097579956,0.2222222238779068
weighted_sum_equal,7420fca1-0e09-4416-a4ce-5073abc1f415,0.03,0,0.235531285405159,0.15604180097579956,0.2222222238779068
weighted_sum_prox_heavy,7420fca1-0e09-4416-a4ce-5073abc1f415,0.03,0,0.235531285405159,0.15604180097579956,0.2222222238779068
pareto_knee,7420fca1-0e09-4416-a4ce-5073abc1f415,0.03,0,0.235531285405159,0.15604180097579956,0.2222222238779068
pareto_lex,7420fca1-0e09-4416-a4ce-5073abc1f415,0.03,0,0.235531285405159,0.15604180097579956,0.2222222238779068
random,7420fca1-0e09-4416-a4ce-5073abc1f415,0.03,0,0.235531285405159,0.15604180097579956,0.2222222238779068
min_proximity,32c354d8-0e18-456d-9a56-3d5f86dbc542,0.03,0,0.42535603046417236,0.3099219799041748,0.3333333432674408
min_geo,32c354d8-0e18-456d-9a56-3d5f86dbc542,0.03,0,0.42535603046417236,0.3099219799041748,0.3333333432674408
weighted_sum_equal,32c354d8-0e18-456d-9a56-3d5f86dbc542,0.03,0,0.42535603046417236,0.3099219799041748,0.3333333432674408
weighted_sum_prox_heavy,32c354d8-0e18-456d-9a56-3d5f86dbc542,0.03,0,0.42535603046417236,0.3099219799041748,0.3333333432674408
pareto_knee,32c354d8-0e18-456d-9a56-3d5f86dbc542,0.03,0,0.42535603046417236,0.3099219799041748,0.3333333432674408
pareto_lex,32c354d8-0e18-456d-9a56-3d5f86dbc542,0.03,0,0.42535603046417236,0.3099219799041748,0.3333333432674408
random,32c354d8-0e18-456d-9a56-3d5f86dbc542,0.03,0,0.42535603046417236,0.3099219799041748,0.3333333432674408
min_proximity,846c5448-c385-4977-8c23-324baff347f1,0.03,0,0.39019501209259033,0.23581302165985107,0.5873015522956848
min_geo,846c5448-c385-4977-8c23-324baff347f1,0.03,0,0.39019501209259033,0.23581302165985107,0.5873015522956848
weighted_sum_equal,846c5448-c385-4977-8c23-324baff347f1,0.03,0,0.39019501209259033,0.23581302165985107,0.5873015522956848
weighted_sum_prox_heavy,846c5448-c385-4977-8c23-324baff347f1,0.03,0,0.39019501209259033,0.23581302165985107,0.5873015522956848
pareto_knee,846c5448-c385-4977-8c23-324baff347f1,0.03,0,0.39019501209259033,0.23581302165985107,0.5873015522956848
pareto_lex,846c5448-c385-4977-8c23-324baff347f1,0.03,0,0.39019501209259033,0.23581302165985107,0.5873015522956848
random,846c5448-c385-4977-8c23-324baff347f1,0.03,0,0.39019501209259033,0.23581302165985107,0.5873015522956848
min_proximity,9632cfe5-408c-4658-b47d-2e840769d193,0.03,0,0.18684089183807373,0.15674345195293427,0.3333333432674408
min_geo,9632cfe5-408c-4658-b47d-2e840769d193,0.03,0,0.18684089183807373,0.15674345195293427,0.3333333432674408
weighted_sum_equal,9632cfe5-408c-4658-b47d-2e840769d193,0.03,0,0.18684089183807373,0.15674345195293427,0.3333333432674408
weighted_sum_prox_heavy,9632cfe5-408c-4658-b47d-2e840769d193,0.03,0,0.18684089183807373,0.15674345195293427,0.3333333432674408
pareto_knee,9632cfe5-408c-4658-b47d-2e840769d193,0.03,0,0.18684089183807373,0.15674345195293427,0.3333333432674408
pareto_lex,9632cfe5-408c-4658-b47d-2e840769d193,0.03,0,0.18684089183807373,0.15674345195293427,0.3333333432674408
random,9632cfe5-408c-4658-b47d-2e840769d193,0.03,0,0.18684089183807373,0.15674345195293427,0.3333333432674408
min_proximity,1051b146-9d73-410d-bc8b-9bb5ee07efa1,0.03,0,0.20795610547065735,0.16745997965335846,0.6666666865348816
min_geo,1051b146-9d73-410d-bc8b-9bb5ee07efa1,0.03,0,0.20795610547065735,0.16745997965335846,0.6666666865348816
weighted_sum_equal,1051b146-9d73-410d-bc8b-9bb5ee07efa1,0.03,0,0.20795610547065735,0.16745997965335846,0.6666666865348816
weighted_sum_prox_heavy,1051b146-9d73-410d-bc8b-9bb5ee07efa1,0.03,0,0.20795610547065735,0.16745997965335846,0.6666666865348816
pareto_knee,1051b146-9d73-410d-bc8b-9bb5ee07efa1,0.03,0,0.20795610547065735,0.16745997965335846,0.6666666865348816
pareto_lex,1051b146-9d73-410d-bc8b-9bb5ee07efa1,0.03,0,0.20795610547065735,0.16745997965335846,0.6666666865348816
random,1051b146-9d73-410d-bc8b-9bb5ee07efa1,0.03,0,0.20795610547065735,0.16745997965335846,0.6666666865348816
min_proximity,48f6fff0-ca07-4e53-b663-3de41b6bcda2,0.03,0,0.26678895950317383,0.11325323581695557,0.06666667014360428
min_geo,48f6fff0-ca07-4e53-b663-3de41b6bcda2,0.03,0,0.26678895950317383,0.11325323581695557,0.06666667014360428
weighted_sum_equal,48f6fff0-ca07-4e53-b663-3de41b6bcda2,0.03,0,0.26678895950317383,0.11325323581695557,0.06666667014360428
weighted_sum_prox_heavy,48f6fff0-ca07-4e53-b663-3de41b6bcda2,0.03,0,0.26678895950317383,0.11325323581695557,0.06666667014360428
pareto_knee,48f6fff0-ca07-4e53-b663-3de41b6bcda2,0.03,0,0.26678895950317383,0.11325323581695557,0.06666667014360428
pareto_lex,48f6fff0-ca07-4e53-b663-3de41b6bcda2,0.03,0,0.26678895950317383,0.11325323581695557,0.06666667014360428
random,48f6fff0-ca07-4e53-b663-3de41b6bcda2,0.03,0,0.26678895950317383,0.11325323581695557,0.06666667014360428
min_proximity,da460fce-72ec-47a1-bc64-481446da9eb1,0.03,0,0.125,0.19556719064712524,0.8333333134651184
min_geo,da460fce-72ec-47a1-bc64-481446da9eb1,0.03,0,0.125,0.19556719064712524,0.8333333134651184
weighted_sum_equal,da460fce-72ec-47a1-bc64-481446da9eb1,0.03,0,0.125,0.19556719064712524,0.8333333134651184
weighted_sum_prox_heavy,da460fce-72ec-47a1-bc64-481446da9eb1,0.03,0,0.125,0.19556719064712524,0.8333333134651184
pareto_knee,da460fce-72ec-47a1-bc64-481446da9eb1,0.03,0,0.125,0.19556719064712524,0.8333333134651184
pareto_lex,da460fce-72ec-47a1-bc64-481446da9eb1,0.03,0,0.125,0.19556719064712524,0.8333333134651184
random,da460fce-72ec-47a1-bc64-481446da9eb1,0.03,0,0.125,0.19556719064712524,0.8333333134651184
min_proximity,00c5b151-72c9-4bbc-8d92-fd6a055efb04,0.03,0,0.2549078166484833,0.25073036551475525,0.5333333611488342
min_geo,00c5b151-72c9-4bbc-8d92-fd6a055efb04,0.03,0,0.2549078166484833,0.25073036551475525,0.5333333611488342
weighted_sum_equal,00c5b151-72c9-4bbc-8d92-fd6a055efb04,0.03,0,0.2549078166484833,0.25073036551475525,0.5333333611488342
weighted_sum_prox_heavy,00c5b151-72c9-4bbc-8d92-fd6a055efb04,0.03,0,0.2549078166484833,0.25073036551475525,0.5333333611488342
pareto_knee,00c5b151-72c9-4bbc-8d92-fd6a055efb04,0.03,0,0.2549078166484833,0.25073036551475525,0.5333333611488342
pareto_lex,00c5b151-72c9-4bbc-8d92-fd6a055efb04,0.03,0,0.2549078166484833,0.25073036551475525,0.5333333611488342
random,00c5b151-72c9-4bbc-8d92-fd6a055efb04,0.03,0,0.2549078166484833,0.25073036551475525,0.5333333611488342
min_proximity,f63f1c72-5bea-45f3-b6a8-7248c30798a2,0.05,0,0.43692371249198914,0.2076212614774704,0.29999998211860657
min_geo,f63f1c72-5bea-45f3-b6a8-7248c30798a2,0.05,0,0.43692371249198914,0.2076212614774704,0.29999998211860657
weighted_sum_equal,f63f1c72-5bea-45f3-b6a8-7248c30798a2,0.05,0,0.43692371249198914,0.2076212614774704,0.29999998211860657
weighted_sum_prox_heavy,f63f1c72-5bea-45f3-b6a8-7248c30798a2,0.05,0,0.43692371249198914,0.2076212614774704,0.29999998211860657
pareto_knee,f63f1c72-5bea-45f3-b6a8-7248c30798a2,0.05,0,0.43692371249198914,0.2076212614774704,0.29999998211860657
pareto_lex,f63f1c72-5bea-45f3-b6a8-7248c30798a2,0.05,0,0.43692371249198914,0.2076212614774704,0.29999998211860657
random,f63f1c72-5bea-45f3-b6a8-7248c30798a2,0.05,0,0.43692371249198914,0.2076212614774704,0.29999998211860657
min_proximity,7416dbea-0ac5-452b-b829-f14c9748d9a3,0.05,0,0.29405486583709717,0.2680746018886566,0.43333330750465393
min_geo,7416dbea-0ac5-452b-b829-f14c9748d9a3,0.05,0,0.29405486583709717,0.2680746018886566,0.43333330750465393
weighted_sum_equal,7416dbea-0ac5-452b-b829-f14c9748d9a3,0.05,0,0.29405486583709717,0.2680746018886566,0.43333330750465393
weighted_sum_prox_heavy,7416dbea-0ac5-452b-b829-f14c9748d9a3,0.05,0,0.29405486583709717,0.2680746018886566,0.43333330750465393
pareto_knee,7416dbea-0ac5-452b-b829-f14c9748d9a3,0.05,0,0.29405486583709717,0.2680746018886566,0.43333330750465393
pareto_lex,7416dbea-0ac5-452b-b829-f14c9748d9a3,0.05,0,0.29405486583709717,0.2680746018886566,0.43333330750465393
