,query_uuid,sigma,proximity,geometric_instability,intervention_instability
0,0dbdad70-b74a-48d4-bff9-71d51f30db50,0.03,2.0,0.49432650208473206,0.1666666716337204
1,0dbdad70-b74a-48d4-bff9-71d51f30db50,0.05,2.0,0.9765172004699707,0.3333333432674408
2,0dbdad70-b74a-48d4-bff9-71d51f30db50,0.07,2.0,0.9777656197547913,0.3333333432674408
3,0e1f6923-8510-4a41-9db9-03cb72a4fcc8,0.03,2.0117928981781006,0.01261178683489561,0.1666666716337204
4,0e1f6923-8510-4a41-9db9-03cb72a4fcc8,0.05,2.0117928981781006,0.027830028906464577,0.14999999105930328
5,0e1f6923-8510-4a41-9db9-03cb72a4fcc8,0.07,2.0117928981781006,0.13651952147483826,0.46666666865348816
6,1426d8ca-6393-4587-872d-9b95d0b4a75c,0.03,2.0000200271606445,0.04690581560134888,4.999999969612645e-09
7,1426d8ca-6393-4587-872d-9b95d0b4a75c,0.05,2.0000200271606445,0.8597116470336914,0.1111111119389534
8,1426d8ca-6393-4587-872d-9b95d0b4a75c,0.07,2.0000200271606445,0.8830181956291199,0.1111111119389534
9,19ab78ad-ee5f-44aa-b53c-13d30986c946,0.03,2.0043225288391113,1.0489250421524048,0.472222238779068
10,19ab78ad-ee5f-44aa-b53c-13d30986c946,0.05,2.0043225288391113,0.1353721022605896,0.3333333432674408
11,19ab78ad-ee5f-44aa-b53c-13d30986c946,0.07,2.0043225288391113,1.4860690832138062,0.2777777910232544
12,53ccf373-6999-4af6-9cdc-cecc60ab3cc0,0.03,1.4142135381698608,0.045842353254556656,9.99999993922529e-09
13,53ccf373-6999-4af6-9cdc-cecc60ab3cc0,0.05,1.4142135381698608,0.8525523543357849,0.3333333432674408
14,53ccf373-6999-4af6-9cdc-cecc60ab3cc0,0.07,1.4142135381698608,0.10738828778266907,0.1666666716337204
15,5d3df668-b96c-4319-9566-cc3a3e5ed959,0.03,1.4142135381698608,0.06483516842126846,9.99999993922529e-09
16,5d3df668-b96c-4319-9566-cc3a3e5ed959,0.05,1.4142135381698608,0.04509599134325981,9.99999993922529e-09
17,5d3df668-b96c-4319-9566-cc3a3e5ed959,0.07,1.4142135381698608,0.5294634699821472,9.99999993922529e-09
18,7260cb93-2916-4855-bb64-22f986e789e4,0.03,2.0213654041290283,0.24650044739246368,0.3333333432674408
19,7260cb93-2916-4855-bb64-22f986e789e4,0.05,2.0213654041290283,2.1325974464416504,0.699999988079071
20,7260cb93-2916-4855-bb64-22f986e789e4,0.07,2.0213654041290283,0.199580118060112,0.3333333432674408
21,9a64e4b9-48ba-4f99-b054-95172830db7d,0.03,2.0,0.047229573130607605,4.999999969612645e-09
22,9a64e4b9-48ba-4f99-b054-95172830db7d,0.05,2.0,0.057805467396974564,4.999999969612645e-09
23,9a64e4b9-48ba-4f99-b054-95172830db7d,0.07,2.0,1.4608157873153687,0.2222222238779068
24,dced4bd6-f2f6-4695-aedd-54f51ed7cb5d,0.03,1.4142135381698608,0.030999252572655678,9.99999993922529e-09
25,dced4bd6-f2f6-4695-aedd-54f51ed7cb5d,0.05,1.4142135381698608,0.06618212908506393,9.99999993922529e-09
26,dced4bd6-f2f6-4695-aedd-54f51ed7cb5d,0.07,1.4142135381698608,0.5427400469779968,9.99999993922529e-09
27,e6d9560e-6656-49a8-abe0-686ab734fa07,0.03,1.4142135381698608,0.845724880695343,0.1666666716337204
28,e6d9560e-6656-49a8-abe0-686ab734fa07,0.05,1.4142135381698608,0.7360466122627258,0.3333333432674408
29,e6d9560e-6656-49a8-abe0-686ab734fa07,0.07,1.4142135381698608,0.09647658467292786,0.1666666716337204
