query_id,generated,duplicates,after_dedup,sigma,pareto
5d3df668-b96c-4319-9566-cc3a3e5ed959,250,249,1,0.03,1
0e1f6923-8510-4a41-9db9-03cb72a4fcc8,250,249,1,0.03,1
53ccf373-6999-4af6-9cdc-cecc60ab3cc0,250,249,1,0.03,1
e6d9560e-6656-49a8-abe0-686ab734fa07,250,249,1,0.03,1
7260cb93-2916-4855-bb64-22f986e789e4,250,249,1,0.03,1
19ab78ad-ee5f-44aa-b53c-13d30986c946,250,249,1,0.03,1
9a64e4b9-48ba-4f99-b054-95172830db7d,250,249,1,0.03,1
1426d8ca-6393-4587-872d-9b95d0b4a75c,250,249,1,0.03,1
0dbdad70-b74a-48d4-bff9-71d51f30db50,250,249,1,0.03,1
dced4bd6-f2f6-4695-aedd-54f51ed7cb5d,250,249,1,0.03,1
TOTAL,2500,2490,10,,10
