selector,query_uuid,sigma,selected_cf_index,proximity,geometric_instability,intervention_instability
min_proximity,5d3df668-b96c-4319-9566-cc3a3e5ed959,0.03,0,1.4142135381698608,0.06483516842126846,9.99999993922529e-09
min_geo,5d3df668-b96c-4319-9566-cc3a3e5ed959,0.03,0,1.4142135381698608,0.06483516842126846,9.99999993922529e-09
weighted_sum_equal,5d3df668-b96c-4319-9566-cc3a3e5ed959,0.03,0,1.4142135381698608,0.06483516842126846,9.99999993922529e-09
weighted_sum_prox_heavy,5d3df668-b96c-4319-9566-cc3a3e5ed959,0.03,0,1.4142135381698608,0.06483516842126846,9.99999993922529e-09
pareto_knee,5d3df668-b96c-4319-9566-cc3a3e5ed959,0.03,0,1.4142135381698608,0.06483516842126846,9.99999993922529e-09
pareto_lex,5d3df668-b96c-4319-9566-cc3a3e5ed959,0.03,0,1.4142135381698608,0.06483516842126846,9.99999993922529e-09
random,5d3df668-b96c-4319-9566-cc3a3e5ed959,0.03,0,1.4142135381698608,0.06483516842126846,9.99999993922529e-09
min_proximity,0e1f6923-8510-4a41-9db9-03cb72a4fcc8,0.03,0,2.0117928981781006,0.01261178683489561,0.1666666716337204
min_geo,0e1f6923-8510-4a41-9db9-03cb72a4fcc8,0.03,0,2.0117928981781006,0.01261178683489561,0.1666666716337204
weighted_sum_equal,0e1f6923-8510-4a41-9db9-03cb72a4fcc8,0.03,0,2.0117928981781006,0.01261178683489561,0.1666666716337204
weighted_sum_prox_heavy,0e1f6923-8510-4a41-9db9-03cb72a4fcc8,0.03,0,2.0117928981781006,0.01261178683489561,0.1666666716337204
pareto_knee,0e1f6923-8510-4a41-9db9-03cb72a4fcc8,0.03,0,2.0117928981781006,0.01261178683489561,0.1666666716337204
pareto_lex,0e1f6923-8510-4a41-9db9-03cb72a4fcc8,0.03,0,2.0117928981781006,0.01261178683489561,0.1666666716337204
random,0e1f6923-8510-4a41-9db9-03cb72a4fcc8,0.03,0,2.0117928981781006,0.01261178683489561,0.1666666716337204
min_proximity,53ccf373-6999-4af6-9cdc-cecc60ab3cc0,0.03,0,1.4142135381698608,0.045842353254556656,9.99999993922529e-09
min_geo,53ccf373-6999-4af6-9cdc-cecc60ab3cc0,0.03,0,1.4142135381698608,0.045842353254556656,9.99999993922529e-09
weighted_sum_equal,53ccf373-6999-4af6-9cdc-cecc60ab3cc0,0.03,0,1.4142135381698608,0.045842353254556656,9.99999993922529e-09
weighted_sum_prox_heavy,53ccf373-6999-4af6-9cdc-cecc60ab3cc0,0.03,0,1.4142135381698608,0.045842353254556656,9.99999993922529e-09
