dataset,method,pool_size,mean_hv,mean_pf_size,n_queries
compas,dice,50,0.818358,3.0,3
compas,dice,100,0.818358,3.0,3
compas,dice,150,0.818358,3.0,3
compas,dice,200,0.818358,3.0,3
compas,dice,250,0.818358,3.0,3
compas,dice,300,0.818358,3.0,3
adult,dice,50,1.323403,2.0,3
adult,dice,100,1.323403,2.0,3
adult,dice,150,1.323403,2.0,3
adult,dice,200,1.323403,2.0,3
adult,dice,250,1.323403,2.0,3
adult,dice,300,1.323403,2.0,3
compas,moc,50,1.105603,18.3,3
compas,moc,100,1.134901,25.7,3
compas,moc,150,1.147504,31.0,3
compas,moc,200,1.148574,35.7,3
compas,moc,250,1.148733,42.7,3
compas,moc,300,1.148734,43.7,3
